cell_line,n_train_contexts,nearest_context,nearest_context_cosine,linear_latent_dim,linear_latent_explained_variance,ot_latent_explained_variance,ot_mean_deviation_from_identity,fit_seconds
A-172,43,SNU-423,0.6877596974372864,512,0.798346512452401,0.3381878305672285,0.8709571957588196,1.5
A-427,43,AN3 CA,0.5291065573692322,512,0.7988383277176799,0.3375889420191849,0.8719946146011353,1.3
A498,43,SNU-423,0.670132040977478,512,0.798203674967907,0.3385239542969535,0.8726629614830017,1.4
A549,43,NCI-H2030,0.6974616050720215,512,0.798391160307569,0.339251176799775,0.8708130717277527,1.3
AN3 CA,43,LOX-IMVI,0.6185030341148376,512,0.7990701416412654,0.33952103485596974,0.8581518530845642,1.3
AsPC-1,43,CFPAC-1,0.6421617269515991,512,0.7982402876724979,0.3381892067161521,0.8721619844436646,1.3
BT-474,43,HT-29,0.5921791791915894,512,0.7996713490516703,0.340390484423067,0.8659419417381287,1.3
C-33 A,43,AN3 CA,0.46036863327026367,512,0.7999553235899464,0.3376956891142066,0.8714619874954224,1.4
C32,43,SK-MEL-2,0.6234707236289978,512,0.7993008397784317,0.33861865800595636,0.8649599552154541,1.3
CFPAC-1,43,Panc 03.27,0.7925021648406982,512,0.7987859600610963,0.34063677610073945,0.8670870065689087,1.3
COLO 205,43,HT-29,0.6527265906333923,512,0.8000785502242392,0.3403442179606024,0.8669924736022949,1.3
H4,43,HS-578T,0.7561038732528687,512,0.7996232302456768,0.34030470831356996,0.8746464252471924,1.3
HCT15,43,SW48,0.669538140296936,512,0.7983656995515808,0.339649674333697,0.8656406402587891,1.3
HEC-1-A,43,HCT15,0.6133819222450256,512,0.7985601806772016,0.3397179414013846,0.8687264323234558,1.3
HOP62,43,hTERT-HPNE,0.7626420855522156,512,0.7971264029611055,0.338341651219646,0.8644784092903137,1.3
HS-578T,43,RPMI-7951,0.8098022937774658,512,0.7970176199946969,0.3351491807182413,0.8712549805641174,1.3
HT-29,43,LS 180,0.7015570998191833,512,0.7987751477630042,0.33969025907067346,0.8690388202667236,1.4
HepG2/C3A,43,HOP62,0.4427151381969452,512,0.7993124382452036,0.33692220786833343,0.8685086369514465,1.3
Hs 766T,43,LoVo,0.5649387240409851,512,0.7991265393808091,0.3404972531708402,0.8720104694366455,1.2
J82,43,HOP62,0.6852493286132812,512,0.798485876614945,0.34028599783983443,0.86961430311203,1.3
KATO III,43,LS 180,0.6872993111610413,512,0.7990896916770323,0.33957634434077294,0.8725041151046753,1.4
LOX-IMVI,43,HOP62,0.6591929197311401,512,0.7988857451364696,0.33987750263109073,0.8667622804641724,1.3
LS 180,43,LoVo,0.752102792263031,512,0.799011788238252,0.33956322162105457,0.8758583068847656,1.3
LoVo,43,LS 180,0.752102792263031,512,0.7993301940730111,0.3403478832010058,0.8744926452636719,1.3
MIA PaCa-2,43,PANC-1,0.5558006167411804,512,0.7979488929652656,0.33891961129023923,0.8715690970420837,1.3
NCI-H1573,43,HEC-1-A,0.5836493968963623,512,0.7984132878887797,0.33725324261605616,0.8701682686805725,1.3
NCI-H1792,43,SW 900,0.6838638782501221,512,0.7985445563199479,0.3400639877633711,0.8662412762641907,1.2
NCI-H2030,43,A549,0.697461724281311,512,0.7981297639682124,0.33905441791755087,0.8690068125724792,1.2
NCI-H23,43,PANC-1,0.6643081903457642,512,0.7980149263943856,0.33952129418820004,0.8699798583984375,1.3
NCI-H2347,43,Panc 03.27,0.7667832374572754,512,0.7977052578922429,0.33828809514778274,0.8709394931793213,1.3
NCI-H460,43,A549,0.5846818685531616,512,0.8001876212435773,0.3377309353885356,0.8650679588317871,1.3
PANC-1,43,NCI-H23,0.6643081903457642,512,0.7977547954590964,0.33755285999621837,0.8671712875366211,1.3
Panc 03.27,43,CFPAC-1,0.7925021648406982,512,0.7978269632939279,0.3394210235033065,0.8667752146720886,1.4
RKO,43,HEC-1-A,0.47061583399772644,512,0.798615898965848,0.3393145918993553,0.8698437213897705,1.3
RPMI-7951,43,HS-578T,0.809802234172821,512,0.8002967104766144,0.3413040631794349,0.8668169975280762,1.3
SHP-77,43,H4,0.4440504014492035,504,0.8004325792301811,0.3404304252894926,0.8693832755088806,1.3
SK-MEL-2,43,C32,0.6234707236289978,509,0.8000236440602322,0.3398302593715121,0.8735426068305969,1.4
SNU-1,43,AN3 CA,0.5144651532173157,512,0.7991889346451592,0.3384313567166021,0.8667796850204468,1.3
SNU-423,43,RPMI-7951,0.757274329662323,512,0.7985424440370499,0.33931626498967743,0.8702608346939087,1.2
SW 900,43,NCI-H1792,0.6838638782501221,512,0.7978154435076767,0.34077986595207893,0.8658638000488281,1.3
SW1417,43,SW480,0.7056483030319214,512,0.7988472521069742,0.34014812830354063,0.869995653629303,1.3
SW48,43,HCT15,0.669538140296936,512,0.7987727711910675,0.33963994485132887,0.8645614385604858,1.3
SW480,43,SW1417,0.7056483030319214,512,0.7994471619090128,0.33965146658120987,0.8672025799751282,1.2
hTERT-HPNE,43,HOP62,0.7626422047615051,512,0.7987353371226772,0.33815198089061704,0.8623982667922974,1.3
