predictor,scorer,n_query_seed,n_queries,n_contexts,MRR,MRR_lo,MRR_hi,Hit@1,Hit@1_lo,Hit@1_hi,Hit@5,Hit@5_lo,Hit@5_hi,Hit@10,Hit@10_lo,Hit@10_hi,median_rank
average_effect,energy,19960,3992,44,0.8519625570893524,0.8092418588996424,0.8903144709159811,0.7911823647294589,0.7394349325399159,0.8388525654613466,0.9265030060120241,0.8915272264294396,0.9557591040822703,0.9552605210420841,0.9290885286000807,0.9768714221923133,1.0
average_effect,energy_v_statistic,19960,3992,44,0.8519625570893524,0.8092418588996424,0.8903144709159811,0.7911823647294589,0.7394349325399159,0.8388525654613466,0.9265030060120241,0.8915272264294396,0.9557591040822703,0.9552605210420841,0.9290885286000807,0.9768714221923133,1.0
average_effect,mean_cosine,19960,3992,44,0.8875567213886045,0.8644608603755053,0.9108050604456783,0.8328657314629259,0.8008051935774396,0.8649455159919653,0.9569138276553106,0.9442192690143683,0.9702658823317435,0.9800100200400802,0.9725963438006782,0.9875065587525758,1.0
average_effect,mean_l2,19960,3992,44,0.8540115733970366,0.8122927691513461,0.8912452381184499,0.7930360721442886,0.7422398852907466,0.8394231412791454,0.9293587174348698,0.8959827219139618,0.9570232790523604,0.9569138276553106,0.9318440560818173,0.9776234151579082,1.0
average_effect,mmd,19960,3992,44,0.8518166047917616,0.8091194946405695,0.8901979987358557,0.7910821643286573,0.7396762517815293,0.8387501167496887,0.9259018036072144,0.8904025298128007,0.9554229511750149,0.9549098196392786,0.9285437304211401,0.9766716280733806,1.0
average_effect,sliced_wasserstein,19960,3992,44,0.7294128701778231,0.6849548731768914,0.7720378855482507,0.6267535070140281,0.5760314009046265,0.6759678875349836,0.8601703406813628,0.8200849804738205,0.8973067699667339,0.9171342685370741,0.884458976854232,0.945717977902809,1.0
linear_latent,energy,19960,3992,44,0.84249980084936,0.7988627319772313,0.8819944233143219,0.7786573146292585,0.7257372365739656,0.8268572724315972,0.9211923847695391,0.8848020074716839,0.9519179687669497,0.9520541082164329,0.9247305922742539,0.9748507908671816,1.0
linear_latent,energy_v_statistic,19960,3992,44,0.84249980084936,0.7988627319772313,0.8819944233143219,0.7786573146292585,0.7257372365739656,0.8268572724315972,0.9211923847695391,0.8848020074716839,0.9519179687669497,0.9520541082164329,0.9247305922742539,0.9748507908671816,1.0
linear_latent,mean_cosine,19960,3992,44,0.8766463202810622,0.8525769731884101,0.9012073240235706,0.8174849699398797,0.7844574092323059,0.8509151782580036,0.9516032064128257,0.9374457761915592,0.9663339965778684,0.9768036072144288,0.9686055688454392,0.9851539414645085,1.0
linear_latent,mean_l2,19960,3992,44,0.8440520631751299,0.8012224054747314,0.8823282184882401,0.7797595190380762,0.7274716792240087,0.8271122678655932,0.9238977955911823,0.8897846544591663,0.9532260196139477,0.9539579158316633,0.9276871069348072,0.975634380170539,1.0
linear_latent,mmd,19960,3992,44,0.842035998263261,0.7983219306322643,0.8816065220660041,0.7783066132264529,0.7251733370219082,0.8266304116509382,0.9206412825651302,0.8842186590665725,0.9516415785291001,0.9519038076152304,0.9244839835775598,0.9746915062602273,1.0
linear_latent,sliced_wasserstein,19960,3992,44,0.717222926265209,0.6728872267261178,0.7606633863874998,0.6111723446893788,0.5608371731122269,0.6609552030864859,0.8511022044088177,0.8098983876240144,0.8891962112663246,0.9118236472945892,0.8784597404973432,0.9411857816111864,1.0
nearest_context,energy,19960,3992,44,0.4114515795959208,0.35736747355574755,0.46939432265023295,0.30420841683366734,0.25219172273730284,0.3612837668538691,0.5157815631262525,0.4517519731742251,0.5809045768674654,0.6174849699398798,0.5587285740382888,0.6798366275159103,5.0
nearest_context,energy_v_statistic,19960,3992,44,0.4114515795959208,0.35736747355574755,0.46939432265023295,0.30420841683366734,0.25219172273730284,0.3612837668538691,0.5157815631262525,0.4517519731742251,0.5809045768674654,0.6174849699398798,0.5587285740382888,0.6798366275159103,5.0
nearest_context,mean_cosine,19960,3992,44,0.7273886462266255,0.6836299578604546,0.7708433991607943,0.6234468937875751,0.5712810400762208,0.6747219626781695,0.8568637274549098,0.8197586574952561,0.8920408560092192,0.9202404809619239,0.8948199951828313,0.9441651365479308,1.0
nearest_context,mean_l2,19960,3992,44,0.414642377132785,0.3603373001511142,0.47278069881943835,0.3076653306613226,0.2553466507465462,0.3652656432384225,0.5195891783567135,0.45591244596041725,0.5847674518048677,0.6206412825651303,0.5618256748001861,0.6817408868503351,5.0
nearest_context,mmd,19960,3992,44,0.4117808714838086,0.357697016861293,0.4696300598450598,0.3047094188376753,0.25264974668289586,0.3620410489258951,0.5163326653306614,0.4523470222912542,0.5815656944255145,0.6176352705410821,0.5586833517115549,0.6795397030614095,5.0
nearest_context,sliced_wasserstein,19960,3992,44,0.3633110316950632,0.31671227432012733,0.4120022774790304,0.25120240480961925,0.2087645850574279,0.29761276987710894,0.4754008016032064,0.41952989988236783,0.5349040431890321,0.5850701402805611,0.528752099050712,0.6436063244259728,6.0
