split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,recommendation_mode,structure_reliability_score,preference_conflict,information_condition_mode,true_divergence,true_div_min_cos,true_div_minority_frac,minority_state_coverage_gap,moa_ndcg_gap,minority_state_coverage_dart,moa_ndcg_dart,minority_state_coverage_mean,moa_ndcg_mean
leave_MoA_out,A549,Avagacestat (BMS-708163),Proteases,0.9893617021276596,1,mean_or_no_call,0.3667366240511714,0.5677966101694916,observed,1.6628450820312086,-0.6628450820312086,0.335,-0.00023857599898202686,,0.9834621328890536,,0.9837007088880356,
leave_MoA_out,A549,BMS-911543,JAK/STAT,0.8936170212765957,1,DART_recommended,0.4441354460884547,0.5813559322033899,observed,1.6979925978050945,-0.6979925978050945,0.445,0.00025444915619521336,,0.9944418485076908,,0.9941873993514956,
leave_MoA_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),TGF-beta/Smad,0.9840425531914894,1,DART_recommended,0.5483362164900488,0.596045197740113,observed,1.72464783488905,-0.72464783488905,0.445,0.0,,0.9872841241005548,,0.9872841241005548,
leave_MoA_out,A549,CEP-33779,JAK/STAT,0.8936170212765957,0,mean_or_no_call,0.3163012045883557,0.5836158192090395,observed,1.5589583463295298,-0.5589583463295298,0.34,-7.467218787460261e-05,,0.993710228183126,,0.9937849003710006,
leave_MoA_out,A549,CEP-33779,JAK/STAT,0.8936170212765957,4,DART_recommended,0.4795737749784408,0.635593220338983,observed,1.6049964173330344,-0.6049964173330344,0.43,-0.0009908012665051924,,0.985138473254094,,0.9861292745205992,
leave_MoA_out,A549,Carmofur,DNA Damage,0.8723404255319149,3,DART_recommended,0.4931920270721902,0.5432325532941561,observed,1.396340672012681,-0.396340672012681,0.49,0.0012634073689355985,,0.9925502285373708,,0.9912868211684353,
leave_MoA_out,A549,Celecoxib,Neuronal Signaling,0.9787234042553192,0,DART_recommended,0.4699372430980471,0.5050847457627119,observed,1.6621123055307705,-0.6621123055307704,0.455,-0.0014465701413374221,,0.9858158629155588,,0.9872624330568962,
leave_MoA_out,A549,Celecoxib,Neuronal Signaling,0.9787234042553192,3,DART_recommended,0.4218367595666312,0.5519774011299435,observed,1.6943889544411974,-0.6943889544411974,0.43,-0.00015843796510739416,,0.9927285303496282,,0.9928869683147356,
leave_MoA_out,A549,Celecoxib,Neuronal Signaling,0.9787234042553192,4,DART_recommended,0.4253544366720407,0.5971751412429378,observed,1.668514271216725,-0.6685142712167247,0.475,0.0016044408511437513,,0.990942479563577,,0.9893380387124332,
leave_MoA_out,A549,Clevudine,DNA Damage,0.8723404255319149,2,DART_recommended,0.4382081459311127,0.5994350282485876,observed,1.6164446959321106,-0.6164446959321106,0.345,6.400003556616962e-05,,0.9826712498028494,,0.9826072497672832,
leave_MoA_out,A549,Disulfiram,Metabolism,0.973404255319149,3,mean_or_no_call,0.3870958863367559,0.5169491525423728,observed,1.604710273657132,-0.6047102736571319,0.31,-0.0004896809973473637,,0.9821073593991474,,0.9825970403964948,
leave_MoA_out,A549,Divalproex Sodium,Ubiquitin,0.9893617021276596,3,DART_recommended,0.4036087619875141,0.6455213395195449,observed,1.6711660909453474,-0.6711660909453474,0.425,0.0007384255840391374,,0.9925856898870932,,0.991847264303054,
leave_MoA_out,A549,Divalproex Sodium,Ubiquitin,0.9893617021276596,4,DART_recommended,0.4604704581250117,0.6129943502824858,observed,1.6804603500022133,-0.6804603500022133,0.41,0.0017249469535155493,,0.9867955772802296,,0.985070630326714,
leave_MoA_out,A549,Droxinostat,Cytoskeletal Signaling,0.9361702127659576,0,DART_recommended,0.4194991481959268,0.5875706214689266,observed,1.5823075020420343,-0.5823075020420343,0.38,0.0015217544483984158,,0.9848408655899332,,0.9833191111415348,
leave_MoA_out,A549,Enzastaurin (LY317615),TGF-beta/Smad,0.9840425531914894,3,DART_recommended,0.515538760780533,0.5898305084745763,observed,1.6085426963349374,-0.6085426963349374,0.47,-0.0007626515664898026,,0.993483579497536,,0.9942462310640258,
leave_MoA_out,A549,Fulvestrant,Endocrinology & Hormones,0.973404255319149,1,DART_recommended,0.4938758009104523,0.5005649717514125,observed,1.6065631166172716,-0.6065631166172716,0.435,-0.002177912468553811,,0.9908666760484506,,0.9930445885170044,
leave_MoA_out,A549,Givinostat (ITF2357),Cytoskeletal Signaling,0.9361702127659576,4,DART_recommended,0.4502719744407406,0.4418079096045197,observed,0.6825554696289,0.3174445303711,0.225,0.0,,0.8653298885126631,,0.8653298885126631,
leave_MoA_out,A549,IOX2,Angiogenesis,0.9414893617021276,1,mean_or_no_call,0.3312486458205508,0.5819209039548022,observed,1.694686450112994,-0.6946864501129939,0.345,0.0035347684259082746,,0.9850537705782306,,0.9815190021523224,
leave_MoA_out,A549,ITSA-1 (ITSA1),Epigenetics,0.7978723404255319,2,DART_recommended,0.4415537728572836,0.580225988700565,observed,1.5537336627583165,-0.5537336627583163,0.32,0.0015859277755140289,,0.993277892472048,,0.991691964696534,
leave_MoA_out,A549,JNJ-26854165 (Serdemetan),Apoptosis,0.9680851063829788,2,DART_recommended,0.4307185384992272,0.6305084745762712,observed,1.5321369591467895,-0.5321369591467896,0.315,0.002719284112380982,,0.9838925345030942,,0.9811732503907132,
leave_MoA_out,A549,Ki16425,GPCR & G Protein,0.9893617021276596,2,DART_recommended,0.4523210931195147,0.5949152542372882,observed,1.6733728570848174,-0.6733728570848174,0.41,0.0003273798640409664,,0.991893297585606,,0.991565917721565,
leave_MoA_out,A549,MK-0752,Proteases,0.9893617021276596,2,DART_recommended,0.4392620078416099,0.6082226660892927,observed,1.677337473610372,-0.6773374736103718,0.45,0.00600589695263587,,0.9901057862741602,,0.9840998893215244,
leave_MoA_out,A549,PD173074,Angiogenesis,0.9414893617021276,3,mean_or_no_call,0.351546824196324,0.5627118644067797,observed,1.6796887627079808,-0.679688762707981,0.35,0.0021256380528441587,,0.9898450842693,,0.9877194462164558,
leave_MoA_out,A549,PD98059,MAPK,0.9787234042553192,2,DART_recommended,0.4852843275420437,0.4824858757062147,observed,1.6146584760608187,-0.6146584760608187,0.495,-0.002814455981147601,,0.9919806577197896,,0.9947951137009372,
