context,ko,n_cells,response_divergence,subpop_separation,minority_frac,seed,prog_IFN_response_minority_minus_majority,prog_antigen_presentation_minority_minus_majority,prog_antigen_presentation_loss_minority_minus_majority,prog_AXL_mesenchymal_minority_minus_majority,prog_quiescence_minority_minus_majority,proliferation_minority_minus_majority
Co-culture,MRPL47,107,0.07057834765722332,1.4468902945518494,0.4205607476635514,0,0.04235440120100975,-0.04192976653575897,-0.01072845421731472,0.29210004210472107,-0.8531820774078369,-0.9230798482894897
Co-culture,MT2A,183,0.06209556309547099,1.7942507863044739,0.4808743169398907,0,0.013570668175816536,0.05396917089819908,0.12968866527080536,0.14480973780155182,-0.8887205719947815,-0.9043377637863159
Co-culture,MYC,77,0.10768827698676028,1.435802161693573,0.33766233766233766,0,0.11858527362346649,0.12103886902332306,0.07986289262771606,-0.14437291026115417,1.257827877998352,1.3146684169769287
Co-culture,NCL,45,0.08834187862999217,1.5564199686050415,0.3111111111111111,0,-0.5599832534790039,-0.3204314112663269,-0.37892812490463257,0.25972220301628113,0.5144774317741394,0.44406020641326904
Co-culture,NDUFA13,97,0.059857666800986226,1.5141361355781555,0.2268041237113402,0,0.3139663338661194,0.5673571825027466,0.6614856719970703,0.11337045580148697,-0.5786192417144775,-0.6465610861778259
Co-culture,NEAT1,215,0.07859092141724133,1.818183422088623,0.42790697674418604,0,0.1910398006439209,0.16088803112506866,0.1482292264699936,-0.1404905468225479,0.9320449829101562,0.986890435218811
Co-culture,NGFR,203,0.07620673376523895,1.8713082075119019,0.4729064039408867,0,-0.09496291726827621,0.12830768525600433,0.17884795367717743,0.1280701458454132,-0.9264070987701416,-0.9316881895065308
Co-culture,NME1,205,0.07871938381013578,1.8185575008392334,0.3853658536585366,0,0.019915327429771423,0.07321226596832275,-0.006897917483001947,-0.07316805422306061,1.013327717781067,1.0494346618652344
Co-culture,NMRK1,253,0.06687218540885273,1.8460214138031006,0.4308300395256917,0,0.05032218620181084,0.10344986617565155,0.04072416573762894,-0.08070491999387741,0.9975693225860596,0.9355995655059814
Co-culture,NOLC1,100,0.07881186103384343,1.7157184481620789,0.43,0,0.19559377431869507,0.16723307967185974,0.05874226242303848,-0.10380230844020844,1.108840823173523,0.985171914100647
Co-culture,NONO,213,0.07495971706289878,1.7578960061073303,0.4647887323943662,0,0.138835608959198,0.058566927909851074,-0.012682946398854256,-0.21098574995994568,0.9772138595581055,1.0430495738983154
Co-culture,NPC1,284,0.05679666837284892,1.5983529090881348,0.23943661971830985,0,-0.2033366560935974,-0.09867604076862335,-0.02200586535036564,0.41390931606292725,-0.21282914280891418,-0.3651480972766876
Co-culture,NPC2,267,0.06698204711249052,1.8840795159339905,0.38202247191011235,0,0.3591027557849884,0.3283507823944092,0.2779146432876587,-0.047591112554073334,0.9477207064628601,0.9016700983047485
Co-culture,NSG1,222,0.06719991837490988,1.8650422096252441,0.42342342342342343,0,0.1928452104330063,0.14207792282104492,0.08435928821563721,-0.07001756876707077,1.0512564182281494,0.9689671993255615
Co-culture,NT5E,297,0.0711542532415188,1.9124391078948975,0.46464646464646464,0,0.0055001238361001015,0.19551950693130493,0.26872074604034424,0.01044253259897232,-0.9876370429992676,-0.9927396178245544
Co-culture,NUP50-AS1,262,0.08081765465529911,1.852916955947876,0.3969465648854962,0,0.017859648913145065,0.053460463881492615,-0.012806784361600876,-0.06581699103116989,1.0257525444030762,1.017820119857788
Co-culture,P2RX4,89,0.06371843963124568,1.6178687810897827,0.3595505617977528,0,0.08479678630828857,0.09470663964748383,0.02384207397699356,-0.20086389780044556,0.8301494121551514,0.8631856441497803
Co-culture,PABPC1,85,0.07833566842196302,1.353632241487503,0.38823529411764707,0,-0.2886349558830261,-0.1613353192806244,-0.10883290320634842,0.320187509059906,-0.691164493560791,-0.7480040192604065
Co-culture,PAICS,61,0.07507093007958435,1.4972586631774902,0.45901639344262296,0,-0.3399965167045593,-0.5132271647453308,-0.5300143957138062,-0.08918645977973938,0.8602637052536011,0.8638837337493896
Co-culture,PET100,88,0.08585936600471798,1.6273823976516724,0.4659090909090909,0,-0.008892001584172249,-0.19166964292526245,-0.3058868646621704,0.0585952028632164,1.1607009172439575,1.076796531677246
Co-culture,PFDN4,220,0.05710746449026958,1.7493003010749817,0.4681818181818182,0,-0.20999687910079956,-0.2514870762825012,-0.33672481775283813,-0.16097715497016907,0.8292174339294434,0.7766226530075073
Co-culture,PFN1,120,0.07927063260814149,1.5933687090873718,0.4,0,0.16626624763011932,0.24727332592010498,0.2065565586090088,-0.06482487916946411,0.9072076082229614,1.0211495161056519
Co-culture,PIK3IP1,218,0.0734447916269507,1.8426570296287537,0.4908256880733945,0,0.1236484944820404,0.03604122996330261,-0.06834627687931061,-0.0328301265835762,1.01801598072052,0.9854739904403687
Co-culture,PPIA,209,0.07447877504180996,1.8025947213172913,0.4019138755980861,0,0.13917133212089539,0.10786747932434082,0.028155844658613205,-0.15254440903663635,1.0623654127120972,1.0627477169036865
Co-culture,PROS1,203,0.06039053935899654,1.7857661843299866,0.2660098522167488,0,-0.24604609608650208,-0.23480969667434692,-0.2279708981513977,0.35159656405448914,0.006954720243811607,-0.12867999076843262
Co-culture,PSAP,280,0.07798525866062946,1.8398035168647766,0.4392857142857143,0,0.13461512327194214,0.0767919048666954,0.037853628396987915,-0.2009178251028061,1.005107045173645,1.0473002195358276
Co-culture,PSMB8-AS1,216,0.08093381717580256,1.8427532315254211,0.4351851851851852,0,0.016935210675001144,0.24182364344596863,0.27666234970092773,0.06378185749053955,-1.008920669555664,-0.9786741137504578
Co-culture,PTMA,259,0.07648955597250202,1.7193869948387146,0.4826254826254826,0,0.03444908186793327,-0.052668116986751556,-0.1324889361858368,-0.1720273196697235,1.0087529420852661,0.9892641305923462
Co-culture,PUF60,70,0.09532672963425096,1.691935122013092,0.4,0,-0.03479708358645439,-0.061306633055210114,-0.12556296586990356,-0.03928304463624954,1.0313845872879028,1.0951721668243408
Co-culture,PYGB,179,0.06939796668092056,1.818630874156952,0.4972067039106145,0,0.15171712636947632,0.111164391040802,0.06774593889713287,-0.16393734514713287,0.9255874156951904,0.9309848546981812
Co-culture,RAB27A,249,0.07271379481668994,1.8943755626678467,0.4939759036144578,0,-0.17573049664497375,-0.14277362823486328,-0.09750473499298096,0.14066320657730103,-0.8863052725791931,-0.9062734842300415
