dataset,setting,count,mean,std,min,25%,50%,75%,max
controlled,A549,100.0,0.31666666666666665,0.13375554443956125,0.1111111111111111,0.25,0.25,0.42857142857142855,0.6666666666666666
controlled,K562,100.0,0.30892857142857144,0.10063722793136139,0.25,0.25,0.25,0.42857142857142855,0.6666666666666666
controlled,MCF7,100.0,0.4416666666666667,0.12846917530804425,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666
crossline,A549+MCF7,750.0,0.32976190476190476,0.18081423334257413,0.0,0.25,0.25,0.42857142857142855,1.0
crossline,K562+A549,750.0,0.30186772486772484,0.19806628662945855,0.0,0.1111111111111111,0.25,0.42857142857142855,1.0
crossline,K562+MCF7,750.0,0.42133333333333334,0.26270310280848086,0.0,0.25,0.42857142857142855,0.6666666666666666,1.0
