dataset,setting,n_queries,top1_flip_rate,decision_flip_to_gt_rate,incumbent_hit1,ours_hit1,mean_topk_overlap,mean_kendall_tau,mean_delta_rank
controlled,A549,100,0.61,0.61,0.36,0.97,0.3148809523809524,0.27634551495016607,0.61
controlled,K562,100,0.65,0.65,0.11,0.76,0.30892857142857144,0.28335634090613715,0.72
controlled,MCF7,100,0.63,0.62,0.34,0.95,0.44166666666666665,0.3958582502768549,0.61
crossline,A549+MCF7,750,0.468,0.43733333333333335,0.5293333333333333,0.9613333333333334,0.3293068783068783,0.3271200060634614,0.4666666666666667
crossline,K562+A549,750,0.492,0.42533333333333334,0.5066666666666667,0.9133333333333333,0.30461904761904757,0.2990534594158403,-0.18133333333333335
crossline,K562+MCF7,750,0.6906666666666667,0.6146666666666667,0.2986666666666667,0.896,0.4235502645502645,0.33620880492276195,0.5693333333333334
