dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,A549:Sirtinol:s0,observed,0.3434713008474091,0.6310734463276836,0.3285032488068541,0.02935866505603983,0.604191685968907,0.2,mean_sufficient,0.9882924045609229,0.9887770099081409,0,mean_sufficient,True
sciplex3_within_line,A549:Zileuton:s0,observed,0.49189659850393785,0.6954802259887005,0.4506052154708006,0.03843258826851734,0.5888700828360554,0.4,mean_sufficient,0.9887274286165385,0.9877985064489123,0,DART_recommended,False
sciplex3_within_line,A549:Ofloxacin:s0,observed,0.4327980485417059,0.5779661016949152,0.3795066413662239,0.027165114744898626,0.5847537982883166,0.4,mean_sufficient,0.9928760684156273,0.9915628566936774,0,DART_recommended,False
sciplex3_within_line,A549:Lapatinib (GW-572016) Ditosylate:s0,observed,0.46266183610849254,0.5683615819209039,0.4270024725432695,0.030883054218197294,0.6056180806375628,0.4,mean_sufficient,0.9919529529654407,0.9919529529654407,0,DART_recommended,False
sciplex3_within_line,A549:Curcumin:s0,observed,0.3513611430078585,0.5497175141242938,0.3841642228739003,0.025864821731453838,0.5930919980763191,0.2,mean_sufficient,0.9877439260074221,0.9870216094981661,0,mean_sufficient,True
sciplex3_within_line,A549:AICAR (Acadesine):s0,observed,0.4355078503867101,0.6022598870056497,0.3604738082916451,0.029718644418297264,0.6018608422974246,0.4,mean_sufficient,0.9856044236057651,0.9846560697064366,0,DART_recommended,False
sciplex3_within_line,A549:ABT-737:s0,observed,0.3582780786531754,0.5875706214689266,0.3854867460180553,0.027864364548700744,0.5976462390075377,0.2,mean_sufficient,0.9913178741009276,0.9913178741009276,0,mean_sufficient,True
sciplex3_within_line,A549:Disulfiram:s0,observed,0.3937987628886854,0.6033898305084746,0.24644931286297506,0.02955742808135206,0.5886921914258794,0.4,mean_sufficient,0.98876609591005,0.9877767267963353,0,mean_sufficient,True
sciplex3_within_line,A549:Belinostat (PXD101):s0,observed,0.4457767980540901,0.503954802259887,0.19774596055430965,0.09018557974073668,0.6656571186008166,0.4,mean_sufficient,0.8791126052834991,0.8791126052834991,0,DART_recommended,False
sciplex3_within_line,A549:Abexinostat (PCI-24781):s0,observed,0.6656429854691309,0.3514124293785311,0.1334598355471221,0.08165291065108798,0.6893204302763819,1.0,mean_sufficient,0.9277312371446977,0.9277312371446977,0,DART_recommended,False
