predictor,n,median_D_obs,median_D_pred,max_abs_D_pred,frac_D_pred_below_1e-6,spearman_obs_vs_pred
average_effect,3581,0.2600374272002257,3.037317286569419e-10,1.4559028871374835e-07,1.0,-0.033370958595531686
linear_latent,3581,0.2600374272002257,1.281444950151922e-10,1.3043066678560442e-07,1.0,0.00496709774916537
nearest_context,3581,0.2600374272002257,-1.1178433512171183e-09,1.3149902913234258e-07,1.0,0.0031324765276376653
nearest_context_cells,3469,0.261332767306486,0.6862725293940004,1.310389541304626,0.0,0.6369389252227092
ot_map,3581,0.2600374272002257,0.038867406984443596,0.482049462232461,0.0,0.39497602469102333
