split_type,recommendation_mode,method,method_family,moa_hit@1,moa_hit@5,moa_mrr,moa_ndcg,target_hit@5,target_mrr,decision_regret,minority_state_coverage,n_queries
leave_MoA_out,DART_recommended,DART_coverage_mean,DART_coverage,,,,,0.3333333333333333,0.3670792018939991,0.22940161763405315,0.9749100167942117,98
leave_MoA_out,DART_recommended,DART_coverage_worst,DART_coverage,,,,,0.4444444444444444,0.4356263957613561,0.2364843426918497,0.975991278955583,98
leave_MoA_out,DART_recommended,DART_energy,DART_distributional,,,,,0.4444444444444444,0.4797115236884768,0.2154552595955985,0.9752341910098757,98
leave_MoA_out,DART_recommended,DART_mmd,DART_distributional,,,,,0.4444444444444444,0.4117409110841764,0.21688722104442362,0.975351067740195,98
leave_MoA_out,DART_recommended,DART_sliced_wasserstein,DART_distributional,,,,,0.5,0.4085154381387258,0.25072789678768237,0.9740422284699166,98
leave_MoA_out,DART_recommended,cmap_match,cmap_signature,,,,,0.5555555555555556,0.41305552745031743,0.3927744845954739,0.9760163407530777,98
leave_MoA_out,DART_recommended,cmap_reverse,cmap_signature,,,,,0.0,0.057874249194890065,0.9883647840850207,0.957572202281944,98
leave_MoA_out,DART_recommended,mean_cosine,mean_signature,,,,,0.5555555555555556,0.41305552745031743,0.3927744845954739,0.9760163407530777,98
leave_MoA_out,DART_recommended,mean_l2,mean_signature,,,,,0.5,0.3556410153632376,0.2244073809409628,0.9744000087254878,98
leave_MoA_out,mean_or_no_call,DART_coverage_mean,DART_coverage,,,,,0.0,0.018696968609006808,0.18895509026267313,0.9847804261463154,22
leave_MoA_out,mean_or_no_call,DART_coverage_worst,DART_coverage,,,,,0.0,0.02122810795291415,0.19593095779418945,0.9846526555777356,22
leave_MoA_out,mean_or_no_call,DART_energy,DART_distributional,,,,,0.0,0.024602519235054326,0.14497704939408737,0.9853805791642158,22
leave_MoA_out,mean_or_no_call,DART_mmd,DART_distributional,,,,,0.0,0.02290786974405225,0.16669451106678357,0.9852824511358769,22
leave_MoA_out,mean_or_no_call,DART_sliced_wasserstein,DART_distributional,,,,,0.0,0.02411616161616162,0.2233600616455078,0.9846105917937105,22
leave_MoA_out,mean_or_no_call,cmap_match,cmap_signature,,,,,0.0,0.04924614880367093,0.25595521926879883,0.9851162344291068,22
leave_MoA_out,mean_or_no_call,cmap_reverse,cmap_signature,,,,,0.3333333333333333,0.18585425597060623,0.7557673454284668,0.973728101764059,22
leave_MoA_out,mean_or_no_call,mean_cosine,mean_signature,,,,,0.0,0.04924614880367093,0.25595521926879883,0.9851162344291068,22
leave_MoA_out,mean_or_no_call,mean_l2,mean_signature,,,,,0.0,0.019327201560814824,0.16800572655417703,0.9855921673747946,22
leave_drug_out,DART_recommended,DART_coverage_mean,DART_coverage,0.1728395061728395,0.49382716049382713,0.32314963794100743,0.16346303009539812,-0.44238683127572015,-0.48073829057015177,0.2630622730333619,0.9790845393621209,486
leave_drug_out,DART_recommended,DART_coverage_worst,DART_coverage,0.1831275720164609,0.5020576131687243,0.32918148503137995,0.17319393274332773,-0.43621399176954734,-0.47310346994747465,0.2522380970142506,0.979517409669294,486
leave_drug_out,DART_recommended,DART_energy,DART_distributional,0.21604938271604937,0.49794238683127573,0.35594860644845316,0.18122069018380266,-0.43209876543209874,-0.46733388842199236,0.17315317868205254,0.9808973027929327,486
leave_drug_out,DART_recommended,DART_mmd,DART_distributional,0.23251028806584362,0.5123456790123457,0.3662236351759724,0.1845191025593899,-0.43415637860082307,-0.46360513470325954,0.17552323007779846,0.9808628347979663,486
leave_drug_out,DART_recommended,DART_sliced_wasserstein,DART_distributional,0.2448559670781893,0.5329218106995884,0.37490612113709876,0.17954688713839423,-0.43004115226337447,-0.4679731681779281,0.19061346603519141,0.9803484660627962,486
leave_drug_out,DART_recommended,cmap_match,cmap_signature,0.22016460905349794,0.4897119341563786,0.34679974462518914,0.1937815859735291,-0.4279835390946502,-0.47365994675152356,0.3874968246177391,0.9777656910843049,486
leave_drug_out,DART_recommended,cmap_reverse,cmap_signature,0.06172839506172839,0.2674897119341564,0.16887015541652214,0.06828378249499097,-0.5370370370370371,-0.5385342513048645,0.7880887592770925,0.9687921776012135,486
leave_drug_out,DART_recommended,mean_cosine,mean_signature,0.22016460905349794,0.4897119341563786,0.34679974462518914,0.1937815859735291,-0.4279835390946502,-0.47365994675152356,0.3874968246177391,0.9777656910843049,486
leave_drug_out,DART_recommended,mean_l2,mean_signature,0.24691358024691357,0.5329218106995884,0.37625011468323116,0.18391384385988058,-0.4156378600823045,-0.4630389591669799,0.16046939661473403,0.9809945342141873,486
leave_drug_out,mean_or_no_call,DART_coverage_mean,DART_coverage,0.1553398058252427,0.4368932038834951,0.28211502547064093,0.12624576135923957,-0.5436893203883495,-0.5395484246691898,0.21512168587990177,0.982863019594432,103
leave_drug_out,mean_or_no_call,DART_coverage_worst,DART_coverage,0.1553398058252427,0.34951456310679613,0.2712901101594247,0.12281778874788686,-0.5339805825242718,-0.5430498608904113,0.22560906641691633,0.9831127268331757,103
leave_drug_out,mean_or_no_call,DART_energy,DART_distributional,0.18446601941747573,0.46601941747572817,0.3188470945114364,0.1496822194869787,-0.5145631067961165,-0.543863541281774,0.22156333923339844,0.9834587489693329,103
leave_drug_out,mean_or_no_call,DART_mmd,DART_distributional,0.1650485436893204,0.44660194174757284,0.30652602091167747,0.1453440167709623,-0.5242718446601942,-0.5399980359424105,0.22459344956481342,0.983390801808453,103
