split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,information_condition_mode,subpopulation_variance_ratio,isotropy_index,response_diversity,mean_energy_disagreement,bootstrap_rank_stability,preference_conflict_topk,structure_reliability_score,recommendation_mode,seed
leave_drug_out,A549,Selisistat (EX 527),Epigenetics,1.0,observed,0.028505203926610462,5.605193857299268e-45,0.5935737034783292,0.5221666379161636,0.2,0.652542372881356,0.4076313053983216,DART_recommended,0
leave_drug_out,A549,KW-2449,Angiogenesis,1.0,observed,0.03700502721488666,4.203895392974451e-45,0.5394091060772612,0.18509573917543554,1.0,0.6186440677966102,0.6297395009637886,DART_recommended,0
leave_drug_out,A549,Lenalidomide (CC-5013),Apoptosis,1.0,observed,0.025456903102334436,2.481699580319251e-42,0.5940208366048996,0.34011845207291125,0.4,0.535593220338983,0.4148142511930122,DART_recommended,0
leave_drug_out,A549,MK-0752,Proteases,1.0,observed,0.028586885940343514,2.802596928649634e-44,0.6009423337390075,0.4371226496463688,0.2,0.6067796610169491,0.37884781857116034,mean_or_no_call,0
leave_drug_out,A549,Resminostat,Epigenetics,1.0,observed,0.057782685119646224,1.799267228193065e-42,0.6311508224717337,0.3140704962336841,0.8,0.6862108014434566,0.6430397559289629,DART_recommended,0
leave_drug_out,A549,Alendronate sodium trihydrate,Others,1.0,observed,0.02982245694947857,1.6227036216881382e-42,0.5944488065326633,0.3496636191133345,0.6,0.5514124293785311,0.5112945181913691,DART_recommended,0
leave_drug_out,A549,A-366,Epigenetics,1.0,observed,0.03486031144125461,1.999652908591514e-42,0.614897141959799,0.41182220688862053,0.2,0.6497175141242938,0.3902084209307609,mean_or_no_call,0
leave_drug_out,A549,Veliparib (ABT-888),DNA Damage,1.0,observed,0.028566649827600855,1.7242977603516874e-41,0.5925919637248744,0.41791731355298717,0.4,0.6259887005649718,0.45123020559883553,DART_recommended,0
leave_drug_out,A549,Quercetin,Epigenetics,1.0,observed,0.030169354598705077,1.5498361015432477e-42,0.6003892754789573,0.38142951606611286,0.2,0.5790960451977402,0.36404732196715045,mean_or_no_call,0
leave_drug_out,A549,Carmofur,DNA Damage,1.0,observed,0.03240606969757024,3.294452689627645e-42,0.5692691484767588,0.22960151802656542,0.8,0.6192090395480226,0.5545056552496845,DART_recommended,0
leave_drug_out,A549,AG-490 (Tyrphostin B42),Protein Tyrosine Kinase,1.0,observed,0.03297564916980153,3.1389085600875902e-43,0.6012341983354271,0.3683514461503076,0.6,0.6175141242937853,0.527973373495555,DART_recommended,0
leave_drug_out,A549,Meprednisone,Endocrinology & Hormones,1.0,observed,0.03369412073852783,3.2608215264838493e-42,0.593475924544598,0.40710712437467655,0.6,0.6372881355932203,0.54291744820118,DART_recommended,0
leave_drug_out,A549,AC480 (BMS-599626),Protein Tyrosine Kinase,1.0,observed,0.02728518078858066,3.94745777400301e-42,0.6059656191111809,0.460868315058935,0.2,0.5966101694915255,0.3837560145474873,mean_or_no_call,0
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",Epigenetics,1.0,observed,0.03173053717627167,9.865141188846712e-43,0.577291633951005,0.23299407739635442,0.2,0.5542372881355933,0.31446870201263954,mean_or_no_call,0
leave_drug_out,A549,GSK1070916,Cell Cycle,1.0,observed,0.04079743816544222,9.094427033468063e-43,0.5149022946765076,0.12719222586395262,0.4,0.5485875706214689,0.3783998230163608,mean_or_no_call,0
