metric,stratum,n,observed_mean_gap,sd_gap,achieved_power,n_for_80pct_power,data_sufficient
minority_state_coverage,Q4,191,0.005607970758238608,0.013496136232928262,0.9999224300315145,45.458499952036675,True
moa_ndcg,Q4,143,0.003166283252757964,0.16316979246754046,0.05619097018345086,20844.316997236398,False
