metric,stratum,divergence_lo,divergence_hi,divergence_median,n,mean_gap,median_gap,sd_gap,frac_positive,wilcoxon_p_two_sided,wilcoxon_p_greater,bh_qvalue
minority_state_coverage,Q1,0.3840079769810487,1.5485075050560455,1.335438125150524,192,-0.0035352905074722586,0.0,0.02700979376251429,0.40625,0.9690635957966002,0.5154682021017,0.9690635957966002
minority_state_coverage,Q2,1.5492448140718125,1.6628450820312086,1.621046010145295,191,0.0038093790715858582,0.0003516759874544473,0.011522436917967062,0.5497382198952879,0.00011282650125212269,5.6413250626061344e-05,0.00015043533500283025
minority_state_coverage,Q3,1.6629517039355175,1.7183963479272006,1.6935313286603737,191,0.00537301131493513,0.0012390078425733586,0.013001711958644255,0.612565445026178,2.6734193902588864e-08,1.3367096951294432e-08,5.346838780517773e-08
minority_state_coverage,Q4,1.7186245086012872,1.8296204740088056,1.7593505012734951,191,0.005105237366491651,0.0020053913209028273,0.013641785035424315,0.6544502617801047,2.942924913225342e-10,1.471462456612671e-10,1.1771699652901368e-09
minority_state_coverage,ALL,0.3840079769810487,1.8296204740088056,1.6628450820312086,765,0.0026799491809029285,0.0006530522864222066,0.017805374855514956,0.5555555555555556,3.7239119758765205e-15,1.8619559879382603e-15,
moa_ndcg,Q1,0.3840079769810487,1.5485075050560455,1.335438125150524,166,-0.049684293702720914,-0.0061708318573496235,0.173029522020416,0.3192771084337349,0.0004922991448318959,0.999753850427584,0.0019691965793275836
moa_ndcg,Q2,1.5492448140718125,1.6628450820312086,1.621046010145295,150,-0.03909479659504194,0.0,0.1883983380247715,0.31333333333333335,0.012341056961906596,0.9938294715190467,0.02468211392381319
moa_ndcg,Q3,1.6629517039355175,1.7183963479272006,1.6935313286603737,141,-0.015842942827610357,0.0,0.1779828055219838,0.3404255319148936,0.6425745820968951,0.6787127089515524,0.6425745820968951
moa_ndcg,Q4,1.7186245086012872,1.8296204740088056,1.7593505012734951,143,0.014207965467812483,0.0,0.16894301917551954,0.46153846153846156,0.09425100785568541,0.047125503927842705,0.12566801047424722
moa_ndcg,ALL,0.3840079769810487,1.8296204740088056,1.6628450820312086,600,-0.02385654686783973,0.0,0.17846596581716426,0.3566666666666667,0.007703863130368509,0.9961480684348157,
