K,type,subpops,agreement,std,verdict
2,within,c0,0.26259190645319114,0.05290093884513865,
2,within,c1,0.18721597518092345,0.07160979701010875,
2,between,c0-c1,0.16145984442805547,0.059479587660986544,agree~noise
3,within,c0,0.15642514233129517,0.06647261240027641,
3,within,c1,0.20092241559879476,0.04514630790329371,
3,within,c2,0.2621636367766871,0.06188994360184108,
3,between,c0-c1,0.13757343335030106,0.03597519380215749,agree~noise
3,between,c0-c2,0.15803826159349094,0.0382191411162329,agree~noise
3,between,c1-c2,0.1847441976973728,0.05641918637502309,agree~noise
