lineage,frac,n_drugs,agree_with_mean,is_minority
c0,0.25866666666666666,36,0.6814583151117132,False
c1,0.367,36,0.7344186520284218,False
c2,0.29133333333333333,36,0.695149791616651,False
c3,0.083,36,0.24658395160865562,True
