scorer,n_query_seed,n_queries,n_contexts,MRR,MRR_lo,MRR_hi,Hit@1,Hit@1_lo,Hit@1_hi,Hit@5,Hit@5_lo,Hit@5_hi,Hit@10,Hit@10_lo,Hit@10_hi,median_rank
energy,19960,3992,44,0.9755154333475619,0.9659058190328582,0.983912815327054,0.960370741482966,0.9460547220503065,0.9729616323661934,0.994438877755511,0.9912578965076273,0.9973013661792636,0.9981963927855712,0.9969720713764896,0.9993488849297223,1.0
energy_v_statistic,19960,3992,44,0.9658774821705447,0.9515579808762582,0.9788967122542316,0.9477955911823648,0.9274929466415796,0.9658313090717053,0.9880761523046092,0.9806337206720779,0.9945988182859901,0.9939879759519038,0.9891592456983427,0.997949487371843,1.0
mean_cosine,19960,3992,44,0.945168100241499,0.92665391701513,0.9611432205899086,0.9155811623246493,0.89024730531167,0.937531740617397,0.982064128256513,0.9711304505296925,0.9910702592273068,0.9923847695390782,0.9867629422174017,0.9970492623155789,1.0
mean_l2,19960,3992,44,0.965285391272688,0.9517263214884495,0.9770099179604058,0.945440881763527,0.926009438165113,0.9622494553630946,0.9890781563126253,0.9825882959672753,0.9948579376760923,0.9957414829659319,0.9928695588060502,0.9982051131885389,1.0
mmd,19960,3992,44,0.9753621188447876,0.9658144099968297,0.9837871097283015,0.9599699398797595,0.9455454671220865,0.9726603548501163,0.9942384769539078,0.9908235779094487,0.9972541188217674,0.9981462925851703,0.9968781273751313,0.9993024588157478,1.0
sliced_wasserstein,19960,3992,44,0.922180517027602,0.9023184488766998,0.9402026860187509,0.8825150300601202,0.8557281402653864,0.9061198995105689,0.9741482965931864,0.9620765106624817,0.984915435844931,0.989128256513026,0.9822748158120516,0.9950028693300136,1.0
