subpop_variance_ratio,split_half_stability,response_diversity,isotropy_index,n_cells,pair,drug,seed,source,predictor,synth,score_disagreement
0.11233680632211875,0.9600595831871033,0.19077592608232163,0.8545130551119399,200,K562+A549,(+)-JQ1,0,real_blend,real_blend,real,1.0
0.029172051774991305,0.9822168588638306,0.12821304296946767,0.9818602782489405,200,K562+A549,(+)-JQ1,0,real_single,real_single,real,
0.1395417097848702,0.9571457386016846,0.23547849526967612,0.8123361335166411,200,K562+A549,(+)-JQ1,0,predicted,average_effect,cells,-0.5
0.1395417097848702,0.9656967937946319,0.22332958663552394,0.8123362933723026,200,K562+A549,(+)-JQ1,0,predicted,nearest_neighbor,cells,0.5
0.46396555995782873,0.9883332133293152,0.6373990702286689,0.637096770825069,200,K562+A549,(+)-JQ1,0,predicted,scgen,cells,0.5
0.008638623857415942,0.9736809015274048,0.06207000551021702,0.9975260449497096,200,K562+A549,(+)-JQ1,0,predicted,average_effect,gaussian,1.0
0.008638775211356451,0.9789691090583801,0.05933273376332182,0.9975258927365757,200,K562+A549,(+)-JQ1,0,predicted,nearest_neighbor,gaussian,1.0
0.007959214194069761,0.9779935359954834,0.05564508793873024,0.9980026889684095,200,K562+A549,(+)-JQ1,0,predicted,scgen,gaussian,1.0
0.11872805710870027,0.9527219653129577,0.2011318425811892,0.8420191912728701,200,K562+A549,(+)-JQ1,1,real_blend,real_blend,real,1.0
0.029172051774991305,0.983886432647705,0.12907920379929416,0.9818602782489405,200,K562+A549,(+)-JQ1,1,real_single,real_single,real,
0.15007586280124807,0.9655078887939453,0.2752056463109098,0.7948875436391025,200,K562+A549,(+)-JQ1,1,predicted,average_effect,cells,0.5
0.15007595442131053,0.9722979426383972,0.2596207013091767,0.7948874700763835,200,K562+A549,(+)-JQ1,1,predicted,nearest_neighbor,cells,0.5
0.4836628046970734,0.992335170507431,0.6842853336218646,0.6141158573256178,200,K562+A549,(+)-JQ1,1,predicted,scgen,cells,0.5
0.008948312449782813,0.9742015898227692,0.059752040941548845,0.9979524799698798,200,K562+A549,(+)-JQ1,1,predicted,average_effect,gaussian,1.0
0.008905238792635814,0.9793443739414215,0.05785208304114131,0.9979529982401508,200,K562+A549,(+)-JQ1,1,predicted,nearest_neighbor,gaussian,1.0
0.008434311974996502,0.9786233961582184,0.052890050024817725,0.9981046045501006,200,K562+A549,(+)-JQ1,1,predicted,scgen,gaussian,1.0
0.12068667627796677,0.9586505174636841,0.19833245869114424,0.8450293324877263,200,K562+A549,(+)-JQ1,2,real_blend,real_blend,real,1.0
0.029172051774991305,0.983024388551712,0.12430077728928246,0.9818602782489405,200,K562+A549,(+)-JQ1,2,real_single,real_single,real,
0.14201314819526262,0.9580209076404571,0.24682499805438218,0.8089566240200136,200,K562+A549,(+)-JQ1,2,predicted,average_effect,cells,-0.5
0.14201314819526262,0.9666091144084931,0.23464455228633951,0.8089566262384087,200,K562+A549,(+)-JQ1,2,predicted,nearest_neighbor,cells,0.5
0.47291142771505273,0.989172774553299,0.6695120755858615,0.6323489524803034,200,K562+A549,(+)-JQ1,2,predicted,scgen,cells,0.5
0.009127493915047245,0.9746284544467926,0.06313725465617659,0.9974243513581202,200,K562+A549,(+)-JQ1,2,predicted,average_effect,gaussian,1.0
0.009127234838806201,0.979593425989151,0.059263557972963565,0.9974245153824877,200,K562+A549,(+)-JQ1,2,predicted,nearest_neighbor,gaussian,1.0
0.00815282128956068,0.9789846897125244,0.05674087561478314,0.9977902131794941,200,K562+A549,(+)-JQ1,2,predicted,scgen,gaussian,1.0
0.11910521371817034,0.9614815950393677,0.22039830320408105,0.8493356511714247,200,K562+A549,(+)-JQ1,3,real_blend,real_blend,real,1.0
0.029172051774991305,0.9833470165729523,0.1282521703312295,0.9818602782489405,200,K562+A549,(+)-JQ1,3,real_single,real_single,real,
0.14283505998762516,0.961160409450531,0.2636832439850354,0.8051623257175721,200,K562+A549,(+)-JQ1,3,predicted,average_effect,cells,-0.5
0.14283504679819797,0.9687469124794006,0.2492835547269051,0.8051623773244387,200,K562+A549,(+)-JQ1,3,predicted,nearest_neighbor,cells,0.5
0.4867976303316661,0.9911110460758209,0.6755434520699035,0.6224156607245428,200,K562+A549,(+)-JQ1,3,predicted,scgen,cells,0.5
0.009005236560604129,0.973853588104248,0.0583215629562307,0.9975734456885548,200,K562+A549,(+)-JQ1,3,predicted,average_effect,gaussian,1.0
0.009005052695505012,0.979099440574646,0.05522589544063505,0.9975738582554932,200,K562+A549,(+)-JQ1,3,predicted,nearest_neighbor,gaussian,1.0
0.008394520837688766,0.9782658994197846,0.0517437229833293,0.9981269356195505,200,K562+A549,(+)-JQ1,3,predicted,scgen,gaussian,1.0
