synth,predictor,subpop_variance_ratio_mean,subpop_variance_ratio_std,split_half_stability_mean,split_half_stability_std,response_diversity_mean,response_diversity_std,isotropy_index_mean,isotropy_index_std,score_disagreement_mean,score_disagreement_std
cells,average_effect,0.13923181441316188,0.021189118623434876,0.9703989271074533,0.00618130990555442,0.25467345732339,0.04067942614759937,0.8255202791006148,0.023416533659304944,0.24375,0.5010057875545749
cells,nearest_neighbor,0.13923181343190005,0.02118911739872682,0.9708045996973912,0.00708458524433498,0.2498525261179535,0.03916032018105447,0.8255202804270494,0.0234165255050863,0.55,0.15031347996575098
cells,scgen,0.457667865134976,0.0418868791715204,0.9930267071227232,0.0018035376871664908,0.5871937431062749,0.047287736524702015,0.6454771364039417,0.028903637775550994,0.4125,0.6617540404423995
gaussian,average_effect,0.00902248352876143,0.00044754791558463574,0.9765941837181648,0.0022641024684049347,0.05974784130301603,0.002229349275967198,0.9975963492987645,0.000276792235686699,0.5979166666666667,0.1988350837152212
gaussian,nearest_neighbor,0.009017110146154611,0.00044864246992061194,0.977029313792785,0.0029982347906054568,0.05934600207903776,0.0023251064392260743,0.9975964700043145,0.0002767528534624616,0.9604166666666667,0.17565130841482005
gaussian,scgen,0.008041451775357174,0.0002517586726182812,0.9808009537061056,0.0019644978659894,0.05279426342407783,0.0020970685111369246,0.9979611032322931,0.0001837580775360168,0.9520833333333333,0.1474888597074246
real,real_blend,0.13807182963278572,0.027862135386879483,0.969359717220068,0.0068050783112126876,0.24913450680007798,0.04889194353438553,0.823159230791587,0.032710181454902676,0.8083333333333333,0.2436072472945932
real,real_single,0.04626931493716926,0.021523106638798663,0.9846962630252044,0.002908671336700577,0.15754960535063187,0.019908292586281566,0.9593134918073862,0.026969244475862426,,
