synth,predictor,mean,std,median,count
cells,average_effect,0.18554097549701207,0.18914625369524585,0.11497873569977943,96
cells,nearest_neighbor,0.3660781923808953,0.22035003596889863,0.3467414926651285,96
cells,scgen,0.2386906399765797,0.2750735726574024,0.1828331356711927,96
gaussian,average_effect,,,,0
gaussian,nearest_neighbor,-0.3979631868670018,0.035878021042593584,-0.40434079661353545,4
gaussian,scgen,,,,0
real,real_blend,0.014288406115015667,0.04778772938067048,0.011016746883504881,96
