pair,drug,seed,predictor,synth,induced_response_cosine
K562+A549,2-Methoxyestradiol (2-MeOE2),3,average_effect,cells,0.09451747627224653
K562+A549,2-Methoxyestradiol (2-MeOE2),3,nearest_neighbor,cells,0.18738047655009463
K562+A549,2-Methoxyestradiol (2-MeOE2),3,scgen,cells,0.2834886646887644
K562+A549,2-Methoxyestradiol (2-MeOE2),3,average_effect,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),3,nearest_neighbor,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),3,scgen,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),4,real_blend,real,-0.02884173579955509
K562+A549,2-Methoxyestradiol (2-MeOE2),4,average_effect,cells,0.1888143848185298
K562+A549,2-Methoxyestradiol (2-MeOE2),4,nearest_neighbor,cells,0.2655356254183712
K562+A549,2-Methoxyestradiol (2-MeOE2),4,scgen,cells,0.2593475770106905
K562+A549,2-Methoxyestradiol (2-MeOE2),4,average_effect,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),4,nearest_neighbor,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),4,scgen,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),5,real_blend,real,0.02265000735130493
K562+A549,2-Methoxyestradiol (2-MeOE2),5,average_effect,cells,0.0891376133668009
K562+A549,2-Methoxyestradiol (2-MeOE2),5,nearest_neighbor,cells,0.21036245270196108
K562+A549,2-Methoxyestradiol (2-MeOE2),5,scgen,cells,0.048432372658530495
K562+A549,2-Methoxyestradiol (2-MeOE2),5,average_effect,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),5,nearest_neighbor,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),5,scgen,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),6,real_blend,real,0.01027606518400319
K562+A549,2-Methoxyestradiol (2-MeOE2),6,average_effect,cells,0.08813554952497239
K562+A549,2-Methoxyestradiol (2-MeOE2),6,nearest_neighbor,cells,0.19702950512023837
K562+A549,2-Methoxyestradiol (2-MeOE2),6,scgen,cells,0.1814792887230662
K562+A549,2-Methoxyestradiol (2-MeOE2),6,average_effect,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),6,nearest_neighbor,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),6,scgen,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),7,real_blend,real,-0.02248604202702172
