cell_line,drug,n_per_arm,A_sup,A_unsup,G
A498,AZD-8055,300,0.855,0.6516666666666666,0.20333333333333337
A498,AZD1390,300,0.7983333333333333,0.5016666666666667,0.29666666666666663
A498,AZD2858,253,0.717391304347826,0.5177865612648221,0.1996047430830039
A498,Abemaciclib,300,0.9316666666666666,0.7383333333333333,0.19333333333333336
A498,Adagrasib,300,0.6283333333333333,0.5916666666666667,0.036666666666666625
A498,Afatinib,300,0.8966666666666666,0.5966666666666667,0.29999999999999993
A498,Alpelisib,300,0.85,0.5883333333333334,0.2616666666666666
A498,Anastrozole,300,0.815,0.5416666666666666,0.2733333333333333
A498,BAY1125976,300,0.925,0.6133333333333333,0.31166666666666676
A498,BI-3406,300,0.8533333333333334,0.5416666666666667,0.31166666666666665
A498,BI-78D3,300,0.7583333333333333,0.5033333333333333,0.255
A498,Belumosudil (mesylate),300,0.8466666666666667,0.5349999999999999,0.31166666666666676
A498,Belzutifan,300,0.8916666666666667,0.5433333333333333,0.3483333333333334
A498,Bentamapimod,300,0.8616666666666667,0.6116666666666667,0.25
A498,Bimiralisib,300,0.9083333333333333,0.7183333333333334,0.18999999999999995
A498,Binimetinib,300,0.885,0.6983333333333333,0.18666666666666676
A498,Bortezomib,182,0.9835164835164835,0.9862637362637363,-0.0027472527472528485
A498,Brivudine,300,0.9766666666666667,0.955,0.021666666666666723
A498,CP21R7,300,0.6966666666666667,0.5116666666666667,0.18499999999999994
A498,Capivasertib,300,0.705,0.515,0.18999999999999995
A498,Capmatinib,300,0.81,0.5666666666666667,0.2433333333333334
A498,Celecoxib,300,0.6616666666666666,0.52,0.1416666666666666
A498,DT-061,300,0.8166666666666667,0.5716666666666667,0.245
A498,DTP3,300,0.8283333333333334,0.5633333333333334,0.265
A498,Dabrafenib,300,0.8883333333333333,0.595,0.29333333333333333
A498,ERK5-IN-2,300,0.8983333333333333,0.6216666666666667,0.2766666666666666
A498,ETC-206,300,0.7266666666666667,0.5283333333333333,0.19833333333333336
A498,EX229,300,0.9616666666666667,0.56,0.4016666666666666
A498,Elimusertib hydrochloride,300,0.895,0.5216666666666666,0.3733333333333334
