cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,induced_cosine,D,norm_r_G1,norm_r_G2M
A-172,4EGI-1,584,205,1732,1027,0.8302086649861262,0.16979133501387378,2.190174102783203,2.103888988494873
A-172,9-ING-41,2132,950,1732,1027,0.8312431696624945,0.16875683033750555,1.2116070985794067,1.3441864252090454
A-172,APTO-253,775,411,1732,1027,0.7156506691763349,0.2843493308236651,1.0517088174819946,1.1436914205551147
A-172,AT7519,1214,633,1732,1027,0.8299951151412432,0.17000488485875676,0.9006795883178711,1.1205204725265503
A-172,AZD-7648,364,292,1732,1027,0.8292560873846206,0.17074391261537936,1.1719813346862793,1.2744985818862915
A-172,AZD-8055,1426,542,1732,1027,0.8372615711556229,0.16273842884437706,1.9721553325653076,1.7104939222335815
A-172,AZD1390,789,373,1732,1027,0.5924899152134421,0.4075100847865579,1.2052385807037354,1.8121004104614258
A-172,AZD2858,195,121,1732,1027,0.6832822978336056,0.3167177021663944,1.0611740350723267,1.1159985065460205
A-172,Abemaciclib,741,424,1732,1027,0.8801565725849068,0.11984342741509324,2.1537725925445557,2.1323955059051514
A-172,Adagrasib,434,309,1732,1027,0.7421442730606949,0.25785572693930514,0.9213348627090454,0.9748004674911499
A-172,Afatinib,1873,707,1732,1027,0.9103388188409911,0.0896611811590089,2.0210251808166504,2.065272092819214
A-172,Alpelisib,753,438,1732,1027,0.8790332935534122,0.1209667064465878,1.4912084341049194,1.4445427656173706
A-172,Anastrozole,677,507,1732,1027,0.7337732864893761,0.2662267135106239,0.8363908529281616,0.871383011341095
A-172,BAY1125976,1863,624,1732,1027,0.8381908324108667,0.16180916758913333,1.9467211961746216,1.9474233388900757
A-172,BI-3406,1868,710,1732,1027,0.9044917606352997,0.09550823936470032,2.3309926986694336,2.1026852130889893
A-172,BI-78D3,1204,687,1732,1027,0.7973412188833258,0.20265878111667424,1.0023900270462036,0.995001494884491
A-172,Belumosudil (mesylate),612,238,1732,1027,0.7941956448859568,0.20580435511404316,1.8135631084442139,1.7638071775436401
A-172,Belzutifan,545,174,1732,1027,0.6765155273037009,0.3234844726962991,1.7492642402648926,1.64439857006073
A-172,Bentamapimod,792,580,1732,1027,0.8470027263348195,0.15299727366518046,1.479398250579834,1.2722585201263428
A-172,Bimiralisib,3330,780,1732,1027,0.9176777525095559,0.08232224749044414,3.1747426986694336,2.599668502807617
A-172,Binimetinib,651,226,1732,1027,0.8977234689279495,0.10227653107205048,2.7104477882385254,2.35288667678833
A-172,Bortezomib,289,47,1732,1027,,,,
A-172,Brivudine,1536,1081,1732,1027,0.9080854511975739,0.09191454880242611,3.622154951095581,3.2513134479522705
A-172,CP21R7,403,263,1732,1027,0.722876466973192,0.27712353302680803,1.0489168167114258,1.0507735013961792
