file,row,column,arm_v,arm_u,delta,rel,max_abs_cell_delta,sign_flips,n,keyed
upgrade/class_c_protein_oracle.csv,Control | RNASEH2A,energy_rho,0.0539186113731481,-0.0734553075404946,-0.1273739189136427,-2.362336782602601,0.1273739189136427,1,1,True
upgrade/oracle_shape_test.csv,Control | SMAD3,energy_vs_oracleMEAN,0.1744033007847676,0.5857142317375593,0.4113109309527917,2.358389601011013,0.4113109309527917,0,1,True
upgrade/oracle_shape_test.csv,Control | HNRNPC,magmatch_vs_oracleDIST,-0.1113586643710964,0.15083634238589,0.26219500675698637,2.354509262819788,0.26219500675698637,1,1,True
upgrade/oracle_shape_test.csv,Control | MFGE8,energy_vs_oracleMEAN,-0.0873710473518028,0.116990955839661,0.2043620031914638,2.3390128582136884,0.2043620031914638,1,1,True
upgrade/class_c_protein_oracle.csv,Control | LAMP2,energy_rho,-0.1098435376634302,0.1470025554381461,0.2568460931015763,2.3382904316917963,0.2568460931015763,1,1,True
upgrade/oracle_shape_test.csv,Control | RTP4,energy_vs_oracleMEAN,-0.1076004448401938,0.1434824184477826,0.2510828632879764,2.3334742124986567,0.2510828632879764,1,1,True
upgrade/class_c_protein_oracle.csv,Control | MRPL47,energy_rho,-0.1854147328754787,0.2466508667742995,0.4320655996497782,2.330265739669921,0.4320655996497782,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | SP100,energy_vs_oracleMEAN,0.055644874143958,0.185006952295557,0.129362078151599,2.3247797778628874,0.129362078151599,0,1,True
upgrade/class_c_protein_oracle.csv,Control | IFNGR1,energy_rho_partial_magmatch,-0.1210287748128761,0.1599762214528339,0.28100499626571,2.3218031968031974,0.28100499626571,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | NPC1,energy_rho_partial_magmatch,0.035374839187556,0.1174841786545033,0.08210933946694729,2.321122621409155,0.08210933946694729,0,1,True
upgrade/class_c_protein_oracle.csv,Control | RBP7,energy_rho,-0.1703327359309213,0.2246442978716437,0.394977033802565,2.3188556893887298,0.394977033802565,1,1,True
upgrade/class_c_protein_oracle.csv,Control | PFDN4,energy_rho_partial_magmatch,-0.166743283630964,0.2187827852386607,0.3855260688696247,2.3120935396886537,0.3855260688696247,1,1,True
upgrade/oracle_shape_test.csv,Co-culture | IFNGR2,magmatch_vs_oracleDIST,-0.0277592288967949,0.0363526535774951,0.06411188247429,2.309570006884896,0.06411188247429,1,1,True
upgrade/oracle_shape_test.csv,Control | NPC2,energy_vs_oracleMEAN,0.164551828542569,0.5439229313104775,0.37937110276790853,2.3054809304034354,0.37937110276790853,0,1,True
upgrade/oracle_shape_test.csv,Control | IFNGR1,energy_vs_oracleMEAN,-0.1653944052403484,0.2143192698172402,0.3797136750575886,2.2958072524024917,0.3797136750575886,1,1,True
upgrade/class_c_protein_oracle.csv,Co-culture | SLC5A3,energy_rho,-0.0465584312916951,0.0597931624416723,0.1063515937333674,2.2842606759463124,0.1063515937333674,1,1,True
exp12_partial_observed_retrieval/summary.csv,partial_library | mean_or_no_call | DART_coverage_mean,decision_regret,0.016240119934082,0.0532093048095703,0.036969184875488295,2.276410828586534,0.036969184875488295,0,1,True
upgrade/class_c_protein_oracle.csv,Control | FKBP4,energy_rho_partial_magmatch,-0.1747710622133948,0.2228659446619806,0.3976370068753754,2.2751879049053447,0.3976370068753754,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | ILF2,energy_rho,-0.0723667693267319,0.0922428215255632,0.1646095908522951,2.274657171844884,0.1646095908522951,1,1,True
upgrade/oracle_shape_test.csv,Control | SNHG6,energy_vs_oracleMEAN,-0.1600927716279604,0.2039829066503105,0.3640756782782709,2.274154382962064,0.3640756782782709,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | APOC2,energy_rho_partial_magmatch,0.0716858342104921,-0.0905888009564279,-0.16227463516692,-2.263691801234129,0.16227463516692,1,1,True
upgrade/class_c_protein_oracle.csv,Control | VDAC2,energy_rho,0.1764385832116907,0.5757949301174635,0.3993563469057728,2.2634297988361523,0.3993563469057728,0,1,True
exp09_predict_then_rank/runtime.csv,scgen,fit_seconds,11.29088233000948,36.794304230978014,25.503421900968533,2.2587625267499463,25.503421900968533,0,1,True
upgrade/oracle_shape_test.csv,IFNγ | CYP27A1,energy_vs_oracleMEAN,-0.0597055345470611,0.0750676386885501,0.1347731732356112,2.2572978243646786,0.1347731732356112,1,1,True
upgrade/oracle_shape_test.csv,Control | RBP7,energy_vs_oracleMEAN,-0.1738743288668791,0.2184968885116115,0.39237121737849057,2.2566368476331897,0.39237121737849057,1,1,True
upgrade/class_c_protein_oracle.csv,Control | WNT7A,energy_rho_partial_magmatch,-0.1973191199418634,0.2462137575520187,0.44353287749388215,2.24779472777175,0.44353287749388215,1,1,True
upgrade/class_c_protein_oracle.csv,Control | ST3GAL6-AS1,energy_rho,-0.1135123357510708,0.1415327339157902,0.25504506966686097,2.2468489259719515,0.25504506966686097,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | SLIRP,energy_vs_oracleMEAN,-0.0775408366145569,0.0963595961171104,0.17390043273166728,2.242694821518351,0.17390043273166728,1,1,True
upgrade/class_c_protein_oracle.csv,Control | TPP1,energy_rho,-0.1714556497700255,0.2125295814950509,0.38398523126507644,2.2395600948707037,0.38398523126507644,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | SP100,energy_rho,0.0588686600912245,0.1904846310045497,0.13161597091332522,2.2357561851988725,0.13161597091332522,0,1,True
upgrade/class_c_protein_oracle.csv,Control | NPC2,energy_rho,0.1669498345703299,0.5400689930515761,0.37311915848124616,2.234917808942569,0.37311915848124616,0,1,True
upgrade/oracle_shape_test.csv,Control | VDAC2,energy_vs_oracleMEAN,0.1815771675568928,0.5870190291350176,0.4054418615781248,2.232890109661444,0.4054418615781248,0,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | RTP4,energy_rho,0.0487939391576676,0.1575684268497517,0.10877448769208409,2.229262272525316,0.10877448769208409,0,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | WBP2,energy_rho_partial_magmatch,-0.0463041077021038,0.0565181344457006,0.1028222421478044,2.220585759028302,0.1028222421478044,1,1,True
upgrade/oracle_shape_test.csv,Co-culture | CD58,mean_vs_oracleDIST,0.0125310641472106,0.0403244628819999,0.027793398734789303,2.2179599759670916,0.027793398734789303,0,1,True
upgrade/oracle_shape_test.csv,Control | TM4SF1,energy_vs_oracleDIST,0.1462040597335241,0.4704172454920887,0.3242131857585646,2.217538872377999,0.3242131857585646,0,1,True
exp12_partial_observed_retrieval/summary.csv,leave_MoA_out | mean_or_no_call | DART_mmd,target_mrr,0.0071274615459978,0.0229078697440522,0.0157804081980544,2.2140292299318522,0.0157804081980544,0,1,True
upgrade/oracle_shape_test.csv,Co-culture | CD59,energy_vs_oracleMEAN,-0.008062925801913,-0.0258567293027016,-0.0177938035007886,-2.2068668294785576,0.0177938035007886,0,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | SLIRP,energy_rho,-0.0818478811742232,0.0982838875677361,0.1801317687419593,2.2008116295463633,0.1801317687419593,1,1,True
upgrade/class_c_protein_oracle.csv,Co-culture | UQCRFS1,energy_rho_partial_magmatch,-0.0367650082326143,0.0441260021463291,0.08089101037894339,2.2002173878798383,0.08089101037894339,1,1,True
upgrade/class_c_protein_oracle.csv,Co-culture | SLC5A3,energy_rho_partial_magmatch,0.0331198394133444,0.1059560344223473,0.0728361950090029,2.199171140294125,0.0728361950090029,0,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | CD274,energy_rho_partial_magmatch,-0.0721162267877795,0.0862807168011643,0.1583969435889438,2.1964119677956453,0.1583969435889438,1,1,True
upgrade/oracle_shape_test.csv,Control | HSPA1A,magmatch_vs_oracleDIST,-0.076485560955827,0.0907199433748156,0.1672055043306426,2.18610548502363,0.1672055043306426,1,1,True
exp12_partial_observed_retrieval/summary.csv,partial_library | mean_or_no_call | DART_coverage_worst,decision_regret,0.0220403671264648,0.0699424743652343,0.047902107238769503,2.173380641253086,0.047902107238769503,0,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | NPC2,energy_rho_partial_magmatch,0.0779514768754954,0.2471300664041687,0.16917858952867332,2.1703064048277936,0.16917858952867332,0,1,True
upgrade/oracle_shape_test.csv,IFNγ | HLA-B,magmatch_vs_oracleDIST,0.009861084038309,0.0311675958052317,0.0213065117669227,2.160666280111774,0.0213065117669227,0,1,True
upgrade/class_c_protein_oracle.csv,Control | ISYNA1,energy_rho,-0.0659023442272161,0.076022080799201,0.1419244250264171,2.153556549325384,0.1419244250264171,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | MC1R,energy_rho,0.0185723801729322,-0.0213995555728821,-0.0399719357458143,-2.152224721528708,0.0399719357458143,1,1,True
upgrade/oracle_shape_test.csv,Control | FSTL3,mean_vs_oracleDIST,0.0818785556043945,-0.093208630302786,-0.1750871859071805,-2.1383765824245122,0.1750871859071805,1,1,True
upgrade/class_c_protein_oracle.csv,Control | SNHG6,energy_rho,-0.1683767992916814,0.1909928676953071,0.35936966698698847,2.134318198818161,0.35936966698698847,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | KLF4,energy_rho,-0.0465281526459419,0.052678907904825,0.09920706055076689,2.1321942718355387,0.09920706055076689,1,1,True
