file,column,arm_v,arm_u,delta,rel,sign_flips,n,category
exp01_sciplex3_controlled/per_query_scores.csv,alpha,0.7,0.7,0.0,0.0,0,12900,unchanged
exp01_sciplex3_controlled/per_query_scores.csv,seed,1009.5,1009.5,0.0,0.0,0,12900,unchanged
exp01_sciplex3_controlled/per_query_scores.csv,mean_cosine,0.1595840731073444,0.1595840731073444,0.0,0.0,0,12900,unchanged
exp01_sciplex3_controlled/per_query_scores.csv,global_energy,-1.0505137544084888,-0.9451648360259772,0.1053489183825114,0.1002832356458104,225,12900,A
exp01_sciplex3_controlled/per_query_scores.csv,coverage_mean,-56204.16237015643,-56203.771972762486,0.3903973939450225,6.94605839642079e-06,0,12900,B
exp01_sciplex3_controlled/per_query_scores.csv,coverage_worst,-112407.5551572459,-112407.05942187028,0.4957353756035445,4.410160641872024e-06,0,12900,B
exp02_divergence_gate/dataset_positions_on_gate.csv,typical_cross_cos,0.3088994920253753,0.3088994920253753,0.0,0.0,0,3,unchanged
exp02_divergence_gate/dataset_positions_on_gate.csv,n,16.333333333333332,16.333333333333332,0.0,0.0,0,3,unchanged
exp02_divergence_gate/dataset_positions_on_gate.csv,clears_gate,1.0,1.0,0.0,0.0,0,3,unchanged
exp02_divergence_gate/depth_sweep.csv,N,93.0,93.0,0.0,0.0,0,400,unchanged
exp02_divergence_gate/depth_sweep.csv,hit@1,0.685,0.6375,-0.0475000000000001,-0.0693430656934308,47,400,A
exp02_divergence_gate/divergence_sweep.csv,lam,0.6666666666666666,0.6666666666666666,0.0,0.0,0,480,unchanged
exp02_divergence_gate/divergence_sweep.csv,subpop_cos,0.5911666666666666,0.5911666666666666,0.0,0.0,0,480,unchanged
exp02_divergence_gate/divergence_sweep.csv,hit@1,0.3479166666666666,0.3875,0.0395833333333333,0.1137724550898204,25,480,A
exp02_divergence_gate/metric_robustness.csv,lam,0.75,0.75,0.0,0.0,0,400,unchanged
exp02_divergence_gate/metric_robustness.csv,subpop_cos,0.51,0.51,0.0,0.0,0,400,unchanged
exp02_divergence_gate/metric_robustness.csv,hit@1,0.42,0.42,0.0,0.0,0,400,unchanged
exp03_crossline_semireal/crossline_divergence.csv,n_a,472.3209219858156,472.3209219858156,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,n_b,475.6400709219858,475.6400709219858,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,eff_a,1.5968235628613343,1.5968235628613343,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,eff_b,1.2821434639024396,1.2821434639024396,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,cross_cos,0.0665499989745964,0.0665499989745964,0.0,0.0,0,564,unchanged
