dim,n_query,n_candidate,energy_u,energy_u_se,energy_v,energy_v_se,mmd_u,mmd_u_se,mmd_v,mmd_v_se,sliced_wasserstein,sliced_wasserstein_se
32,200,25,0.0019533634185791016,0.010514443835476006,0.3582249879837036,0.010101610511488337,0.000169639786084493,0.0006045541299117708,0.02749066303173701,0.000579227040857882,0.2611039125670989,0.0031216819267262754
32,200,50,-0.0026108622550964355,0.005302758384938737,0.1958896517753601,0.00509717338736467,-0.00016063700119654337,0.0002929046687481447,0.015066583951314291,0.00028377138080936407,0.19727183195451894,0.002700581727159791
32,200,100,-0.001095116138458252,0.002890435731714786,0.11805015802383423,0.002910110792161122,-3.6713977654774986e-05,0.00015852515769810126,0.00908453514178594,0.0001594708562696854,0.15448826986054578,0.0020259057567040876
32,200,200,0.002896547317504883,0.001899656474309776,0.08239356676737468,0.0019284307548731066,0.0001590922474861145,9.922386211246277e-05,0.006246156990528107,9.88243091956418e-05,0.13021230356146893,0.0017188675557565265
32,200,400,-0.00020927190780639648,0.001418686284807033,0.05922919511795044,0.0014309881050378701,-6.139278411865234e-06,7.851491712980675e-05,0.004557485381762187,7.888220645727004e-05,0.11210297265400489,0.001889054668472693
256,200,25,-0.004497130711873372,0.009416518422359393,1.0115840435028076,0.00913937178719949,-8.515020211537679e-05,0.00017637987669257016,0.02741363396247228,0.00017472179211788563,0.26180784963071346,0.002243968503482308
256,200,50,-0.007107655207316081,0.005102865795645887,0.558502991994222,0.004996753758378556,-0.00012922783692677817,9.492253378462468e-05,0.01516169806321462,9.352639672074885e-05,0.19715245192249617,0.0022754772905150236
256,200,100,-0.0010804335276285808,0.003016830229110489,0.33825866381327313,0.0030312834515226024,-1.998494068781535e-05,5.58003840235258e-05,0.009151076277097067,5.570183164924487e-05,0.15467138464252153,0.001472730987512891
256,200,200,-0.0016027291615804036,0.0023606181093089465,0.22452346483866373,0.0023601040224121373,-3.0043224493662517e-05,4.43215759696835e-05,0.006083327035109202,4.4160790985489446e-05,0.12736765729884306,0.0012133128084603102
256,200,400,-0.0011197725931803386,0.0017793269401858989,0.16839234034220377,0.0017853911171058217,-2.1241605281829834e-05,3.3638144592500054e-05,0.0045639922221501665,3.3649202970175724e-05,0.112484329380095,0.0009356858284842129
2304,200,25,-0.006495157877604167,0.010562484052739738,3.0458218256632485,0.009848290027735447,-4.1330854098002114e-05,6.65503932210285e-05,0.027476405104001362,6.295779069665184e-05,0.26238830884297687,0.0022726909855617966
2304,200,50,-0.004895210266113281,0.0041498097772982665,1.6912396748860676,0.004044963782826903,-3.117074569066366e-05,2.5860938664061463e-05,0.015256474415461222,2.5433275108349487e-05,0.19890598393976688,0.0021512988829277455
2304,200,100,-0.0025142033894856772,0.00204920880290961,1.015623410542806,0.0020064193457517733,-1.6205012798309326e-05,1.2811247581768006e-05,0.00915852685769399,1.2683140782902695e-05,0.15390445291996002,0.0014352921685164743
2304,200,200,0.0017871856689453125,0.0020406621523846404,0.680505116780599,0.00202201233198746,1.093993584314982e-05,1.2788117193870755e-05,0.006126999855041504,1.2755244121752346e-05,0.1297356722255548,0.0012126503232717505
2304,200,400,0.0013764699300130208,0.0011927681305153289,0.5104087193806967,0.0011971772702920873,8.431573708852133e-06,7.44149785999253e-06,0.004596022268136342,7.473750626547866e-06,0.11264112653831641,0.0010535173876532232
