dim,n,energy_u,energy_u_se,energy_v,energy_v_se,mmd_u,mmd_u_se,mmd_v,mmd_v_se,sliced_wasserstein,sliced_wasserstein_se
32,25,0.02228901783625285,0.021877206500844296,0.6580153902371725,0.022173026214433157,0.0010470474759737651,0.0012161151997229483,0.04978581517934799,0.0011926446792968396,0.32926806434988976,0.006821973371057294
32,50,0.010441084702809652,0.011094913263935736,0.3276703755060832,0.011060587464608591,0.000597730278968811,0.0006364132420021145,0.024941901365915935,0.000632780380720689,0.24204515665769577,0.003992939456110014
32,100,0.005665977795918782,0.003939629380211112,0.1650051474571228,0.003999479009346865,0.00031130264202753705,0.000204263413219863,0.01248470942179362,0.00020201417873586523,0.17867210259040198,0.002437837085813835
32,200,0.0037382046381632486,0.001905267692458716,0.08315726121266682,0.001936594083501297,0.00019813825686772665,0.00011129498158722232,0.006284674008687337,0.00011097009545879167,0.13074934016913176,0.0016800049008927388
32,400,0.0003014008204142253,0.001008696733619447,0.03997921943664551,0.00100834627675726,6.111959616343181e-06,5.1226222480599374e-05,0.003049445648988088,5.11547247428517e-05,0.09466141151885192,0.0016012311222542792
256,25,-0.001085837682088216,0.013053927179411087,1.8065050443013508,0.012468787544664722,-1.0554989178975422e-06,0.00024062701238372077,0.04893540094296137,0.0002369063043764549,0.31675943856438,0.0036777304311024096
256,50,-0.0022824605305989585,0.008510643843861753,0.9019649823506674,0.008186774698436802,-4.480034112930298e-05,0.00016164653757516398,0.024410828948020935,0.00016039473207761956,0.2413620986044407,0.0029469930905004667
256,100,0.0002200603485107422,0.003016947945340926,0.452131986618042,0.0030398392631226594,5.3942203521728516e-06,5.774215129874285e-05,0.012231633067131042,5.7484240102979125e-05,0.18090862967073917,0.0015339932467357932
256,200,0.0007394154866536459,0.002061583975209058,0.2269721825917562,0.0020427692951933535,1.3880431652069092e-05,3.835389548839635e-05,0.006127362449963887,3.824911418001358e-05,0.1283065282429258,0.0015837566091270999
256,400,-0.0008746782938639323,0.0006228200603273769,0.1121519406636556,0.0006310192294653001,-1.7041961352030437e-05,1.183685226020365e-05,0.0030395363767941794,1.1814065116623886e-05,0.0918974441786607,0.0007332843463705338
2304,25,-0.004532814025878906,0.010791292488057444,5.422902425130208,0.009841408866513156,-2.9345353444417317e-05,6.787281219394485e-05,0.048906286557515465,6.688119726406114e-05,0.3200265479584535,0.0036613612186028478
2304,50,0.011803944905598959,0.008959660147150758,2.7252578735351562,0.00867344290525256,7.312744855880737e-05,5.5774685865454097e-05,0.024540317555268604,5.532645141387884e-05,0.240262217198809,0.002392198365377234
2304,100,0.0012722015380859375,0.004195842912595963,1.3589226404825847,0.004184110443761153,8.071462313334147e-06,2.642919149820862e-05,0.012240789830684662,2.632249267825298e-05,0.17686738073825836,0.0014889494969882436
2304,200,0.0008414586385091146,0.0019977902044482007,0.6794681549072266,0.0020042780990345926,5.1384170850118e-06,1.2611243814809647e-05,0.006121357282002767,1.2605250790094111e-05,0.12806427478790283,0.0012960254201766059
2304,400,-0.0013675689697265625,0.0010793223589574464,0.33794593811035156,0.0010873604073206981,-8.677442868550619e-06,6.740006402372707e-06,0.0030494704842567444,6.741565484794729e-06,0.09302107896655798,0.0007990040362742227
