cell_line,drug,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_cos
A-427,Hydroxyfasudil,1.0,1.0,0.0
A-427,IQ 1,0.8,1.0,0.2
A-427,Infigratinib,1.0,1.0,0.0
A-427,Ipatasertib,1.0,1.0,0.0
A-427,Irinotecan,1.0,1.0,0.0
A-427,Ixazomib,1.0,1.0,0.0
A-427,LB-100,1.0,1.0,0.0
A-427,LJI308,1.0,0.9,-0.1
A-427,LY-2584702 (tosylate salt),1.0,1.0,0.0
A-427,LY2090314,1.0,1.0,0.0
A-427,Lapatinib ditosylate,0.85,1.0,0.15
A-427,Lonafarnib,1.0,1.0,0.0
A-427,MK-3903,1.0,1.0,0.0
A-427,MK-8353,0.8285714285714285,0.85,0.0214285714285714
A-427,ML264,0.8666666666666666,1.0,0.1333333333333333
A-427,Methylprednisolone succinate,0.8666666666666666,1.0,0.1333333333333333
A-427,Minodronic acid,1.0,0.85,-0.15
A-427,NG25,1.0,1.0,0.0
A-427,NVP-BHG712,0.65,0.8666666666666666,0.2166666666666666
A-427,OTS514,1.0,1.0,0.0
A-427,Oleic acid,0.6833333333333333,1.0,0.3166666666666667
A-427,Oxaliplatin,0.85,0.7333333333333333,-0.1166666666666666
A-427,PF-06260933,1.0,1.0,0.0
A-427,PH-797804,1.0,1.0,0.0
A-427,Paclitaxel,1.0,1.0,0.0
A-427,Pemigatinib,0.7333333333333333,1.0,0.2666666666666667
A-427,Pimitespib,1.0,1.0,0.0
A-427,Pralsetinib,1.0,1.0,0.0
A-427,RMC-6236,1.0,1.0,0.0
A-427,Ralimetinib dimesylate,0.8,1.0,0.2
A-427,Regorafenib,1.0,1.0,0.0
A-427,SBI-0640756,1.0,1.0,0.0
A-427,Sapanisertib,1.0,1.0,0.0
A-427,Sonidegib,1.0,1.0,0.0
A-427,TAK-733,1.0,1.0,0.0
A-427,TAK-901,1.0,1.0,0.0
A-427,Temuterkib,0.7666666666666666,0.9,0.1333333333333333
A-427,Tomivosertib,1.0,1.0,0.0
A-427,Torkinib,1.0,1.0,0.0
A-427,Trametinib,1.0,1.0,0.0
A-427,Tubulin inhibitor 6,1.0,1.0,0.0
A-427,Tucatinib,1.0,1.0,0.0
A-427,ULK-101,1.0,1.0,0.0
A-427,Vemurafenib,0.6,1.0,0.4
A-427,Volasertib,0.9,1.0,0.1
A-427,XRK3F2,1.0,1.0,0.0
A-427,c-Kit-IN-1,1.0,1.0,0.0
A-427,olaparib,1.0,1.0,0.0
A-427,palbociclib,1.0,1.0,0.0
A-427,venetoclax,1.0,1.0,0.0
A-427,vincristine,1.0,1.0,0.0
A498,4EGI-1,1.0,1.0,0.0
A498,9-ING-41,1.0,1.0,0.0
A498,APTO-253,1.0,1.0,0.0
A498,AT7519,1.0,1.0,0.0
A498,AZD-7648,1.0,1.0,0.0
A498,AZD-8055,1.0,1.0,0.0
A498,AZD1390,1.0,1.0,0.0
A498,AZD2858,1.0,0.8400000000000001,-0.16
A498,Abemaciclib,1.0,1.0,0.0
A498,Adagrasib,1.0,1.0,0.0
A498,Afatinib,1.0,1.0,0.0
A498,Alpelisib,1.0,1.0,0.0
A498,Anastrozole,1.0,1.0,0.0
A498,BAY1125976,1.0,1.0,0.0
A498,BI-3406,0.9,1.0,0.1
A498,BI-78D3,0.8,1.0,0.2
A498,Belumosudil (mesylate),1.0,1.0,0.0
A498,Belzutifan,1.0,1.0,0.0
A498,Bentamapimod,1.0,1.0,0.0
A498,Bimiralisib,1.0,1.0,0.0
A498,Binimetinib,1.0,1.0,0.0
A498,Bortezomib,1.0,1.0,0.0
A498,Brivudine,1.0,1.0,0.0
A498,CP21R7,0.8285714285714285,1.0,0.1714285714285714
A498,Capivasertib,0.8666666666666666,0.9,0.0333333333333333
A498,Capmatinib,1.0,1.0,0.0
A498,Celecoxib,0.8,1.0,0.2
A498,DT-061,1.0,1.0,0.0
A498,DTP3,1.0,1.0,0.0
A498,Dabrafenib,1.0,1.0,0.0
A498,ERK5-IN-2,1.0,1.0,0.0
A498,ETC-206,1.0,1.0,0.0
A498,EX229,1.0,1.0,0.0
A498,Elimusertib hydrochloride,1.0,1.0,0.0
A498,Encorafenib,1.0,1.0,0.0
A498,Erdafitinib ,1.0,1.0,0.0
A498,Everolimus,1.0,1.0,0.0
A498,Futibatinib,1.0,1.0,0.0
A498,GSK1059615,1.0,1.0,0.0
A498,Gemcitabine,1.0,1.0,0.0
A498,HI-TOPK-032,1.0,1.0,0.0
