cell_line,drug,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_cos
BT-474,Adagrasib,0.9,0.9,0.0
BT-474,Afatinib,1.0,1.0,0.0
BT-474,Alpelisib,1.0,1.0,0.0
BT-474,Anastrozole,1.0,1.0,0.0
BT-474,BAY1125976,1.0,1.0,0.0
BT-474,BI-3406,1.0,1.0,0.0
BT-474,BI-78D3,1.0,1.0,0.0
BT-474,Belumosudil (mesylate),1.0,1.0,0.0
BT-474,Belzutifan,1.0,1.0,0.0
BT-474,Bentamapimod,1.0,1.0,0.0
BT-474,Bimiralisib,1.0,1.0,0.0
BT-474,Binimetinib,1.0,1.0,0.0
BT-474,Bortezomib,1.0,1.0,0.0
BT-474,Brivudine,1.0,1.0,0.0
BT-474,CP21R7,0.65,0.9,0.25
BT-474,Capivasertib,1.0,0.9,-0.1
BT-474,Capmatinib,1.0,1.0,0.0
BT-474,Celecoxib,0.7333333333333333,0.9,0.1666666666666666
BT-474,DT-061,0.8,1.0,0.2
BT-474,DTP3,1.0,1.0,0.0
BT-474,Dabrafenib,1.0,1.0,0.0
BT-474,ERK5-IN-2,1.0,1.0,0.0
BT-474,ETC-206,1.0,1.0,0.0
BT-474,EX229,1.0,1.0,0.0
BT-474,Elimusertib hydrochloride,1.0,1.0,0.0
BT-474,Encorafenib,1.0,1.0,0.0
BT-474,Erdafitinib ,1.0,1.0,0.0
BT-474,Everolimus,1.0,1.0,0.0
BT-474,Futibatinib,1.0,1.0,0.0
BT-474,GSK1059615,1.0,1.0,0.0
BT-474,Gemcitabine,1.0,0.9,-0.1
BT-474,HI-TOPK-032,1.0,1.0,0.0
BT-474,Hydroxyfasudil,0.8666666666666666,1.0,0.1333333333333333
BT-474,IQ 1,1.0,1.0,0.0
BT-474,Infigratinib,1.0,1.0,0.0
BT-474,Ipatasertib,1.0,1.0,0.0
BT-474,Irinotecan,1.0,1.0,0.0
BT-474,Ixazomib,1.0,1.0,0.0
BT-474,LB-100,1.0,1.0,0.0
BT-474,LJI308,0.9,0.9,0.0
BT-474,LY-2584702 (tosylate salt),1.0,1.0,0.0
BT-474,LY2090314,0.9,0.8666666666666666,-0.0333333333333333
BT-474,Lapatinib ditosylate,1.0,1.0,0.0
BT-474,MK-3903,1.0,1.0,0.0
BT-474,MK-8353,1.0,0.9,-0.1
BT-474,ML264,1.0,1.0,0.0
BT-474,Methylprednisolone succinate,1.0,1.0,0.0
BT-474,Minodronic acid,1.0,1.0,0.0
BT-474,NG25,1.0,1.0,0.0
BT-474,NVP-BHG712,0.9,1.0,0.1
BT-474,OTS514,1.0,1.0,0.0
BT-474,Oleic acid,0.9,1.0,0.1
BT-474,Oxaliplatin,1.0,0.9,-0.1
BT-474,PF-06260933,1.0,1.0,0.0
BT-474,PH-797804,1.0,1.0,0.0
BT-474,Paclitaxel,1.0,1.0,0.0
BT-474,Pemigatinib,1.0,1.0,0.0
BT-474,Pimitespib,1.0,1.0,0.0
BT-474,Pralsetinib,1.0,1.0,0.0
BT-474,RMC-6236,1.0,1.0,0.0
BT-474,Ralimetinib dimesylate,0.8,0.9,0.1
BT-474,Regorafenib,1.0,1.0,0.0
BT-474,SBI-0640756,1.0,1.0,0.0
BT-474,Sapanisertib,1.0,1.0,0.0
BT-474,Sonidegib,1.0,1.0,0.0
BT-474,TAK-733,1.0,1.0,0.0
BT-474,TAK-901,1.0,1.0,0.0
BT-474,Temuterkib,1.0,1.0,0.0
BT-474,Tomivosertib,1.0,1.0,0.0
BT-474,Torkinib,0.9,0.9,0.0
BT-474,Trametinib,1.0,1.0,0.0
BT-474,Tubulin inhibitor 6,1.0,1.0,0.0
BT-474,Tucatinib,1.0,1.0,0.0
BT-474,ULK-101,1.0,1.0,0.0
BT-474,Vemurafenib,1.0,1.0,0.0
BT-474,Volasertib,0.7066666666666667,1.0,0.2933333333333333
BT-474,XRK3F2,1.0,1.0,0.0
BT-474,c-Kit-IN-1,1.0,1.0,0.0
BT-474,olaparib,1.0,1.0,0.0
BT-474,palbociclib,1.0,1.0,0.0
BT-474,venetoclax,1.0,1.0,0.0
BT-474,vincristine,1.0,1.0,0.0
C-33 A,4EGI-1,1.0,1.0,0.0
C-33 A,9-ING-41,0.3466666666666667,0.6066666666666667,0.26
C-33 A,APTO-253,0.3735714285714285,0.9,0.5264285714285715
C-33 A,AT7519,0.8400000000000001,0.9,0.06
C-33 A,AZD-7648,0.4452380952380952,1.0,0.5547619047619048
C-33 A,AZD-8055,0.3833333333333333,1.0,0.6166666666666667
C-33 A,AZD1390,0.8400000000000001,1.0,0.16
C-33 A,AZD2858,0.6333333333333333,0.75,0.1166666666666667
C-33 A,Abemaciclib,0.9,0.9,0.0
C-33 A,Adagrasib,0.9,1.0,0.1
C-33 A,Afatinib,1.0,1.0,0.0
C-33 A,Alpelisib,0.725,0.9,0.175
C-33 A,Anastrozole,0.3905263157894736,0.67,0.2794736842105264
C-33 A,BAY1125976,1.0,1.0,0.0
C-33 A,BI-3406,0.3733333333333333,1.0,0.6266666666666667
C-33 A,BI-78D3,0.5166666666666666,0.9,0.3833333333333333
C-33 A,Belumosudil (mesylate),1.0,1.0,0.0
C-33 A,Belzutifan,1.0,1.0,0.0
C-33 A,Bentamapimod,0.74,0.6722222222222223,-0.0677777777777777
C-33 A,Bimiralisib,1.0,1.0,0.0
C-33 A,Binimetinib,0.75,0.9,0.15
C-33 A,Bortezomib,1.0,1.0,0.0
C-33 A,Brivudine,1.0,1.0,0.0
C-33 A,CP21R7,0.0506547526967265,0.4710144927536231,0.4203597400568966
C-33 A,Capivasertib,0.4566666666666666,0.35,-0.1066666666666666
C-33 A,Capmatinib,0.3681818181818181,0.5900000000000001,0.2218181818181818
C-33 A,Celecoxib,0.2546401515151514,0.6757575757575758,0.4211174242424242
C-33 A,DT-061,0.2174603174603174,0.85,0.6325396825396826
C-33 A,DTP3,0.8400000000000001,1.0,0.16
C-33 A,Dabrafenib,1.0,1.0,0.0
C-33 A,ERK5-IN-2,1.0,1.0,0.0
C-33 A,ETC-206,0.1952380952380952,0.6333333333333334,0.4380952380952381
C-33 A,EX229,1.0,0.9,-0.1
C-33 A,Elimusertib hydrochloride,1.0,1.0,0.0
C-33 A,Encorafenib,1.0,1.0,0.0
C-33 A,Erdafitinib ,0.6420289855072463,0.7666666666666666,0.1246376811594203
C-33 A,Everolimus,0.6916666666666667,0.8142857142857143,0.1226190476190476
C-33 A,Futibatinib,0.4223727422003284,0.55,0.1276272577996716
C-33 A,GSK1059615,1.0,1.0,0.0
C-33 A,Gemcitabine,0.6166666666666667,0.55,-0.0666666666666666
C-33 A,HI-TOPK-032,1.0,1.0,0.0
C-33 A,Hydroxyfasudil,0.8666666666666666,0.8400000000000001,-0.0266666666666666
C-33 A,IQ 1,0.7117647058823529,1.0,0.288235294117647
C-33 A,Infigratinib,1.0,1.0,0.0
C-33 A,Ipatasertib,0.4848484848484848,0.9,0.4151515151515152
C-33 A,Irinotecan,1.0,1.0,0.0
C-33 A,Ixazomib,1.0,1.0,0.0
C-33 A,LB-100,0.643921568627451,0.6722222222222222,0.0283006535947712
C-33 A,LJI308,0.5266666666666666,0.5833333333333333,0.0566666666666666
C-33 A,LY-2584702 (tosylate salt),1.0,1.0,0.0
C-33 A,LY2090314,0.0985714285714285,0.8285714285714285,0.7300000000000001
C-33 A,Lapatinib ditosylate,0.64,0.8666666666666666,0.2266666666666666
C-33 A,Lonafarnib,1.0,1.0,0.0
C-33 A,MK-3903,0.3612179487179487,0.85,0.4887820512820512
C-33 A,MK-8353,0.4253623188405797,0.48,0.0546376811594203
C-33 A,ML264,0.475,0.9,0.425
C-33 A,Methylprednisolone succinate,0.2739682539682539,0.5333333333333333,0.2593650793650793
C-33 A,Minodronic acid,0.74,0.5848484848484848,-0.1551515151515151
C-33 A,NG25,1.0,1.0,0.0
C-33 A,NVP-BHG712,0.4654761904761905,1.0,0.5345238095238095
C-33 A,OTS514,0.8333333333333333,0.9,0.0666666666666666
C-33 A,Oleic acid,0.4447496947496948,0.5900000000000001,0.1452503052503052
C-33 A,Oxaliplatin,0.75,0.75,0.0
C-33 A,PF-06260933,1.0,1.0,0.0
C-33 A,PH-797804,1.0,1.0,0.0
C-33 A,Paclitaxel,0.6222222222222222,0.9,0.2777777777777778
C-33 A,Pemigatinib,0.5035714285714286,0.7066666666666667,0.2030952380952381
C-33 A,Pimitespib,0.6305555555555555,0.5153846153846153,-0.1151709401709401
C-33 A,Pralsetinib,1.0,1.0,0.0
C-33 A,RMC-6236,1.0,1.0,0.0
C-33 A,Ralimetinib dimesylate,0.2557575757575757,0.5733333333333334,0.3175757575757575
C-33 A,Regorafenib,0.2352920227920227,0.8,0.5647079772079773
C-33 A,SBI-0640756,1.0,1.0,0.0
C-33 A,Sapanisertib,1.0,1.0,0.0
C-33 A,Sonidegib,0.8666666666666666,1.0,0.1333333333333333
C-33 A,TAK-733,1.0,1.0,0.0
C-33 A,TAK-901,1.0,1.0,0.0
C-33 A,Temuterkib,0.3866666666666666,0.72,0.3333333333333333
C-33 A,Tomivosertib,0.8333333333333333,1.0,0.1666666666666666
C-33 A,Torkinib,0.8142857142857143,0.6583333333333333,-0.1559523809523809
C-33 A,Trametinib,1.0,1.0,0.0
C-33 A,Tubulin inhibitor 6,0.1641456582633053,0.6952380952380952,0.53109243697479
C-33 A,Tucatinib,0.7,0.9,0.2
C-33 A,ULK-101,0.3895238095238095,0.55,0.1604761904761905
C-33 A,Vemurafenib,0.3033333333333333,0.74,0.4366666666666667
C-33 A,Volasertib,0.74,0.6066666666666667,-0.1333333333333333
C-33 A,XRK3F2,0.5666666666666667,1.0,0.4333333333333334
C-33 A,c-Kit-IN-1,0.9,1.0,0.1
C-33 A,olaparib,0.49,0.665,0.175
C-33 A,palbociclib,0.7666666666666667,0.8666666666666666,0.1
C-33 A,venetoclax,1.0,1.0,0.0
C-33 A,vincristine,1.0,1.0,0.0
C32,4EGI-1,1.0,1.0,0.0
C32,9-ING-41,0.85,1.0,0.15
C32,APTO-253,1.0,0.9,-0.1
C32,AT7519,1.0,1.0,0.0
C32,AZD-7648,1.0,1.0,0.0
C32,AZD-8055,1.0,1.0,0.0
C32,AZD1390,1.0,1.0,0.0
C32,AZD2858,0.825,0.8333333333333333,0.0083333333333333
C32,Abemaciclib,1.0,1.0,0.0
C32,Adagrasib,1.0,1.0,0.0
C32,Afatinib,1.0,1.0,0.0
C32,Alpelisib,1.0,1.0,0.0
C32,Anastrozole,1.0,1.0,0.0
C32,BAY1125976,1.0,1.0,0.0
C32,BI-3406,1.0,1.0,0.0
C32,BI-78D3,0.5333333333333333,1.0,0.4666666666666667
C32,Belumosudil (mesylate),1.0,1.0,0.0
C32,Belzutifan,1.0,1.0,0.0
C32,Bentamapimod,1.0,1.0,0.0
C32,Bimiralisib,1.0,1.0,0.0
C32,Binimetinib,1.0,1.0,0.0
C32,Bortezomib,1.0,1.0,0.0
C32,Brivudine,1.0,1.0,0.0
C32,CP21R7,0.6086956521739131,0.8285714285714285,0.2198757763975155
C32,Capivasertib,0.9,1.0,0.1
C32,Capmatinib,1.0,1.0,0.0
C32,Celecoxib,1.0,1.0,0.0
C32,DT-061,1.0,1.0,0.0
C32,DTP3,1.0,1.0,0.0
C32,Dabrafenib,1.0,1.0,0.0
C32,ERK5-IN-2,1.0,1.0,0.0
C32,ETC-206,0.72,0.7333333333333333,0.0133333333333333
C32,EX229,1.0,1.0,0.0
C32,Elimusertib hydrochloride,1.0,1.0,0.0
C32,Encorafenib,1.0,1.0,0.0
C32,Erdafitinib ,1.0,1.0,0.0
C32,Everolimus,0.8181818181818181,0.7666666666666667,-0.0515151515151515
C32,Futibatinib,1.0,1.0,0.0
C32,GSK1059615,1.0,1.0,0.0
C32,Gemcitabine,1.0,1.0,0.0
C32,HI-TOPK-032,1.0,1.0,0.0
C32,Hydroxyfasudil,1.0,1.0,0.0
C32,IQ 1,1.0,1.0,0.0
C32,Infigratinib,1.0,1.0,0.0
C32,Ipatasertib,1.0,1.0,0.0
C32,Irinotecan,1.0,1.0,0.0
C32,Ixazomib,1.0,1.0,0.0
C32,LB-100,0.9,1.0,0.1
C32,LJI308,1.0,1.0,0.0
C32,LY-2584702 (tosylate salt),1.0,1.0,0.0
C32,LY2090314,1.0,0.8666666666666666,-0.1333333333333333
C32,Lapatinib ditosylate,1.0,1.0,0.0
C32,MK-3903,1.0,1.0,0.0
C32,MK-8353,1.0,1.0,0.0
C32,ML264,1.0,0.9,-0.1
C32,Methylprednisolone succinate,1.0,1.0,0.0
C32,Minodronic acid,0.9,0.9,0.0
C32,NG25,1.0,1.0,0.0
C32,NVP-BHG712,1.0,1.0,0.0
C32,OTS514,1.0,1.0,0.0
C32,Oleic acid,0.6666666666666667,1.0,0.3333333333333333
C32,Oxaliplatin,1.0,1.0,0.0
C32,PF-06260933,1.0,1.0,0.0
C32,PH-797804,1.0,1.0,0.0
C32,Paclitaxel,1.0,1.0,0.0
C32,Pemigatinib,1.0,1.0,0.0
C32,Pimitespib,0.9,1.0,0.1
C32,Pralsetinib,1.0,1.0,0.0
C32,RMC-6236,1.0,1.0,0.0
C32,Ralimetinib dimesylate,1.0,1.0,0.0
C32,Regorafenib,1.0,1.0,0.0
C32,SBI-0640756,1.0,1.0,0.0
C32,Sapanisertib,1.0,1.0,0.0
C32,Sonidegib,1.0,1.0,0.0
C32,TAK-733,1.0,1.0,0.0
C32,TAK-901,1.0,1.0,0.0
C32,Temuterkib,1.0,1.0,0.0
C32,Tomivosertib,1.0,1.0,0.0
C32,Torkinib,1.0,1.0,0.0
C32,Trametinib,1.0,1.0,0.0
C32,Tubulin inhibitor 6,0.7666666666666667,1.0,0.2333333333333333
C32,Tucatinib,1.0,1.0,0.0
C32,ULK-101,1.0,0.9,-0.1
C32,Vemurafenib,0.9,1.0,0.1
C32,Volasertib,1.0,1.0,0.0
C32,XRK3F2,1.0,1.0,0.0
C32,c-Kit-IN-1,1.0,1.0,0.0
C32,olaparib,0.8400000000000001,0.8666666666666666,0.0266666666666666
C32,palbociclib,1.0,1.0,0.0
C32,venetoclax,1.0,1.0,0.0
C32,vincristine,1.0,1.0,0.0
CFPAC-1,4EGI-1,1.0,1.0,0.0
CFPAC-1,9-ING-41,1.0,1.0,0.0
CFPAC-1,APTO-253,1.0,1.0,0.0
CFPAC-1,AT7519,1.0,1.0,0.0
CFPAC-1,AZD-7648,1.0,1.0,0.0
CFPAC-1,AZD-8055,1.0,1.0,0.0
CFPAC-1,AZD1390,1.0,1.0,0.0
CFPAC-1,AZD2858,1.0,1.0,0.0
CFPAC-1,Abemaciclib,1.0,1.0,0.0
CFPAC-1,Adagrasib,1.0,1.0,0.0
CFPAC-1,Afatinib,1.0,1.0,0.0
CFPAC-1,Alpelisib,1.0,1.0,0.0
CFPAC-1,Anastrozole,1.0,1.0,0.0
CFPAC-1,BAY1125976,1.0,1.0,0.0
CFPAC-1,BI-3406,1.0,1.0,0.0
CFPAC-1,BI-78D3,1.0,1.0,0.0
CFPAC-1,Belumosudil (mesylate),1.0,1.0,0.0
CFPAC-1,Belzutifan,1.0,1.0,0.0
CFPAC-1,Bentamapimod,1.0,1.0,0.0
CFPAC-1,Bimiralisib,1.0,1.0,0.0
CFPAC-1,Binimetinib,1.0,1.0,0.0
CFPAC-1,Bortezomib,1.0,1.0,0.0
CFPAC-1,Brivudine,1.0,1.0,0.0
CFPAC-1,CP21R7,0.6685714285714285,1.0,0.3314285714285714
CFPAC-1,Capivasertib,1.0,1.0,0.0
CFPAC-1,Capmatinib,1.0,1.0,0.0
CFPAC-1,Celecoxib,0.8,1.0,0.2
CFPAC-1,DT-061,1.0,1.0,0.0
CFPAC-1,DTP3,1.0,1.0,0.0
CFPAC-1,Dabrafenib,1.0,1.0,0.0
CFPAC-1,ERK5-IN-2,1.0,1.0,0.0
CFPAC-1,ETC-206,1.0,1.0,0.0
CFPAC-1,EX229,1.0,1.0,0.0
CFPAC-1,Elimusertib hydrochloride,1.0,1.0,0.0
CFPAC-1,Encorafenib,1.0,1.0,0.0
CFPAC-1,Erdafitinib ,1.0,1.0,0.0
CFPAC-1,Everolimus,1.0,1.0,0.0
CFPAC-1,Futibatinib,1.0,1.0,0.0
CFPAC-1,GSK1059615,1.0,1.0,0.0
CFPAC-1,Gemcitabine,1.0,1.0,0.0
CFPAC-1,HI-TOPK-032,1.0,1.0,0.0
CFPAC-1,Hydroxyfasudil,1.0,1.0,0.0
CFPAC-1,IQ 1,0.9,1.0,0.1
CFPAC-1,Infigratinib,1.0,1.0,0.0
CFPAC-1,Ipatasertib,1.0,1.0,0.0
CFPAC-1,Irinotecan,1.0,1.0,0.0
CFPAC-1,Ixazomib,1.0,1.0,0.0
CFPAC-1,LB-100,0.8666666666666666,1.0,0.1333333333333333
CFPAC-1,LJI308,0.9,1.0,0.1
CFPAC-1,LY-2584702 (tosylate salt),1.0,1.0,0.0
CFPAC-1,LY2090314,1.0,1.0,0.0
CFPAC-1,Lapatinib ditosylate,1.0,1.0,0.0
CFPAC-1,Lonafarnib,1.0,1.0,0.0
CFPAC-1,MK-3903,1.0,1.0,0.0
CFPAC-1,MK-8353,0.9,1.0,0.1
CFPAC-1,ML264,1.0,1.0,0.0
CFPAC-1,Methylprednisolone succinate,1.0,1.0,0.0
CFPAC-1,Minodronic acid,1.0,1.0,0.0
CFPAC-1,NG25,1.0,1.0,0.0
CFPAC-1,NVP-BHG712,0.8,1.0,0.2
CFPAC-1,OTS514,1.0,1.0,0.0
CFPAC-1,Oleic acid,1.0,1.0,0.0
CFPAC-1,Oxaliplatin,1.0,1.0,0.0
CFPAC-1,PF-06260933,1.0,1.0,0.0
CFPAC-1,PH-797804,1.0,1.0,0.0
CFPAC-1,Paclitaxel,1.0,1.0,0.0
CFPAC-1,Pemigatinib,0.7333333333333333,0.8666666666666666,0.1333333333333333
CFPAC-1,Pimitespib,0.9,1.0,0.1
CFPAC-1,Pralsetinib,1.0,1.0,0.0
CFPAC-1,RMC-6236,1.0,1.0,0.0
CFPAC-1,Ralimetinib dimesylate,1.0,1.0,0.0
CFPAC-1,Regorafenib,1.0,1.0,0.0
CFPAC-1,SBI-0640756,1.0,1.0,0.0
CFPAC-1,Sapanisertib,1.0,1.0,0.0
CFPAC-1,Sonidegib,1.0,1.0,0.0
CFPAC-1,TAK-733,1.0,1.0,0.0
CFPAC-1,TAK-901,1.0,1.0,0.0
CFPAC-1,Temuterkib,1.0,1.0,0.0
CFPAC-1,Tomivosertib,1.0,1.0,0.0
CFPAC-1,Torkinib,1.0,1.0,0.0
CFPAC-1,Trametinib,1.0,1.0,0.0
CFPAC-1,Tubulin inhibitor 6,1.0,1.0,0.0
CFPAC-1,Tucatinib,1.0,0.9,-0.1
CFPAC-1,ULK-101,1.0,1.0,0.0
CFPAC-1,Vemurafenib,1.0,1.0,0.0
CFPAC-1,Volasertib,1.0,1.0,0.0
CFPAC-1,XRK3F2,1.0,1.0,0.0
CFPAC-1,c-Kit-IN-1,1.0,1.0,0.0
CFPAC-1,olaparib,1.0,1.0,0.0
CFPAC-1,palbociclib,1.0,1.0,0.0
CFPAC-1,venetoclax,1.0,1.0,0.0
CFPAC-1,vincristine,1.0,1.0,0.0
COLO 205,4EGI-1,1.0,1.0,0.0
COLO 205,9-ING-41,1.0,1.0,0.0
COLO 205,APTO-253,1.0,1.0,0.0
COLO 205,AT7519,1.0,0.9,-0.1
COLO 205,AZD-7648,1.0,1.0,0.0
COLO 205,AZD-8055,1.0,1.0,0.0
COLO 205,AZD1390,1.0,1.0,0.0
COLO 205,AZD2858,1.0,1.0,0.0
COLO 205,Abemaciclib,1.0,1.0,0.0
COLO 205,Adagrasib,1.0,1.0,0.0
COLO 205,Afatinib,1.0,1.0,0.0
COLO 205,Alpelisib,1.0,1.0,0.0
COLO 205,Anastrozole,1.0,1.0,0.0
COLO 205,BAY1125976,1.0,1.0,0.0
COLO 205,BI-3406,1.0,1.0,0.0
COLO 205,BI-78D3,1.0,1.0,0.0
COLO 205,Belumosudil (mesylate),1.0,1.0,0.0
COLO 205,Belzutifan,1.0,1.0,0.0
COLO 205,Bentamapimod,1.0,1.0,0.0
COLO 205,Bimiralisib,1.0,1.0,0.0
COLO 205,Binimetinib,1.0,1.0,0.0
COLO 205,Bortezomib,1.0,1.0,0.0
COLO 205,Brivudine,1.0,1.0,0.0
COLO 205,CP21R7,0.8666666666666666,0.8666666666666666,0.0
COLO 205,Capivasertib,1.0,1.0,0.0
COLO 205,Capmatinib,1.0,1.0,0.0
COLO 205,Celecoxib,0.6066666666666667,1.0,0.3933333333333333
COLO 205,DT-061,0.9,1.0,0.1
COLO 205,DTP3,1.0,0.9,-0.1
COLO 205,Dabrafenib,1.0,1.0,0.0
COLO 205,ERK5-IN-2,1.0,1.0,0.0
COLO 205,ETC-206,1.0,1.0,0.0
COLO 205,EX229,1.0,1.0,0.0
COLO 205,Elimusertib hydrochloride,0.8,1.0,0.2
COLO 205,Encorafenib,1.0,1.0,0.0
COLO 205,Erdafitinib ,1.0,1.0,0.0
COLO 205,Everolimus,1.0,1.0,0.0
COLO 205,Futibatinib,1.0,1.0,0.0
COLO 205,GSK1059615,1.0,1.0,0.0
COLO 205,Gemcitabine,0.9,1.0,0.1
COLO 205,HI-TOPK-032,1.0,1.0,0.0
COLO 205,Hydroxyfasudil,1.0,1.0,0.0
COLO 205,IQ 1,1.0,1.0,0.0
COLO 205,Infigratinib,1.0,1.0,0.0
COLO 205,Ipatasertib,1.0,1.0,0.0
COLO 205,Irinotecan,1.0,1.0,0.0
COLO 205,Ixazomib,1.0,1.0,0.0
COLO 205,LB-100,1.0,1.0,0.0
COLO 205,LJI308,1.0,1.0,0.0
COLO 205,LY2090314,1.0,1.0,0.0
COLO 205,Lapatinib ditosylate,0.8,1.0,0.2
COLO 205,MK-3903,1.0,1.0,0.0
COLO 205,MK-8353,0.7666666666666666,1.0,0.2333333333333333
COLO 205,ML264,1.0,1.0,0.0
COLO 205,Methylprednisolone succinate,1.0,1.0,0.0
COLO 205,Minodronic acid,1.0,1.0,0.0
COLO 205,NG25,1.0,1.0,0.0
COLO 205,NVP-BHG712,0.6666666666666666,1.0,0.3333333333333333
COLO 205,OTS514,1.0,1.0,0.0
COLO 205,Oleic acid,1.0,1.0,0.0
COLO 205,Oxaliplatin,0.8666666666666666,0.9,0.0333333333333333
COLO 205,PF-06260933,1.0,1.0,0.0
COLO 205,PH-797804,1.0,1.0,0.0
COLO 205,Paclitaxel,1.0,1.0,0.0
COLO 205,Pemigatinib,1.0,0.9,-0.1
COLO 205,Pimitespib,1.0,1.0,0.0
COLO 205,Pralsetinib,1.0,1.0,0.0
COLO 205,RMC-6236,1.0,1.0,0.0
COLO 205,Ralimetinib dimesylate,1.0,1.0,0.0
COLO 205,Regorafenib,1.0,1.0,0.0
COLO 205,SBI-0640756,1.0,1.0,0.0
COLO 205,Sapanisertib,1.0,1.0,0.0
COLO 205,Sonidegib,1.0,1.0,0.0
COLO 205,TAK-733,1.0,1.0,0.0
COLO 205,TAK-901,1.0,1.0,0.0
COLO 205,Temuterkib,1.0,1.0,0.0
COLO 205,Tomivosertib,1.0,1.0,0.0
COLO 205,Torkinib,1.0,1.0,0.0
COLO 205,Trametinib,1.0,1.0,0.0
COLO 205,Tubulin inhibitor 6,1.0,1.0,0.0
COLO 205,Tucatinib,0.6333333333333333,1.0,0.3666666666666667
COLO 205,ULK-101,1.0,1.0,0.0
COLO 205,Vemurafenib,0.85,1.0,0.15
COLO 205,Volasertib,1.0,1.0,0.0
COLO 205,XRK3F2,1.0,1.0,0.0
COLO 205,c-Kit-IN-1,1.0,1.0,0.0
COLO 205,olaparib,1.0,1.0,0.0
COLO 205,palbociclib,1.0,1.0,0.0
COLO 205,venetoclax,1.0,1.0,0.0
COLO 205,vincristine,1.0,1.0,0.0
H4,4EGI-1,1.0,1.0,0.0
H4,9-ING-41,1.0,1.0,0.0
H4,APTO-253,1.0,1.0,0.0
H4,AT7519,1.0,1.0,0.0
H4,AZD-7648,1.0,1.0,0.0
H4,AZD-8055,1.0,1.0,0.0
H4,AZD1390,1.0,1.0,0.0
H4,AZD2858,0.2833333333333333,0.6,0.3166666666666667
H4,Abemaciclib,1.0,1.0,0.0
H4,Adagrasib,0.9,1.0,0.1
H4,Afatinib,1.0,1.0,0.0
H4,Alpelisib,0.8666666666666666,1.0,0.1333333333333333
H4,Anastrozole,1.0,1.0,0.0
H4,BAY1125976,1.0,1.0,0.0
H4,BI-3406,1.0,1.0,0.0
H4,BI-78D3,0.9,1.0,0.1
H4,Belumosudil (mesylate),1.0,1.0,0.0
H4,Belzutifan,1.0,1.0,0.0
H4,Bentamapimod,0.9,0.9,0.0
H4,Bimiralisib,1.0,1.0,0.0
H4,Binimetinib,1.0,1.0,0.0
H4,Brivudine,1.0,1.0,0.0
H4,CP21R7,1.0,1.0,0.0
H4,Capivasertib,1.0,1.0,0.0
H4,Capmatinib,1.0,1.0,0.0
H4,Celecoxib,0.7181818181818181,1.0,0.2818181818181818
H4,DT-061,0.9,1.0,0.1
H4,Dabrafenib,1.0,1.0,0.0
H4,ERK5-IN-2,1.0,1.0,0.0
H4,ETC-206,0.7166666666666666,1.0,0.2833333333333333
H4,EX229,1.0,1.0,0.0
H4,Encorafenib,1.0,1.0,0.0
H4,Erdafitinib ,1.0,1.0,0.0
H4,Everolimus,0.6833333333333333,0.8666666666666666,0.1833333333333333
H4,Futibatinib,1.0,1.0,0.0
H4,GSK1059615,1.0,1.0,0.0
H4,Gemcitabine,1.0,1.0,0.0
H4,HI-TOPK-032,1.0,1.0,0.0
H4,Hydroxyfasudil,0.65,1.0,0.35
H4,IQ 1,1.0,1.0,0.0
H4,Infigratinib,1.0,1.0,0.0
H4,Ipatasertib,1.0,1.0,0.0
H4,Irinotecan,1.0,1.0,0.0
H4,Ixazomib,1.0,1.0,0.0
H4,LB-100,1.0,0.9,-0.1
H4,LJI308,1.0,1.0,0.0
H4,LY2090314,1.0,0.9,-0.1
H4,Lapatinib ditosylate,1.0,1.0,0.0
H4,MK-3903,1.0,1.0,0.0
H4,MK-8353,0.9,0.9,0.0
H4,ML264,0.9,0.9,0.0
H4,Methylprednisolone succinate,1.0,0.9,-0.1
H4,Minodronic acid,0.9,1.0,0.1
H4,NG25,1.0,1.0,0.0
H4,NVP-BHG712,1.0,1.0,0.0
H4,OTS514,1.0,1.0,0.0
H4,Oleic acid,0.9,0.8400000000000001,-0.06
H4,Oxaliplatin,1.0,1.0,0.0
H4,PF-06260933,1.0,1.0,0.0
H4,PH-797804,1.0,1.0,0.0
H4,Paclitaxel,1.0,0.9,-0.1
H4,Pemigatinib,1.0,0.9,-0.1
H4,Pimitespib,1.0,1.0,0.0
H4,Pralsetinib,1.0,1.0,0.0
H4,RMC-6236,1.0,1.0,0.0
H4,Ralimetinib dimesylate,0.9,1.0,0.1
H4,Regorafenib,1.0,1.0,0.0
H4,SBI-0640756,1.0,1.0,0.0
H4,Sapanisertib,1.0,1.0,0.0
H4,TAK-733,1.0,1.0,0.0
H4,TAK-901,1.0,1.0,0.0
H4,Temuterkib,1.0,1.0,0.0
H4,Tomivosertib,1.0,1.0,0.0
H4,Torkinib,1.0,1.0,0.0
H4,Trametinib,1.0,1.0,0.0
H4,Tubulin inhibitor 6,1.0,0.8666666666666666,-0.1333333333333333
H4,Tucatinib,0.9,1.0,0.1
H4,ULK-101,0.8,1.0,0.2
H4,Vemurafenib,1.0,1.0,0.0
H4,Volasertib,0.9,1.0,0.1
H4,XRK3F2,1.0,1.0,0.0
H4,c-Kit-IN-1,1.0,1.0,0.0
H4,olaparib,1.0,0.8,-0.2
H4,palbociclib,1.0,1.0,0.0
H4,venetoclax,1.0,1.0,0.0
