metric,stratum,divergence_lo,divergence_hi,divergence_median,n,mean_gap,median_gap,sd_gap,frac_positive,wilcoxon_p_two_sided,wilcoxon_p_greater,bh_qvalue
minority_state_coverage,Q1,0.3840079769810487,1.5485075050560455,1.335438125150524,192,0.0041546366442436,0.000924042143108,0.0229343449334022,0.546875,6.143508780639838e-07,3.071754390319919e-07,6.143508780639838e-07
minority_state_coverage,Q2,1.5492448140718125,1.6628450820312086,1.621046010145295,191,0.0049531651270334,0.0015217544483984,0.0111818797785902,0.6910994764397905,2.8779722639927826e-14,1.4389861319963913e-14,3.8372963519903766e-14
minority_state_coverage,Q3,1.6629517039355175,1.7183963479272006,1.6935313286603737,191,0.0061948722782181,0.0017249469535155,0.012862062094859,0.7015706806282722,6.325736985148932e-15,3.162868492574466e-15,1.2651473970297864e-14
minority_state_coverage,Q4,1.7186245086012872,1.8296204740088056,1.7593505012734951,191,0.0056079707582386,0.0018023687560874,0.0134961362329282,0.7120418848167539,4.132980751532063e-15,2.0664903757660318e-15,1.2651473970297864e-14
minority_state_coverage,ALL,0.3840079769810487,1.8296204740088056,1.6628450820312086,765,0.0052262585554528,0.0015914309169664,0.0157990143503209,0.6627450980392157,4.751754798369025e-45,2.3758773991845126e-45,
moa_ndcg,Q1,0.3840079769810487,1.5485075050560455,1.335438125150524,192,-0.071089866755373,0.0,0.1998116858180438,0.25,1.4473283945309277e-05,0.9999927633580272,5.78931357812371e-05
moa_ndcg,Q2,1.5492448140718125,1.6628450820312086,1.621046010145295,191,-0.0322660396494075,0.0,0.1797984415364919,0.2879581151832461,0.0366280227524124,0.9816859886237936,0.0732560455048248
moa_ndcg,Q3,1.6629517039355175,1.7183963479272006,1.6935313286603737,191,-0.0151019520674912,0.0,0.1629714457095641,0.2513089005235602,0.5324288091671472,0.7337855954164264,0.5658188885476625
moa_ndcg,Q4,1.7186245086012872,1.8296204740088056,1.7593505012734951,191,0.0023705680897611,0.0,0.1410677778385056,0.2827225130890052,0.5658188885476625,0.2829094442738312,0.5658188885476625
moa_ndcg,ALL,0.3840079769810487,1.8296204740088056,1.6628450820312086,765,-0.029076813503026,0.0,0.1741179515749215,0.2679738562091503,0.0002461409489197,0.9998769295255402,
