method,hit@1
cmap_cosine,0.38849206349206344
cmap_wtcs,0.4634920634920635
coverage_mean,0.7734126984126984
coverage_worst,0.5892857142857143
global_energy,0.8369047619047619
mean_cosine,0.38849206349206344
pca_dist,0.7781746031746032
pca_mean,0.5178571428571429
