dataset,sil_raw_k2
SciPlex3,0.0194234419614076
SciPlex3,0.0282512977719306
SciPlex3,0.0346192792057991
SciPlex3,0.0388789512217044
SciPlex3,0.0217968877404928
SciPlex3,0.0359844043850898
SciPlex3,0.0377099439501762
SciPlex3,0.0247281435877084
SciPlex3,0.0380286835134029
SciPlex3,0.0343188643455505
SciPlex3,0.030310345813632
SciPlex3,0.0386513546109199
SciPlex3,0.0282707437872886
SciPlex3,0.0244610868394374
SciPlex3,0.0292952060699462
SciPlex3,0.0302862450480461
SciPlex3,0.0337767601013183
SciPlex3,0.0254883654415607
SciPlex3,0.0377551950514316
SciPlex3,0.0352391861379146
SciPlex3,0.0314545407891273
SciPlex3,0.0262064132839441
SciPlex3,0.0623895935714244
SciPlex3,0.0228252876549959
SciPlex3,0.0289638526737689
SciPlex3,0.0327587351202964
SciPlex3,0.0262412633746862
SciPlex3,0.0223543476313352
SciPlex3,0.029639458283782
SciPlex3,0.0318316929042339
SciPlex3,0.0231522507965564
SciPlex3,0.0349437408149242
SciPlex3,0.0617602467536926
SciPlex3,0.0208790022879838
SciPlex3,0.029437968507409
SciPlex3,0.0283290687948465
SciPlex3,0.0371690280735492
SciPlex3,0.0326326750218868
SciPlex3,0.0318538099527359
SciPlex3,0.0262999217957258
SciPlex3,0.0316062718629837
SciPlex3,0.0472023300826549
SciPlex3,0.0190807655453681
SciPlex3,0.0290191210806369
SciPlex3,0.0182659588754177
SciPlex3,0.0343988090753555
SciPlex3,0.0336106494069099
SciPlex3,0.0377878583967685
SciPlex3,0.0436425432562828
SciPlex3,0.0919635966420173
SciPlex3,0.0281809531152248
SciPlex3,0.0291125643998384
SciPlex3,0.0184993464499712
SciPlex3,0.026446035131812
SciPlex3,0.052168883383274
SciPlex3,0.035771120339632
SciPlex3,0.0307339988648891
SciPlex3,0.0338091067969799
SciPlex3,0.0235938131809234
SciPlex3,0.0286883823573589
SciPlex3,0.0182638689875602
SciPlex3,0.0336153842508792
SciPlex3,0.0226953625679016
SciPlex3,0.0264767333865165
SciPlex3,0.0222898926585912
SciPlex3,0.0276151876896619
SciPlex3,0.0274826269596815
SciPlex3,0.0246941037476062
SciPlex3,0.0306825954467058
SciPlex3,0.0295247863978147
SciPlex3,0.0257844161242246
SciPlex3,0.0223509911447763
