dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,A549:Cyclocytidine HCl:s0,observed,0.4671358314571444,0.607909604519774,0.2191938358921281,0.0314641945159505,0.5602540534704774,0.6,mean_sufficient,0.9896990818673658,0.9896990818673658,0,DART_recommended,False
sciplex3_within_line,A549:Lomustine:s0,observed,0.35038600844982,0.5378531073446328,0.3616813294232649,0.0279773937285322,0.598653619660804,0.2,mean_sufficient,0.9882515258995048,0.987234797638941,0,mean_sufficient,True
sciplex3_within_line,A549:TG101209:s0,observed,0.4689595431013708,0.6242937853107344,0.4356545239951407,0.0323232342645079,0.5951075690954775,0.4,mean_sufficient,0.988565629546001,0.988565629546001,0,DART_recommended,False
sciplex3_within_line,A549:PF-3845:s0,observed,0.44253560064705,0.5214689265536723,0.3865792651371399,0.0292447578731028,0.5949858422974246,0.4,mean_sufficient,0.9940867657953116,0.992974390382092,0,mean_sufficient,True
sciplex3_within_line,A549:Ruxolitinib (INCB018424):s1,observed,0.3433310932918009,0.488135593220339,0.3442010235179115,0.0273416220878071,0.6083586879711056,0.2,mean_sufficient,0.9897342073082024,0.9897342073082024,1,mean_sufficient,True
sciplex3_within_line,A549:Lomustine:s1,observed,0.4349722289792067,0.584180790960452,0.3686964521879132,0.0284247164338969,0.6065432141174623,0.4,mean_sufficient,0.9895180314713496,0.9890414676521876,1,DART_recommended,False
sciplex3_within_line,A549:UNC1999:s1,observed,0.3626861510059511,0.6203389830508474,0.3446853166317026,0.0332186204929416,0.6239042870603015,0.2,mean_sufficient,0.9878656052779222,0.9876750804620328,1,mean_sufficient,True
sciplex3_within_line,A549:JNJ-26854165 (Serdemetan):s1,observed,0.438070734654052,0.5774011299435028,0.3825541946984072,0.0284831870489527,0.5872720536275126,0.4,mean_sufficient,0.9938201615662692,0.9942733545375766,1,DART_recommended,False
sciplex3_cross_line,K562->A549:Cyclocytidine HCl:s0,observed,0.6306541462198265,0.1423728813559321,0.0971363673904881,0.0441121593638994,0.6431993954145729,1.0,mean_sufficient,0.6585113249876584,0.6546840468898131,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Lomustine:s0,observed,0.6135904055354919,0.1327683615819209,0.0915991029843021,0.0367194155919493,0.7137247271513819,1.0,mean_sufficient,0.6289814543586508,0.6289814543586508,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:TG101209:s0,observed,0.6145202887424794,0.1112994350282485,0.077913863492611,0.0380449258864519,0.731156588607098,1.0,mean_sufficient,0.6284070163109353,0.6284070163109353,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:PF-3845:s0,observed,0.5978882465714976,0.1101694915254237,0.0855783328266126,0.032212410049641,0.7129859993326004,1.0,mean_sufficient,0.6612368478325799,0.6612368478325799,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Ruxolitinib (INCB018424):s1,observed,0.6053553487595683,0.1152542372881356,0.0914265999654994,0.0334904767272731,0.7288460858982412,1.0,mean_sufficient,0.6444080812854425,0.6444080812854425,1,mean_sufficient,True
sciplex3_cross_line,K562->A549:Lomustine:s1,observed,0.6006578370717335,0.0887005649717514,0.0874015295267666,0.0332126844817075,0.7042924829224246,1.0,mean_sufficient,0.6514236770345335,0.6514236770345335,1,mean_sufficient,True
sciplex3_cross_line,K562->A549:UNC1999:s1,observed,0.5988590617029212,0.0497175141242937,0.0880340405957104,0.0319679566907183,0.7214327742226758,1.0,mean_sufficient,0.6574455249608312,0.6597428125584346,1,mean_sufficient,True
sciplex3_cross_line,K562->A549:JNJ-26854165 (Serdemetan):s1,observed,0.603651011487637,0.1096045197740113,0.0909090909090908,0.033466876535547,0.7143220006281408,1.0,mean_sufficient,0.6581177171769934,0.6577839805729737,1,mean_sufficient,True
cd34,CD34+:Crizotinib:s0,observed,0.4013296985271024,0.6016806722689075,0.4117647058823529,0.1206319346523945,0.2721205146827889,0.2,mean_sufficient,0.9866812867478147,0.9861854008813308,0,DART_recommended,False
cd34,CD34+:Geldanamycin:s0,observed,0.3920886908115947,0.5932773109243697,0.1647058823529411,0.1247602229699654,0.2444163198806532,0.4,mean_sufficient,0.9881992540118972,0.9881992540118972,0,mean_sufficient,True
cd34,CD34+:Sapanisertib:s0,observed,0.6003385011569798,0.6033613445378151,0.0672268907563025,0.1178738265582541,0.2680908939227386,1.0,mean_sufficient,0.9771714200083828,0.9771714200083828,0,DART_recommended,False
