method,n,median_regret_reduction,frac_improved
DART_energy,621,0.055713653564453125,0.6006441223832528
DART_mmd,621,0.0604209899902344,0.605475040257649
DART_sliced_wasserstein,621,0.05907630920410162,0.6183574879227053
DART_coverage_mean,621,0.09037590026855472,0.644122383252818
DART_coverage_worst,621,0.1190042495727539,0.7198067632850241
