cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,mean_cosine_ctrl_rho,mean_cosine_raw_rho,magnitude_only_rho,energydist_vs_candmag_rho
A549,(+)-JQ1,33,4.064007736029228,0.734237,-0.5594919786096257,-0.0875668449197861,-0.5798796791443851,0.6895053475935828,0.5758689839572193
A549,A-366,33,1.624025655156508,0.970873,-0.6814839572192515,-0.43582887700534767,-0.6433823529411765,0.6674465240641712,0.9862967914438503
A549,ABT-737,33,2.4893666447442526,0.901474,-0.6056149732620321,-0.07286096256684492,-0.6427139037433155,0.6751336898395722,0.8088235294117647
A549,AZ 960,33,3.5690972314147826,0.747144,-0.29044117647058826,0.04044117647058824,-0.30815508021390375,0.6955213903743316,0.4425133689839572
A549,Alisertib (MLN8237),33,2.701220216948174,0.756616,-0.4141042780748663,0.38402406417112306,-0.4338235294117647,0.7078877005347595,0.7185828877005348
A549,Avagacestat (BMS-708163),33,1.5065784845759154,0.950203,-0.6554144385026738,-0.18850267379679145,-0.6570855614973262,0.669451871657754,0.9893048128342246
A549,BMS-536924,33,3.199908565421629,0.731017,-0.45287433155080214,0.35294117647058826,-0.2850935828877006,0.6998663101604279,0.7413101604278075
A549,BMS-754807,33,3.4351461476696152,0.744667,-0.30514705882352944,0.017379679144385027,-0.3044786096256685,0.6955213903743316,0.5223930481283423
A549,Bosutinib (SKI-606),33,2.9253404853716316,0.92871,-0.5337566844919787,0.21925133689839574,-0.5989304812834225,0.688836898395722,0.741644385026738
A549,Cediranib (AZD2171),33,2.9932613010239097,0.830452,-0.46423796791443855,0.24866310160427807,-0.39839572192513373,0.6958556149732621,0.7162433155080214
A549,Crizotinib (PF-02341066),33,3.077783898620598,0.849685,-0.3699866310160428,0.3770053475935829,-0.22025401069518719,0.6958556149732621,0.6450534759358288
A549,Dasatinib,33,2.588717260319786,0.769314,-0.5350935828877006,0.40006684491978617,-0.4488636363636364,0.7015374331550802,0.8897058823529412
A549,Entinostat (MS-275),33,5.823067397511505,0.826391,-0.3723262032085562,0.04411764705882353,-0.3893716577540107,0.7082219251336899,0.5431149732620322
A549,"Fluorouracil (5-Fluoracil, 5-FU)",33,4.5428372872188785,0.760524,-0.36062834224598933,0.031751336898395724,-0.29812834224598933,0.696524064171123,0.41945187165775405
A549,Fulvestrant,33,1.4579323694174582,0.977923,-0.6584224598930482,-0.3375668449197861,-0.6263368983957219,0.6671122994652406,0.9846256684491979
A549,GSK-LSD1 2HCl,33,1.5074151564547704,0.97398,-0.6584224598930482,-0.2309491978609626,-0.6099598930481284,0.6681149732620322,0.9786096256684492
A549,Lenalidomide (CC-5013),33,1.3488657555158323,0.972176,-0.6754679144385027,-0.2887700534759359,-0.6590909090909092,0.6674465240641712,0.9949866310160428
A549,"Luminespib (AUY-922, NVP-AUY922)",33,1.9753613731372248,0.509277,-0.6059491978609626,0.29411764705882354,-0.5945855614973262,0.7580213903743316,0.8997326203208557
A549,Navitoclax (ABT-263),33,3.854141764698048,0.873974,-0.5411096256684492,-0.042112299465240643,-0.4618983957219252,0.7052139037433156,0.6510695187165776
A549,Nilotinib (AMN-107),33,1.547290008053679,0.960452,-0.6778074866310161,-0.009692513368983958,-0.6741310160427808,0.6674465240641712,0.9662433155080214
A549,Obatoclax Mesylate (GX15-070),33,2.6997215168085873,0.671246,-0.7476604278074866,0.053810160427807494,-0.6951871657754011,0.7185828877005348,0.8285427807486632
A549,PCI-34051,33,1.8448017103994923,0.943246,-0.6614304812834225,0.134024064171123,-0.6022727272727274,0.6664438502673797,0.973596256684492
A549,PD173074,33,1.6763838700309885,0.959716,-0.6784759358288771,0.10494652406417114,-0.7048796791443851,0.6671122994652406,0.9425133689839572
A549,PFI-1 (PF-6405761),33,2.8577445227737366,0.881062,-0.4993315508021391,0.09725935828877007,-0.5658422459893048,0.6918449197860963,0.7195855614973262
A549,"Rucaparib (AG-014699,PF-01367338) phosphate",33,2.1068480871090975,0.981276,-0.45755347593582885,0.22493315508021391,-0.502005347593583,0.6918449197860963,0.7586898395721925
A549,Ruxolitinib (INCB018424),33,1.733212321357964,0.942,-0.6754679144385027,-0.39639037433155083,-0.6577540106951872,0.6677807486631017,0.9752673796791445
A549,Sorafenib Tosylate,33,3.9232503523610225,0.855526,-0.47693850267379684,0.07954545454545456,-0.4535427807486631,0.7102272727272728,0.6741310160427808
A549,Tanespimycin (17-AAG),33,3.8944840369176887,0.527859,-0.39371657754010697,0.3342245989304813,-0.31183155080213903,0.688836898395722,0.7653743315508023
A549,"Temsirolimus (CCI-779, NSC 683864)",33,2.2183899317558473,0.774519,-0.7002005347593583,-0.08890374331550803,-0.6470588235294118,0.7085561497326204,0.9334893048128343
A549,Trametinib (GSK1120212),33,4.77192510207286,0.534255,-0.12266042780748664,0.44786096256684493,0.11965240641711229,0.6808155080213905,0.4936497326203209
A549,UNC0379,33,4.7934614794067185,0.899843,-0.40407754010695185,0.006684491978609626,-0.1985294117647059,0.7269385026737968,0.37433155080213903
A549,Veliparib (ABT-888),33,1.3180406968565317,0.977367,-0.6818181818181819,-0.2827540106951872,-0.6664438502673797,0.6664438502673797,0.993649732620321
A549,XAV-939,33,2.3825632317574192,0.942597,-0.6266711229946524,0.06951871657754011,-0.5872326203208557,0.6751336898395722,0.8957219251336899
A549,ZM 447439,33,3.3354172156412036,0.828413,-0.2947860962566845,0.11163101604278076,-0.44318181818181823,0.698529411764706,0.5598262032085563
K562,(+)-JQ1,33,5.543761392607591,0.892312,-0.3465909090909091,0.45721925133689845,-0.6851604278074866,0.741644385026738,0.339572192513369
K562,A-366,33,1.7753801049890903,0.967305,-0.6864973262032087,0.09391711229946524,-0.7118983957219251,0.7065508021390374,0.9883021390374332
K562,ABT-737,33,2.3810772077334232,0.853671,-0.7042112299465241,0.13435828877005349,-0.643716577540107,0.7272727272727273,0.9324866310160428
