cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,mean_cosine_ctrl_rho,mean_cosine_raw_rho,magnitude_only_rho,energydist_vs_candmag_rho
A549,(+)-JQ1,33.0,4.064007736029228,0.734237,-0.5588235294117647,-0.0875668449197861,-0.5798796791443851,0.6895053475935828,0.5815508021390374
A549,A-366,33.0,1.624025655156508,0.970873,-0.6661096256684492,-0.4358288770053476,-0.6433823529411765,0.6674465240641712,0.9886363636363638
A549,ABT-737,33.0,2.4893666447442526,0.901474,-0.6006016042780749,-0.0728609625668449,-0.6427139037433155,0.6751336898395722,0.8118315508021391
A549,AZ 960,33.0,3.569097231414782,0.747144,-0.2774064171122995,0.0404411764705882,-0.3081550802139037,0.6955213903743316,0.4321524064171123
A549,Alisertib (MLN8237),33.0,2.701220216948174,0.756616,-0.3927139037433155,0.384024064171123,-0.4338235294117647,0.7078877005347595,0.7085561497326204
A549,Avagacestat (BMS-708163),33.0,1.5065784845759154,0.950203,-0.652072192513369,-0.1885026737967914,-0.6570855614973262,0.669451871657754,0.990307486631016
A549,BMS-536924,33.0,3.199908565421629,0.731017,-0.4512032085561497,0.3529411764705882,-0.2850935828877006,0.6998663101604279,0.7413101604278075
A549,BMS-754807,33.0,3.4351461476696152,0.744667,-0.2997994652406417,0.017379679144385,-0.3044786096256685,0.6955213903743316,0.5237299465240641
A549,Bosutinib (SKI-606),33.0,2.925340485371632,0.92871,-0.5330882352941178,0.2192513368983957,-0.5989304812834225,0.688836898395722,0.7433155080213905
A549,Cediranib (AZD2171),33.0,2.9932613010239097,0.830452,-0.4525401069518716,0.248663101604278,-0.3983957219251337,0.6958556149732621,0.7195855614973262
A549,Crizotinib (PF-02341066),33.0,3.077783898620598,0.849685,-0.3465909090909091,0.3770053475935829,-0.2202540106951871,0.6958556149732621,0.6470588235294118
A549,Dasatinib,33.0,2.588717260319786,0.769314,-0.5103609625668449,0.4000668449197861,-0.4488636363636364,0.7015374331550802,0.8880347593582889
A549,Entinostat (MS-275),33.0,5.823067397511505,0.826391,-0.3643048128342246,0.0441176470588235,-0.3893716577540107,0.7082219251336899,0.5417780748663102
