context,ko,n_cells,response_divergence,subpop_separation,minority_frac,seed,prog_IFN_response_minority_minus_majority,prog_antigen_presentation_minority_minus_majority,prog_antigen_presentation_loss_minority_minus_majority,prog_AXL_mesenchymal_minority_minus_majority,prog_quiescence_minority_minus_majority,proliferation_minority_minus_majority
Co-culture,CDK4,242,0.0652358256700524,1.8002822995185852,0.4504132231404958,0,0.0708595588803291,-0.0302269458770751,-0.0608934573829174,-0.1058766394853591,1.0074706077575684,0.8787288665771484
Co-culture,CDK6,106,0.0771337000212176,1.533318817615509,0.4339622641509434,0,0.1372414082288742,-0.0011720025213435,-0.0391277931630611,-0.1317345201969146,0.945296049118042,0.8874671459197998
Co-culture,CDKN1A,358,0.0662528505300056,1.8739322423934937,0.4860335195530726,0,0.1726974546909332,0.1411507725715637,0.0947120934724807,-0.080176368355751,0.915392518043518,0.9240895509719848
Co-culture,CDKN2A,270,0.0722752809306311,1.908504068851471,0.4407407407407407,0,0.2121247947216034,0.1291349828243255,0.0952512696385383,-0.1946511417627334,1.0107436180114746,1.0032798051834106
Co-culture,CDKN2B,315,0.0661139077583848,1.7861904501914978,0.4888888888888889,0,0.1935442090034485,0.2534117698669433,0.204704612493515,-0.030875064432621,0.95364511013031,0.968229115009308
Co-culture,CGAS,265,0.0748646624063105,1.89622575044632,0.4377358490566038,0,-0.0055731274187564,-0.0157350841909647,-0.0741010904312133,0.0500970184803009,1.0347559452056885,1.0013765096664429
Co-culture,CHCHD2,339,0.0724758575158299,1.8696805834770205,0.4011799410029498,0,0.1819389462471008,0.1461773812770843,0.1047358810901641,-0.1573429256677627,0.930517315864563,0.988704800605774
Co-culture,CITED1,350,0.0682840858246943,1.904087483882904,0.4771428571428571,0,-0.0991277620196342,-0.0220009125769138,0.020288061350584,0.0154430102556943,-0.9739856719970704,-0.9541576504707336
Co-culture,CKS1B,292,0.0801238932748479,1.844012558460236,0.476027397260274,0,0.154737576842308,0.0445711612701416,-0.0160887353122234,-0.0974258035421371,1.014878749847412,0.9986209273338318
Co-culture,CMSS1,338,0.072386714433143,1.89087438583374,0.378698224852071,0,0.1499033123254776,0.1614329516887664,0.109062060713768,-0.2090223580598831,0.9498512744903564,0.9892592430114746
Co-culture,CORO1A,260,0.0789434865259626,1.8926150798797607,0.4615384615384615,0,-0.2321826815605163,-0.2693125605583191,-0.2020341604948043,0.2359687536954879,-0.9340007901191713,-0.9030331969261168
Co-culture,CSPG4,400,0.0673729738201345,1.8891900181770325,0.43,0,0.0635388568043708,-0.0374668426811695,-0.1117830500006675,-0.1742856502532959,0.9731355309486388,0.945847988128662
Co-culture,CST3,220,0.0702720293383281,1.8558922410011287,0.4818181818181818,0,0.1139291450381279,0.0975188910961151,0.050956554710865,-0.3302631378173828,0.94966459274292,0.9487423896789552
Co-culture,CTPS1,117,0.0766256420818585,1.2363361418247223,0.4871794871794871,0,0.2280072718858719,0.461056113243103,0.5597862005233765,0.0825744941830635,-0.97691810131073,-0.9693781733512878
Co-culture,CTSA,297,0.0697242435861017,1.8891673684120176,0.4747474747474747,0,0.1683332920074463,0.0257212929427623,-0.0024535367265343,-0.2263936847448349,0.904868483543396,0.9211953282356262
Co-culture,CTSB,371,0.057533199794951,1.8619375824928284,0.4393530997304582,0,0.2427403777837753,0.0826098620891571,0.0497827231884002,-0.0318206027150154,0.907772183418274,0.8351106643676758
Co-culture,CTSD,400,0.0728833208423025,1.6392430067062378,0.44,0,0.1984908878803253,0.183433711528778,0.1195097714662551,-0.0674296543002128,0.947971761226654,0.9682363271713256
Co-culture,CTSL,298,0.0760903076643671,1.7184994220733645,0.4194630872483221,0,0.1823194921016693,0.1224914491176605,0.0798652023077011,-0.1162579804658889,0.965972065925598,1.0541484355926514
Co-culture,CTSO,327,0.077592333748157,1.873578786849976,0.3944954128440367,0,0.3777516186237335,0.3708973228931427,0.3126992881298065,-0.1403629183769226,1.0000901222229004,0.9658840894699096
Co-culture,CXCR4,301,0.0733735020427969,1.8959463238716123,0.388704318936877,0,0.2863717675209045,0.2666094303131103,0.2120883166790008,-0.1188581436872482,1.016402006149292,0.9965572357177734
Co-culture,CYP27A1,312,0.0832034670517797,1.8808717727661133,0.483974358974359,0,-0.066291905939579,0.0827778577804565,0.1794213354587555,0.2190091609954834,-0.9485104084014891,-0.9774461388587952
Co-culture,DAG1,281,0.0778784981894482,1.881542086601257,0.4199288256227758,0,0.0830830782651901,-0.0440639853477478,-0.1032409742474556,-0.0708620399236679,1.045937418937683,1.0593833923339844
Co-culture,DDR1,304,0.0739069247764357,1.8855944871902464,0.4144736842105263,0,-0.0365736074745655,-0.1832897067070007,-0.2277294099330902,-0.0776069462299346,1.0238429307937622,1.0130643844604492
Co-culture,DDX17,233,0.079206471443711,1.8148548007011411,0.3905579399141631,0,0.2912945449352264,0.3542249202728271,0.2993492484092712,-0.200126826763153,1.0049896240234375,1.006317973136902
Co-culture,DDX39A,218,0.057646162024852,1.7103954553604126,0.3348623853211009,0,-0.4366238713264465,-0.4785544276237488,-0.5012165307998657,0.2552322447299957,0.1397495567798614,-0.0473209619522094
Co-culture,DLL3,287,0.0758807870535577,1.868537187576294,0.4494773519163763,0,0.1535935401916504,0.1619475334882736,0.1095083132386207,-0.1287345886230468,0.9854007363319396,1.0291130542755127
Co-culture,DNMT1,118,0.0831821079588496,1.5726681351661682,0.3389830508474576,0,-0.1141718924045562,0.1193351745605468,0.1375954747200012,0.4228200912475586,-0.3606491088867187,-0.4275780618190765
Co-culture,E2F1,178,0.0694397332314295,1.7085373997688291,0.3876404494382022,0,0.3542783856391907,0.2987809777259826,0.2616934180259704,0.0066312067210674,0.968508005142212,0.8777050375938416
Co-culture,EEA1,280,0.061588338661301,1.8664523363113403,0.2392857142857143,0,-0.3037519156932831,-0.2973531484603882,-0.2807075083255768,0.3338081240653991,-0.0357925295829772,-0.1387450098991394
Co-culture,EEF1G,53,0.0803846729809084,1.421893060207367,0.3584905660377358,0,-0.0701581463217735,0.0163990743458271,0.0052848244085907,-0.1335105746984481,0.8789052367210388,0.9921773672103882
Co-culture,EIF3K,230,0.0658068664672795,1.4729469120502472,0.3260869565217391,0,0.1445196866989135,0.1724652498960495,0.1691930294036865,-0.0681449249386787,0.9722317457199096,0.97179114818573
