split_type,cell_line,heldout_drug,observed_library_fraction,seed,recommendation_mode,regret_reduction
leave_drug_out,A549,Azacitidine,1.0,1,DART_recommended,2.220701217651367
leave_drug_out,A549,G007-LK,1.0,1,DART_recommended,2.1747169494628906
leave_drug_out,A549,Pracinostat (SB939),1.0,1,mean_sufficient,0.0
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,1,DART_recommended,0.08127403259277341
leave_drug_out,A549,Carmofur,1.0,1,DART_recommended,0.1773662567138672
leave_drug_out,A549,CYC116,1.0,1,DART_recommended,0.3014774322509766
leave_drug_out,A549,Prednisone,1.0,1,DART_recommended,-0.1221160888671875
leave_drug_out,A549,CUDC-101,1.0,1,DART_recommended,-0.09179878234863281
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,1,DART_recommended,-0.02885818481445311
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,1,DART_recommended,-0.0032577514648438
leave_drug_out,A549,UNC0379,1.0,1,DART_recommended,1.262041091918945
leave_drug_out,A549,SB431542,1.0,1,DART_recommended,0.0938186645507813
leave_drug_out,A549,Mocetinostat (MGCD0103),1.0,1,DART_recommended,0.0
leave_drug_out,A549,Ki8751,1.0,1,DART_recommended,0.1462421417236328
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,1,DART_recommended,0.13597679138183588
leave_drug_out,A549,Ofloxacin,1.0,1,DART_recommended,0.2455463409423828
leave_drug_out,A549,Daphnetin,1.0,1,DART_recommended,-0.016744613647460896
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,1,DART_recommended,0.223459243774414
leave_MoA_out,A549,IOX2,0.9414893617021276,1,mean_or_no_call,0.4461250305175782
leave_MoA_out,A549,Fulvestrant,0.973404255319149,1,DART_recommended,-0.07764434814453129
leave_MoA_out,A549,PF-3845,0.973404255319149,1,DART_recommended,0.1889858245849609
leave_MoA_out,A549,Trichostatin A (TSA),0.9787234042553192,1,DART_recommended,1.7305355072021484
leave_MoA_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.9840425531914894,1,DART_recommended,0.0
leave_MoA_out,A549,Tanespimycin (17-AAG),0.9361702127659576,1,DART_recommended,0.0
leave_MoA_out,A549,Avagacestat (BMS-708163),0.9893617021276596,1,mean_or_no_call,0.0992813110351562
leave_MoA_out,A549,BMS-911543,0.8936170212765957,1,DART_recommended,0.037244796752929715
partial_library,A549,batch,0.2,1,DART_recommended,0.1376361846923828
partial_library,A549,batch,0.4,1,DART_recommended,-0.2111358642578125
