grid_id,seed,A,B,alpha_star,d_M,d_C,actual_alpha,observed_flip,information_condition
a0.50_c0.00_n15_s0.5_L20_Iobserved,0,1.5100646066912304e-08,3.222672191327547e-07,0.9552398209059563,balanced_6,maj_specialist_14,0.5,0,observed
a0.50_c0.00_n15_s0.5_L100_Iobserved,1,2.6281489340362896e-07,1.5948296194778777e-07,0.37765515483159023,balanced_30,min_specialist_21,0.5,0,observed
a0.50_c0.00_n15_s0.5_L100_Iobserved,2,3.7691158283337245e-07,1.6623966914153243e-07,0.30606514950869185,maj_specialist_61,maj_specialist_76,0.5,0,observed
a0.50_c0.00_n15_s0.5_L20_Ipredicted_mean,0,1.5100646066912304e-08,3.222672191327547e-07,0.9552398209059563,balanced_6,maj_specialist_14,0.5,0,predicted_mean
a0.50_c0.00_n15_s0.5_L100_Ipredicted_mean,1,2.6281489340362896e-07,1.5948296194778777e-07,0.37765515483159023,balanced_30,min_specialist_21,0.5,0,predicted_mean
a0.50_c0.00_n15_s0.5_L100_Ipredicted_mean,2,3.7691158283337245e-07,1.6623966914153243e-07,0.30606514950869185,maj_specialist_61,maj_specialist_76,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L20_Iobserved,0,4.4999996918282505,4.500000413393689,0.5000000400869683,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L20_Iobserved,1,4.5000000327865415,4.500000458605825,0.5000000236566255,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L20_Iobserved,2,4.500000321516092,4.500000282069799,0.49999999780853943,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L100_Iobserved,0,4.499999513643122,4.500000099349997,0.5000000325392723,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L100_Iobserved,1,4.499999920025058,4.500000174181764,0.5000000141198169,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L100_Iobserved,2,4.500000445329057,4.499999931774411,0.4999999714691875,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L20_Ipredicted_mean,0,4.4999996918282505,4.500000413393689,0.5000000400869683,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L20_Ipredicted_mean,1,4.5000000327865415,4.500000458605825,0.5000000236566255,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L20_Ipredicted_mean,2,4.500000321516092,4.500000282069799,0.49999999780853943,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L100_Ipredicted_mean,0,4.499999513643122,4.500000099349997,0.5000000325392723,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L100_Ipredicted_mean,1,4.499999920025058,4.500000174181764,0.5000000141198169,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L100_Ipredicted_mean,2,4.500000445329057,4.499999931774411,0.4999999714691875,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n15_s0.5_L20_Iobserved,0,8.999999810976462,9.00000056199838,0.5000000208617196,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c1.00_n15_s0.5_L20_Iobserved,1,8.999999318444877,9.000000187358223,0.5000000241364825,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c1.00_n15_s0.5_L20_Iobserved,2,9.000000594696656,9.000000357086792,0.49999999339972634,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c1.00_n15_s0.5_L100_Iobserved,0,8.999999976188516,8.999999826365457,0.49999999583824833,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c1.00_n15_s0.5_L100_Iobserved,1,8.999999288184148,9.00000052639997,0.5000000343948844,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c1.00_n15_s0.5_L100_Iobserved,2,9.00000068733656,9.000000092846085,0.49999998348637636,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c1.00_n15_s0.5_L20_Ipredicted_mean,0,8.999999810976462,9.00000056199838,0.5000000208617196,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n15_s0.5_L20_Ipredicted_mean,1,8.999999318444877,9.000000187358223,0.5000000241364825,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n15_s0.5_L20_Ipredicted_mean,2,9.000000594696656,9.000000357086792,0.49999999339972634,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n15_s0.5_L100_Ipredicted_mean,0,8.999999976188516,8.999999826365457,0.49999999583824833,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n15_s0.5_L100_Ipredicted_mean,1,8.999999288184148,9.00000052639997,0.5000000343948844,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n15_s0.5_L100_Ipredicted_mean,2,9.00000068733656,9.000000092846085,0.49999998348637636,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.00_n60_s0.5_L20_Iobserved,0,1.5100646066912304e-08,3.222672191327547e-07,0.9552398209059563,balanced_6,maj_specialist_14,0.5,0,observed
a0.50_c0.00_n60_s0.5_L100_Iobserved,1,2.6281489340362896e-07,1.5948296194778777e-07,0.37765515483159023,balanced_30,min_specialist_21,0.5,0,observed
a0.50_c0.00_n60_s0.5_L100_Iobserved,2,3.7691158283337245e-07,1.6623966914153243e-07,0.30606514950869185,maj_specialist_61,maj_specialist_76,0.5,0,observed
a0.50_c0.00_n60_s0.5_L20_Ipredicted_mean,0,1.5100646066912304e-08,3.222672191327547e-07,0.9552398209059563,balanced_6,maj_specialist_14,0.5,0,predicted_mean
a0.50_c0.00_n60_s0.5_L100_Ipredicted_mean,1,2.6281489340362896e-07,1.5948296194778777e-07,0.37765515483159023,balanced_30,min_specialist_21,0.5,0,predicted_mean
a0.50_c0.00_n60_s0.5_L100_Ipredicted_mean,2,3.7691158283337245e-07,1.6623966914153243e-07,0.30606514950869185,maj_specialist_61,maj_specialist_76,0.5,0,predicted_mean
a0.50_c0.50_n60_s0.5_L20_Iobserved,0,4.4999996918282505,4.500000413393689,0.5000000400869683,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n60_s0.5_L20_Iobserved,1,4.5000000327865415,4.500000458605825,0.5000000236566255,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n60_s0.5_L20_Iobserved,2,4.500000321516092,4.500000282069799,0.49999999780853943,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n60_s0.5_L100_Iobserved,0,4.499999513643122,4.500000099349997,0.5000000325392723,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n60_s0.5_L100_Iobserved,1,4.499999920025058,4.500000174181764,0.5000000141198169,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n60_s0.5_L100_Iobserved,2,4.500000445329057,4.499999931774411,0.4999999714691875,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n60_s0.5_L20_Ipredicted_mean,0,4.4999996918282505,4.500000413393689,0.5000000400869683,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n60_s0.5_L20_Ipredicted_mean,1,4.5000000327865415,4.500000458605825,0.5000000236566255,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n60_s0.5_L20_Ipredicted_mean,2,4.500000321516092,4.500000282069799,0.49999999780853943,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n60_s0.5_L100_Ipredicted_mean,0,4.499999513643122,4.500000099349997,0.5000000325392723,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n60_s0.5_L100_Ipredicted_mean,1,4.499999920025058,4.500000174181764,0.5000000141198169,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n60_s0.5_L100_Ipredicted_mean,2,4.500000445329057,4.499999931774411,0.4999999714691875,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c1.00_n60_s0.5_L20_Iobserved,0,8.999999810976462,9.00000056199838,0.5000000208617196,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c1.00_n60_s0.5_L20_Iobserved,1,8.999999318444877,9.000000187358223,0.5000000241364825,maj_specialist_15,min_specialist_0,0.5,0,observed
