,mean_cosine,mean_l2,global_energy,coverage_mean,coverage_worst,cmap_cosine,cmap_wtcs
mean_cosine,1.0,0.19839966188522665,0.05955482907168143,0.009853167212177666,0.004475498984715637,0.9999999999691407,0.8501472448632399
mean_l2,0.19839966188522665,1.0,0.8007100866924951,0.6824310081665191,0.6848054601865172,0.1983997163599244,0.17044532469580567
global_energy,0.05955482907168142,0.800710086692495,1.0,0.8939908524331159,0.9046433664703303,0.05955487380000907,0.05366385857308866
coverage_mean,0.009853167212177666,0.682431008166519,0.893990852433116,1.0,0.9821108523003066,0.009853231130695073,0.015337099838039783
coverage_worst,0.004475498984715637,0.6848054601865171,0.9046433664703304,0.9821108523003066,1.0,0.004475556566294269,0.011509142989862846
cmap_cosine,0.9999999999691407,0.19839971635992443,0.05955487380000907,0.009853231130695075,0.00447555656629427,1.0,0.8501472039080743
cmap_wtcs,0.8501472448632398,0.1704453246958057,0.05366385857308866,0.015337099838039783,0.011509142989862844,0.8501472039080743,1.0
