split_type,cell_line,heldout_drug,observed_library_fraction,seed,structure_reliability_score,preference_conflict,true_divergence,recommendation_mode,minority_state_coverage_gap
leave_MoA_out,A549,Avagacestat (BMS-708163),0.9893617021276596,1,0.3667366240511714,0.5677966101694916,1.6628450820312086,mean_or_no_call,-0.000238575998982
leave_MoA_out,A549,BMS-911543,0.8936170212765957,1,0.4441354460884547,0.5813559322033899,1.6979925978050945,DART_recommended,0.0002544491561952
leave_MoA_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.9840425531914894,1,0.5483362164900488,0.596045197740113,1.72464783488905,DART_recommended,0.0
leave_MoA_out,A549,CEP-33779,0.8936170212765957,0,0.3163012045883557,0.5836158192090395,1.5589583463295298,mean_or_no_call,-7.467218787460261e-05
leave_MoA_out,A549,CEP-33779,0.8936170212765957,4,0.4795737749784408,0.635593220338983,1.6049964173330344,DART_recommended,-0.0009908012665051
leave_MoA_out,A549,Carmofur,0.8723404255319149,3,0.4931920270721902,0.5432325532941561,1.396340672012681,DART_recommended,0.0012634073689355
leave_MoA_out,A549,Celecoxib,0.9787234042553192,0,0.4699372430980471,0.5050847457627119,1.6621123055307705,DART_recommended,-0.0014465701413374
leave_MoA_out,A549,Celecoxib,0.9787234042553192,3,0.4218367595666312,0.5519774011299435,1.6943889544411974,DART_recommended,-0.0001584379651073
leave_MoA_out,A549,Celecoxib,0.9787234042553192,4,0.4253544366720407,0.5971751412429378,1.668514271216725,DART_recommended,0.0016044408511437
leave_MoA_out,A549,Clevudine,0.8723404255319149,2,0.4382081459311127,0.5994350282485876,1.6164446959321106,DART_recommended,6.400003556616962e-05
leave_MoA_out,A549,Disulfiram,0.973404255319149,3,0.3870958863367559,0.5169491525423728,1.604710273657132,mean_or_no_call,-0.0004896809973473
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,3,0.4036087619875141,0.6455213395195449,1.6711660909453474,DART_recommended,0.0007384255840391
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,4,0.4604704581250117,0.6129943502824858,1.6804603500022133,DART_recommended,0.0017249469535155
leave_MoA_out,A549,Droxinostat,0.9361702127659576,0,0.4194991481959268,0.5875706214689266,1.5823075020420343,DART_recommended,0.0015217544483984
leave_MoA_out,A549,Enzastaurin (LY317615),0.9840425531914894,3,0.515538760780533,0.5898305084745763,1.6085426963349374,DART_recommended,-0.0007626515664898
leave_MoA_out,A549,Fulvestrant,0.973404255319149,1,0.4938758009104523,0.5005649717514125,1.6065631166172716,DART_recommended,-0.0021779124685538
leave_MoA_out,A549,Givinostat (ITF2357),0.9361702127659576,4,0.4502719744407406,0.4418079096045197,0.6825554696289,DART_recommended,0.0
leave_MoA_out,A549,IOX2,0.9414893617021276,1,0.3312486458205508,0.5819209039548022,1.694686450112994,mean_or_no_call,0.0035347684259082
