beta,D_beta,mean,max
1e-09,0.7124999761581421,0.7124999761581421,1.2999999523162842
0.1,0.7205489873886108,0.7124999761581421,1.2999999523162842
0.5,0.7531250715255737,0.7124999761581421,1.2999999523162842
1.0,0.7940658330917358,0.7124999761581421,1.2999999523162842
2.0,0.8726997971534729,0.7124999761581421,1.2999999523162842
5.0,1.0435571670532229,0.7124999761581421,1.2999999523162842
10.0,1.1620986461639404,0.7124999761581421,1.2999999523162842
20.0,1.2306876182556152,0.7124999761581421,1.2999999523162842
100.0,1.2861369848251345,0.7124999761581421,1.2999999523162842
1000000000.0,1.2999999523162842,0.7124999761581421,1.2999999523162842
