split_type,cell_line,heldout_drug,observed_library_fraction,seed,classA_regret_reduction,classB_moa_ndcg_gain
leave_drug_out,A549,UNC0379,1.0,2,0.1830806732177735,0.2172796177977173
leave_drug_out,A549,Lomustine,1.0,2,-0.00037574768066397923,0.0851431176416209
leave_drug_out,A549,WP1066,1.0,2,0.0853176116943359,-0.13425154402493997
leave_drug_out,A549,Danusertib (PHA-739358),1.0,2,0.6932868957519531,-0.5337225282363591
leave_drug_out,A549,Navitoclax (ABT-263),1.0,2,0.1236839294433593,-0.10209739512291159
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,2,0.2682552337646484,0.0
leave_drug_out,A549,Quercetin,1.0,2,-0.0790634155273437,0.2902597849695646
leave_drug_out,A549,Altretamine,1.0,2,0.14940452575683602,-0.0188888941872319
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,2,0.0,-0.003176998482388199
leave_drug_out,A549,Thiotepa,1.0,2,0.2181549072265625,0.0
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,2,0.279754638671875,0.0346066092840243
leave_drug_out,A549,PF-3845,1.0,2,-0.19489669799804688,0.2303612461053624
leave_drug_out,A549,PD98059,1.0,2,-0.056713104248046896,0.0
leave_drug_out,A549,Linifanib (ABT-869),1.0,2,0.3871612548828125,0.07336392209936
leave_drug_out,A549,GSK J1,1.0,2,0.2649593353271484,-0.5834330535576522
leave_drug_out,A549,UNC0631,1.0,2,0.3923664093017579,0.11086511005641997
leave_drug_out,A549,Obatoclax Mesylate (GX15-070),1.0,2,-0.0594768524169922,0.0
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,2,1.8043670654296875,0.0
leave_drug_out,A549,"Cerdulatinib (PRT062070, PRT2070)",1.0,2,0.047920227050781194,-0.24525074704458777
leave_drug_out,A549,Busulfan,1.0,2,0.5075244903564453,-0.1317527452285836
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,2,0.3347530364990234,-0.5072380780124418
leave_drug_out,A549,Selisistat (EX 527),1.0,3,2.4979705810546875,0.0437916596946511
leave_drug_out,A549,PHA-680632,1.0,3,0.014251708984375,-0.6138312989986647
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,3,0.159200668334961,0.0
leave_drug_out,A549,GSK1070916,1.0,3,0.44684028625488287,-0.29501171203952725
leave_drug_out,A549,Busulfan,1.0,3,0.7574386596679688,0.44990776155108136
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,3,-0.01422119140625,-0.020291865658804586
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,3,-0.024305343627929688,0.0
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,3,0.3992500305175781,-0.7542686714597937
leave_drug_out,A549,Epothilone A,1.0,3,-0.4292831420898437,-0.0812293224245256
leave_drug_out,A549,Resminostat,1.0,3,0.0,0.10656755991181172
leave_drug_out,A549,Decitabine,1.0,3,2.4357624053955083,-0.27676426825172457
leave_drug_out,A549,PD173074,1.0,3,0.06983947753906251,0.04407407950400381
leave_drug_out,A549,BMS-536924,1.0,3,0.1294689178466797,0.0597859752088475
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,3,0.0835609436035156,0.0
leave_drug_out,A549,Triamcinolone Acetonide,1.0,3,0.3805961608886719,0.0
leave_drug_out,A549,G007-LK,1.0,3,0.1576900482177735,0.2808815010511816
leave_drug_out,A549,Celecoxib,1.0,3,0.006641387939453097,0.0
