task,predictor,mean_cosine,dart_energy,delta_dart_energy_minus_mean
crossline,average_effect,0.9547266989484154,0.9386015886288104,-0.016125110319605063
crossline,nearest_neighbor,0.9953866219196432,0.9242413931644068,-0.07114522875523643
crossline,scgen,0.8190467907809618,0.8462447725106218,0.027197981729660037
