predictor,subpop_variance_ratio_mean,subpop_variance_ratio_std,split_half_stability_mean,split_half_stability_std,response_diversity_mean,response_diversity_std,isotropy_index_mean,isotropy_index_std,score_disagreement_mean,score_disagreement_std
average_effect,0.0090224835287614,0.0004475479155846,0.9765941837181648,0.0022641024684049,0.059747841303016,0.0022293492759671,0.9975963601929236,0.0002767900971371,0.6354166666666666,0.2226594518995839
nearest_neighbor,0.0090171101461546,0.0004486424699206,0.977029313792785,0.0029982347906054,0.0593460020790377,0.002325106439226,0.9975964554530666,0.0002767488362658,1.0,0.0
real,0.0462693149371692,0.0215231066387986,0.9846962630252044,0.0029086713367005,0.1575496053506318,0.0199082925862815,0.9593134491023132,0.0269692481340102,0.55625,0.4410458519413197
scgen_cpa_linear,0.0080414481559154,0.0002517593705692,0.9808009551465512,0.00196449784853,0.052794261490146,0.0020970660245985,0.9979610885309442,0.0001837456448681,1.0,0.0
