cell_line,drug,n_per_arm,A_sup,A_unsup
A-172,4EGI-1,300,0.9333333333333332,0.5933333333333334
A-172,9-ING-41,300,0.7983333333333333,0.525
A-172,APTO-253,300,0.7383333333333333,0.5333333333333333
A-172,AT7519,300,0.7583333333333333,0.5416666666666666
A-172,AZD-7648,300,0.84,0.5166666666666666
A-172,AZD-8055,300,0.895,0.5183333333333333
A-172,AZD1390,300,0.7816666666666666,0.5566666666666666
A-172,AZD2858,300,0.725,0.5216666666666666
A-172,Abemaciclib,300,0.945,0.6566666666666667
A-172,Adagrasib,300,0.6566666666666666,0.5716666666666667
A-172,Afatinib,300,0.9333333333333332,0.62
A-172,Alpelisib,300,0.8333333333333334,0.5583333333333333
A-172,Anastrozole,300,0.7183333333333334,0.5333333333333333
A-172,BAY1125976,300,0.9366666666666666,0.5016666666666667
A-172,BI-3406,300,0.9316666666666666,0.53
A-172,BI-78D3,300,0.7483333333333333,0.5383333333333333
A-172,Belumosudil (mesylate),300,0.8966666666666666,0.6383333333333333
A-172,Belzutifan,300,0.895,0.5316666666666667
A-172,Bentamapimod,300,0.875,0.57
A-172,Bimiralisib,300,0.97,0.845
A-172,Binimetinib,300,0.9566666666666668,0.66
A-172,Bortezomib,300,0.985,0.9833333333333332
A-172,Brivudine,300,0.9883333333333332,0.94
A-172,CP21R7,300,0.7433333333333333,0.5066666666666667
A-172,Capivasertib,300,0.75,0.5349999999999999
A-172,Capmatinib,300,0.8916666666666667,0.6483333333333333
A-172,Celecoxib,300,0.715,0.5416666666666667
A-172,DT-061,300,0.7833333333333333,0.5666666666666667
A-172,DTP3,300,0.845,0.52
A-172,Dabrafenib,300,0.8916666666666667,0.5116666666666667
A-172,ERK5-IN-2,300,0.9333333333333332,0.5616666666666666
A-172,ETC-206,300,0.7333333333333333,0.5066666666666666
A-172,EX229,300,0.9566666666666668,0.785
A-172,Elimusertib hydrochloride,300,0.9383333333333334,0.5800000000000001
A-172,Encorafenib,300,0.91,0.5449999999999999
A-172,Erdafitinib ,300,0.7783333333333333,0.5283333333333333
A-172,Everolimus,300,0.755,0.5366666666666666
A-172,Futibatinib,300,0.7933333333333333,0.6166666666666667
A-172,GSK1059615,300,0.9583333333333334,0.805
A-172,Gemcitabine,300,0.7216666666666667,0.5666666666666667
A-172,HI-TOPK-032,300,0.9583333333333334,0.7466666666666667
A-172,Hydroxyfasudil,300,0.795,0.6133333333333333
A-172,IQ 1,300,0.8283333333333334,0.5083333333333333
A-172,Infigratinib,300,0.8566666666666667,0.63
A-172,Ipatasertib,300,0.8766666666666667,0.6
A-172,Irinotecan,300,0.78,0.5733333333333334
A-172,Ixazomib,300,0.9616666666666668,0.9066666666666666
A-172,LB-100,300,0.7,0.5366666666666666
A-172,LJI308,300,0.8333333333333334,0.6616666666666666
A-172,LY-2584702 (tosylate salt),300,0.8366666666666667,0.6383333333333333
A-172,LY2090314,300,0.76,0.5716666666666667
A-172,Lapatinib ditosylate,300,0.7433333333333333,0.5333333333333333
A-172,Lonafarnib,211,0.9928909952606636,0.9597156398104264
A-172,MK-3903,300,0.8966666666666666,0.5133333333333333
A-172,MK-8353,300,0.7233333333333334,0.5116666666666667
A-172,ML264,300,0.8633333333333333,0.5283333333333333
A-172,Methylprednisolone succinate,300,0.725,0.5283333333333333
A-172,Minodronic acid,300,0.7616666666666667,0.5183333333333333
A-172,NG25,300,0.9666666666666668,0.7566666666666667
A-172,NVP-BHG712,300,0.8133333333333334,0.5033333333333334
A-172,OTS514,300,0.8133333333333334,0.6616666666666666
A-172,Oleic acid,300,0.7316666666666667,0.5116666666666667
A-172,Oxaliplatin,300,0.7416666666666667,0.5283333333333333
A-172,PF-06260933,300,0.8966666666666666,0.5083333333333333
A-172,PH-797804,300,0.995,0.9533333333333334
A-172,Paclitaxel,300,0.865,0.5666666666666667
A-172,Pemigatinib,300,0.7283333333333334,0.5166666666666667
A-172,Pimitespib,300,0.7166666666666667,0.5116666666666667
A-172,Pralsetinib,300,0.935,0.7150000000000001
A-172,RMC-6236,300,0.9716666666666668,0.9183333333333332
A-172,Ralimetinib dimesylate,300,0.8366666666666667,0.5483333333333333
A-172,Regorafenib,300,0.8183333333333334,0.57
A-172,SBI-0640756,300,0.77,0.6483333333333333
A-172,Sapanisertib,300,0.9483333333333334,0.6166666666666667
A-172,Sonidegib,300,0.8733333333333333,0.6516666666666666
A-172,TAK-733,300,0.945,0.5183333333333333
A-172,TAK-901,300,0.99,0.9833333333333332
A-172,Temuterkib,300,0.795,0.5133333333333333
A-172,Tomivosertib,300,0.7716666666666666,0.6583333333333333
A-172,Torkinib,300,0.7316666666666667,0.5816666666666667
A-172,Trametinib,300,0.9816666666666668,0.8683333333333333
A-172,Tubulin inhibitor 6,300,0.7366666666666667,0.515
A-172,Tucatinib,300,0.7283333333333334,0.5216666666666666
A-172,ULK-101,300,0.785,0.54
A-172,Vemurafenib,300,0.775,0.5166666666666666
A-172,Volasertib,300,0.7283333333333334,0.5466666666666666
A-172,XRK3F2,300,0.8533333333333334,0.505
A-172,c-Kit-IN-1,300,0.9416666666666668,0.6433333333333333
A-172,olaparib,300,0.8783333333333333,0.5683333333333334
A-172,palbociclib,300,0.8833333333333333,0.53
A-172,venetoclax,300,0.95,0.8316666666666667
A-172,vincristine,300,0.9283333333333332,0.52
A-427,4EGI-1,300,0.76,0.6283333333333333
A-427,9-ING-41,300,0.825,0.6
A-427,APTO-253,300,0.6483333333333333,0.52
A-427,AT7519,300,0.6616666666666666,0.5016666666666667
A-427,AZD-7648,300,0.8783333333333333,0.525
A-427,AZD-8055,300,0.8033333333333333,0.6316666666666666
A-427,AZD1390,300,0.7883333333333333,0.5133333333333333
A-427,AZD2858,241,0.6410788381742739,0.5
A-427,Abemaciclib,300,0.88,0.61
A-427,Adagrasib,300,0.5716666666666667,0.5716666666666667
A-427,Afatinib,300,0.95,0.7783333333333333
A-427,Alpelisib,300,0.8133333333333334,0.6133333333333333
A-427,Anastrozole,300,0.6716666666666666,0.5466666666666666
A-427,BAY1125976,300,0.8983333333333333,0.7366666666666667
A-427,BI-3406,300,0.92,0.7016666666666667
A-427,BI-78D3,300,0.745,0.5233333333333333
A-427,Belumosudil (mesylate),300,0.8066666666666666,0.5433333333333333
A-427,Belzutifan,300,0.8083333333333333,0.6016666666666667
A-427,Bentamapimod,300,0.7466666666666667,0.5683333333333334
A-427,Bimiralisib,300,0.9833333333333332,0.8833333333333333
A-427,Binimetinib,300,0.9516666666666668,0.695
A-427,Brivudine,300,0.9616666666666668,0.8616666666666667
A-427,CP21R7,300,0.69,0.53
A-427,Capivasertib,300,0.64,0.5066666666666667
A-427,Capmatinib,300,0.935,0.5983333333333334
A-427,Celecoxib,300,0.6166666666666667,0.5166666666666666
A-427,DT-061,300,0.76,0.52
A-427,DTP3,300,0.7383333333333333,0.5816666666666667
A-427,Dabrafenib,300,0.8883333333333333,0.6366666666666667
A-427,ERK5-IN-2,300,0.86,0.5316666666666667
A-427,ETC-206,300,0.655,0.5066666666666667
A-427,EX229,300,0.88,0.5083333333333333
