N,scorer,hit@1
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,0.0
120,coverage_worst,0.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,1.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,0.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,0.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,0.0
120,mean_cosine,0.0
120,global_energy,1.0
120,coverage_mean,1.0
120,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,0.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,0.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,0.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,0.0
240,mean_cosine,1.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
240,mean_cosine,0.0
240,global_energy,1.0
240,coverage_mean,1.0
240,coverage_worst,1.0
