cell_line,seed,query_drug,query_moa,dart_pick,mean_pick,picks_differ,dart_tanimoto,dart_ntargets,dart_target_jaccard,dart_moa_match,mean_tanimoto,mean_ntargets,mean_target_jaccard,mean_moa_match,dart_welfare,mean_welfare,dart_regret,mean_regret,regret_advantage
MCF7,42,Pelitinib (EKB-569),Protein Tyrosine Kinase,Bosutinib (SKI-606),Bosutinib (SKI-606),0,0.34375,172,0.011627906976744186,0,0.34375,172,0.011627906976744186,0,0.17688332498073578,0.17688332498073578,0.06568314135074615,0.06568314135074615,0.0
MCF7,42,Pirarubicin,DNA Damage,"Tozasertib (VX-680, MK-0457)","Tozasertib (VX-680, MK-0457)",0,0.0859375,3,0.0,0,0.0859375,3,0.0,0,0.12248699367046356,0.12248699367046356,0.13002856075763702,0.13002856075763702,0.0
MCF7,42,Pracinostat (SB939),Cytoskeletal Signaling,Givinostat (ITF2357),Dacinostat (LAQ824),1,0.2222222238779068,1,0.0,1,0.30000001192092896,1,0.0,0,0.9652073979377747,0.9597165584564209,0.0,0.00549083948135376,0.00549083948135376
MCF7,42,Quercetin,Epigenetics,Nilotinib (AMN-107),SNS-314,1,0.07216494530439377,63,0.07453416149068323,0,0.095238097012043,3,0.008928571428571428,0,0.0936809703707695,0.27533775568008423,0.20640043169260025,0.024743646383285522,-0.18165678530931473
MCF7,42,Quisinostat (JNJ-26481585) 2HCl,Epigenetics,Panobinostat (LBH589),Trichostatin A (TSA),1,0.2142857164144516,10,0.75,1,0.15000000596046448,1,0.0,0,0.9607466459274292,0.9566683173179626,0.005643963813781738,0.009722292423248291,0.004078328609466553
MCF7,42,RG108,Epigenetics,S3I-201,Tanespimycin (17-AAG),1,0.15492957830429077,1,0.0,0,0.07339449226856232,2,0.0,0,-0.11771468073129654,-0.10334464907646179,0.17280080169439316,0.1584307700395584,-0.014370031654834747
MCF7,42,Raltitrexed,DNA Damage,Carmofur,Carmofur,0,0.13793103396892548,3,0.0,1,0.13793103396892548,3,0.0,1,-0.0603964701294899,-0.0603964701294899,0.2674868628382683,0.2674868628382683,0.0
MCF7,42,Ramelteon,GPCR & G Protein,Sirtinol,Fulvestrant,1,0.10975609719753265,1,0.0,0,0.13978494703769684,6,0.0,0,-0.09184850752353668,-0.07726095616817474,0.11315960064530373,0.09857204928994179,-0.014587551355361938
MCF7,42,Regorafenib (BAY 73-4506),Protein Tyrosine Kinase,Sorafenib Tosylate,Sorafenib Tosylate,0,0.6901408433914185,9,0.5833333333333334,0,0.6901408433914185,9,0.5833333333333334,0,0.35427385568618774,0.35427385568618774,0.05224132537841797,0.05224132537841797,0.0
MCF7,42,Resminostat,Epigenetics,M344,M344,0,0.19402985274791718,1,0.0,0,0.19402985274791718,1,0.0,0,0.8699719905853271,0.8699719905853271,0.0,0.0,0.0
MCF7,42,Resveratrol,Epigenetics,Andarine,Quercetin,1,0.095238097012043,1,0.0,0,0.17777778208255768,87,0.0,1,0.07408248633146286,-0.424548864364624,0.0,0.4986313506960869,0.4986313506960869
MCF7,42,Rigosertib (ON-01910),Cell Cycle,Epothilone A,Obatoclax Mesylate (GX15-070),1,0.057692307978868484,1,0.0,0,0.1071428582072258,1,0.0,0,0.43377673625946045,0.46489548683166504,0.03111875057220459,0.0,-0.03111875057220459
MCF7,42,"Roscovitine (Seliciclib,CYC202)",Cell Cycle,AG-14361,Momelotinib (CYT387),1,0.1149425283074379,1,0.0,0,0.12903225421905518,2,0.0,0,0.36768877506256104,0.30266982316970825,0.0,0.06501895189285278,0.06501895189285278
MCF7,42,Roxadustat (FG-4592),Angiogenesis,BMS-911543,Aurora A Inhibitor I,1,0.1538461595773697,1,0.0,0,0.14432989060878754,1,0.0,0,-0.3974854052066803,-0.24545347690582275,0.526421844959259,0.3743899166584015,-0.15203192830085754
MCF7,42,"Rucaparib (AG-014699,PF-01367338) phosphate",DNA Damage,S3I-201,Cyclocytidine HCl,1,0.1111111119389534,1,0.0,0,0.04878048598766327,1,0.0,1,-0.1581989824771881,0.08577834069728851,0.2563386857509613,0.01236136257648468,-0.24397732317447662
MCF7,42,Ruxolitinib (INCB018424),JAK/STAT,UNC1999,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1,0.1376146823167801,1,0.0,0,0.09890110045671463,1,0.0,0,0.19603005051612854,-0.41918450593948364,0.006442755460739136,0.6216573119163513,0.6152145564556122
MCF7,42,S-Ruxolitinib (INCB018424),JAK/STAT,IOX2,BMS-536924,1,0.10843373835086823,1,0.0,0,0.1320754736661911,1,0.0,0,-0.016364268958568573,0.055784448981285095,0.16732672601938248,0.09517800807952881,-0.07214871793985367
MCF7,42,S3I-201,JAK/STAT,PD98059,"Tozasertib (VX-680, MK-0457)",1,0.09459459781646729,1,0.0,0,0.18390804529190063,3,0.0,0,-0.10992910712957382,-0.3603712022304535,0.20294473320245743,0.4533868283033371,0.25044209510087967
MCF7,42,SB431542,TGF-beta/Smad,Tie2 kinase inhibitor,Tie2 kinase inhibitor,0,0.25974026322364807,1,0.0,0,0.25974026322364807,1,0.0,0,0.34319382905960083,0.34319382905960083,0.0,0.0,0.0
MCF7,42,SGI-1776 free base,JAK/STAT,NVP-BSK805 2HCl,NVP-BSK805 2HCl,0,0.17475728690624237,1,0.0,1,0.17475728690624237,1,0.0,1,0.3893818259239197,0.3893818259239197,0.0,0.0,0.0
MCF7,42,SL-327,MAPK,WHI-P154,Trametinib (GSK1120212),1,0.06849315017461777,1,0.0,0,0.06185567006468773,3,0.0,1,0.3570900857448578,0.029621092602610588,0.0,0.3274689931422472,0.3274689931422472
MCF7,42,SNS-314,Cell Cycle,JNJ-26854165 (Serdemetan),Sorafenib Tosylate,1,0.1428571492433548,2,0.0,0,0.18627451360225677,9,0.0,0,0.2874237298965454,0.3143996000289917,0.07959339022636414,0.05261752009391785,-0.02697587013244629
MCF7,42,SRT1720 HCl,Epigenetics,Decitabine,SGI-1776 free base,1,0.14772726595401764,2,0.0,1,0.14423076808452606,3,0.0,0,-0.0805344358086586,-0.1910030096769333,0.18218465149402618,0.2926532253623009,0.11046857386827469
MCF7,42,SRT2104 (GSK2245840),DNA Damage,Tazemetostat (EPZ-6438),SL-327,1,0.21551723778247833,3,0.0,0,0.05882352963089943,1,0.0,0,-0.12113938480615616,0.09311162680387497,0.2722500339150429,0.05799902230501175,-0.21425101161003113
MCF7,42,SRT3025 HCl,DNA Damage,Divalproex Sodium,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1,0.06976744532585144,1,0.0,0,0.12264151126146317,1,0.0,0,-0.33749228715896606,-0.4125446081161499,0.4229676276445389,0.4980199486017227,0.07505232095718384
