seed,heldout_drug,method,selected_drug,regret_energy_welfare,regret_cosine_welfare,oracle_energy,oracle_cosine,selected_energy_welfare,selected_cosine_welfare
0,(+)-JQ1,mean_cosine,YM155 (Sepantronium Bromide),1.6562843322753906,0.4190482124686241,-0.8301315307617188,0.31628987193107605,-2.4864158630371094,-0.10275834053754807
0,(+)-JQ1,DART_energy,PFI-1 (PF-6405761),0.16114234924316406,0.03248715400695801,-0.8301315307617188,0.31628987193107605,-0.9912738800048828,0.28380271792411804
0,2-Methoxyestradiol (2-MeOE2),mean_cosine,Epothilone A,0.7898178100585938,0.27908630669116974,-0.6957931518554688,0.11930525302886963,-1.4856109619140625,-0.1597810536623001
0,2-Methoxyestradiol (2-MeOE2),DART_energy,ITSA-1 (ITSA1),0.17353439331054688,0.12249885755591094,-0.6957931518554688,0.11930525302886963,-0.8693275451660156,-0.003193604527041316
0,A-366,mean_cosine,UNC0631,0.10836219787597656,0.014460496604442596,-0.7025299072265625,0.07401460409164429,-0.8108921051025391,0.05955410748720169
0,A-366,DART_energy,AG-490 (Tyrphostin B42),0.07083702087402344,0.20949296653270721,-0.7025299072265625,0.07401460409164429,-0.7733669281005859,-0.13547836244106293
0,ABT-737,mean_cosine,Bosutinib (SKI-606),0.3152351379394531,0.18052858859300613,-0.6354389190673828,0.08397771418094635,-0.9506740570068359,-0.09655087441205978
0,ABT-737,DART_energy,Bosutinib (SKI-606),0.3152351379394531,0.18052858859300613,-0.6354389190673828,0.08397771418094635,-0.9506740570068359,-0.09655087441205978
0,AC480 (BMS-599626),mean_cosine,Trametinib (GSK1120212),1.089498519897461,0.18411724269390106,-0.6785984039306641,0.13836953043937683,-1.768096923828125,-0.04574771225452423
0,AC480 (BMS-599626),DART_energy,PF-573228,0.12096214294433594,0.34134359657764435,-0.6785984039306641,0.13836953043937683,-0.799560546875,-0.20297406613826752
0,AG-14361,mean_cosine,UNC0379,0.5525760650634766,0.5161016285419464,-0.6184959411621094,0.1631445288658142,-1.171072006225586,-0.3529570996761322
0,AG-14361,DART_energy,FLLL32,0.10687446594238281,0.14479224756360054,-0.6184959411621094,0.1631445288658142,-0.7253704071044922,0.01835228130221367
0,AG-490 (Tyrphostin B42),mean_cosine,(+)-JQ1,0.16094207763671875,0.41090304404497147,-0.780670166015625,0.08501902967691422,-0.9416122436523438,-0.32588401436805725
0,AG-490 (Tyrphostin B42),DART_energy,INO-1001 (3-Aminobenzamide),0.15816307067871094,0.26348594576120377,-0.780670166015625,0.08501902967691422,-0.9388332366943359,-0.17846691608428955
0,AICAR (Acadesine),mean_cosine,G007-LK,0.08469963073730469,0.16343551874160767,-0.7836036682128906,0.07202354818582535,-0.8683032989501953,-0.09141197055578232
0,AICAR (Acadesine),DART_energy,Altretamine,0.194000244140625,0.015403658151626587,-0.7836036682128906,0.07202354818582535,-0.9776039123535156,0.05661989003419876
0,AMG-900,mean_cosine,Alisertib (MLN8237),0.3965873718261719,0.26832572370767593,-0.8554306030273438,0.24653775990009308,-1.2520179748535156,-0.021787963807582855
0,AMG-900,DART_energy,SNS-314,0.39621543884277344,0.3769827038049698,-0.8554306030273438,0.24653775990009308,-1.2516460418701172,-0.1304449439048767
0,AR-42,mean_cosine,Dacinostat (LAQ824),0.0,0.08685392141342163,-1.7073001861572266,0.7495391368865967,-1.7073001861572266,0.662685215473175
0,AR-42,DART_energy,Abexinostat (PCI-24781),1.2990875244140625,0.0,-1.7073001861572266,0.7495391368865967,-3.006387710571289,0.7495391368865967
0,AT9283,mean_cosine,MLN8054,0.3514518737792969,0.3981715738773346,-0.8458347320556641,0.15210214257240295,-1.197286605834961,-0.24606943130493164
0,AT9283,DART_energy,MLN8054,0.3514518737792969,0.3981715738773346,-0.8458347320556641,0.15210214257240295,-1.197286605834961,-0.24606943130493164
0,AZ 960,mean_cosine,"Tozasertib (VX-680, MK-0457)",0.43625640869140625,0.5875711739063263,-0.7708415985107422,0.2072807252407074,-1.2070980072021484,-0.3802904486656189
0,AZ 960,DART_energy,JNJ-7706621,0.04275321960449219,0.12006537616252899,-0.7708415985107422,0.2072807252407074,-0.8135948181152344,0.0872153490781784
0,AZD1480,mean_cosine,GSK1070916,0.6239261627197266,0.47655725479125977,-0.6995010375976562,0.185987651348114,-1.3234272003173828,-0.29056960344314575
0,AZD1480,DART_energy,Carmofur,0.07807731628417969,0.09973973035812378,-0.6995010375976562,0.185987651348114,-0.7775783538818359,0.08624792098999023
0,Abexinostat (PCI-24781),mean_cosine,AR-42,0.0,0.11652505397796631,-1.5774574279785156,0.8058763146400452,-1.5774574279785156,0.6893512606620789
0,Abexinostat (PCI-24781),DART_energy,Pracinostat (SB939),0.7256488800048828,0.06655502319335938,-1.5774574279785156,0.8058763146400452,-2.3031063079833984,0.7393212914466858
0,Alendronate sodium trihydrate,mean_cosine,Momelotinib (CYT387),0.2648448944091797,0.12977362424135208,-0.8008289337158203,0.18736161291599274,-1.065673828125,0.057587988674640656
0,Alendronate sodium trihydrate,DART_energy,AG-14361,0.178436279296875,0.15013427659869194,-0.8008289337158203,0.18736161291599274,-0.9792652130126953,0.037227336317300797
1,(+)-JQ1,mean_cosine,PFI-1 (PF-6405761),0.016620635986328125,0.13931788504123688,-0.8619480133056641,0.3126971125602722,-0.8785686492919922,0.17337922751903534
1,(+)-JQ1,DART_energy,PFI-1 (PF-6405761),0.016620635986328125,0.13931788504123688,-0.8619480133056641,0.3126971125602722,-0.8785686492919922,0.17337922751903534
1,2-Methoxyestradiol (2-MeOE2),mean_cosine,AZ 960,0.043243408203125,0.01939438283443451,-0.6694793701171875,0.1908881813287735,-0.7127227783203125,0.171493798494339
1,2-Methoxyestradiol (2-MeOE2),DART_energy,AG-14361,0.11291122436523438,0.07898537814617157,-0.6694793701171875,0.1908881813287735,-0.7823905944824219,0.11190280318260193
1,A-366,mean_cosine,YM155 (Sepantronium Bromide),2.462839126586914,0.6153749376535416,-0.6619606018066406,0.09937067329883575,-3.1247997283935547,-0.5160042643547058
1,A-366,DART_energy,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.191741943359375,0.4383125752210617,-0.6619606018066406,0.09937067329883575,-0.8537025451660156,-0.33894190192222595
1,ABT-737,mean_cosine,Rigosertib (ON-01910),0.039707183837890625,0.13041206449270248,-0.6593723297119141,0.11755644530057907,-0.6990795135498047,-0.012855619192123413
1,ABT-737,DART_energy,Andarine,0.013910293579101562,0.0019342675805091858,-0.6593723297119141,0.11755644530057907,-0.6732826232910156,0.11562217772006989
1,AC480 (BMS-599626),mean_cosine,Dasatinib,0.14604949951171875,0.0,-0.6506328582763672,0.104703888297081,-0.7966823577880859,0.104703888297081
1,AC480 (BMS-599626),DART_energy,IOX2,0.10737228393554688,0.12525548413395882,-0.6506328582763672,0.104703888297081,-0.7580051422119141,-0.020551595836877823
1,AG-14361,mean_cosine,BMS-754807,0.29450416564941406,0.17838141694664955,-0.6551418304443359,0.14454855024814606,-0.94964599609375,-0.033832866698503494
1,AG-14361,DART_energy,GSK J1,0.13874435424804688,0.07759220898151398,-0.6551418304443359,0.14454855024814606,-0.7938861846923828,0.06695634126663208
1,AG-490 (Tyrphostin B42),mean_cosine,INO-1001 (3-Aminobenzamide),0.33112144470214844,0.36745312809944153,-0.5847740173339844,0.09290662407875061,-0.9158954620361328,-0.2745465040206909
1,AG-490 (Tyrphostin B42),DART_energy,PJ34,0.03368949890136719,0.13253166899085045,-0.5847740173339844,0.09290662407875061,-0.6184635162353516,-0.03962504491209984
1,AICAR (Acadesine),mean_cosine,Droxinostat,0.1727123260498047,0.0,-0.7362499237060547,0.11803610622882843,-0.9089622497558594,0.11803610622882843
1,AICAR (Acadesine),DART_energy,Droxinostat,0.1727123260498047,0.0,-0.7362499237060547,0.11803610622882843,-0.9089622497558594,0.11803610622882843
1,AMG-900,mean_cosine,Barasertib (AZD1152-HQPA),0.046337127685546875,0.2104618102312088,-0.7863788604736328,0.3740186393260956,-0.8327159881591797,0.16355682909488678
1,AMG-900,DART_energy,Barasertib (AZD1152-HQPA),0.046337127685546875,0.2104618102312088,-0.7863788604736328,0.3740186393260956,-0.8327159881591797,0.16355682909488678
1,AR-42,mean_cosine,Dacinostat (LAQ824),0.0,0.1374712586402893,-1.929006576538086,0.7582072019577026,-1.929006576538086,0.6207359433174133
1,AR-42,DART_energy,Pracinostat (SB939),1.1936721801757812,0.021938681602478027,-1.929006576538086,0.7582072019577026,-3.122678756713867,0.7362685203552246
1,AT9283,mean_cosine,MLN8054,0.0,0.33735548704862595,-0.8118457794189453,0.21815496683120728,-0.8118457794189453,-0.11920052021741867
1,AT9283,DART_energy,MLN8054,0.0,0.33735548704862595,-0.8118457794189453,0.21815496683120728,-0.8118457794189453,-0.11920052021741867
1,AZ 960,mean_cosine,Barasertib (AZD1152-HQPA),0.7101345062255859,0.6806501895189285,-0.7048091888427734,0.17036433517932892,-1.4149436950683594,-0.5102858543395996
1,AZ 960,DART_energy,2-Methoxyestradiol (2-MeOE2),0.05563545227050781,0.23134572058916092,-0.7048091888427734,0.17036433517932892,-0.7604446411132812,-0.060981385409832
1,AZD1480,mean_cosine,Barasertib (AZD1152-HQPA),0.2025604248046875,0.3991028368473053,-0.7249431610107422,0.18651144206523895,-0.9275035858154297,-0.21259139478206635
1,AZD1480,DART_energy,"Tozasertib (VX-680, MK-0457)",0.23909950256347656,0.2405850775539875,-0.7249431610107422,0.18651144206523895,-0.9640426635742188,-0.05407363548874855
1,Abexinostat (PCI-24781),mean_cosine,Pracinostat (SB939),0.5852680206298828,0.07680433988571167,-1.8199691772460938,0.7884271144866943,-2.4052371978759766,0.7116227746009827
1,Abexinostat (PCI-24781),DART_energy,Pracinostat (SB939),0.5852680206298828,0.07680433988571167,-1.8199691772460938,0.7884271144866943,-2.4052371978759766,0.7116227746009827
1,Alendronate sodium trihydrate,mean_cosine,Azacitidine,0.30220985412597656,0.24804671108722687,-0.6997432708740234,0.07722720503807068,-1.001953125,-0.1708195060491562
1,Alendronate sodium trihydrate,DART_energy,AG-14361,0.08536911010742188,0.07867947511840612,-0.6997432708740234,0.07722720503807068,-0.7851123809814453,-0.0014522700803354383
