cell_line,query_drug,query_auc,query_ic50,n_candidates,dart_top1_drug,dart_top1_auc,mean_top1_drug,mean_top1_auc,most_potent_drug,most_potent_auc,dart_spearman_rho,dart_spearman_p,mean_spearman_rho,mean_spearman_p,dart_hit1,mean_hit1,dart_hit3,mean_hit3
MCF7,CUDC-101,0.911969,2.129716,50,Panobinostat (LBH589),0.360481,AZD1480,0.823823,Trichostatin A (TSA),0.328131,0.3574069627851141,0.010830978181957818,-0.3522208883553421,0.012122973568062646,0,0,0,0
MCF7,Cediranib (AZD2171),0.920564,3.747169,50,Panobinostat (LBH589),0.360481,AZD1480,0.823823,Trichostatin A (TSA),0.328131,0.5042496998799519,0.00018870730218304923,-0.49320528211284514,0.0002735459357282617,0,0,0,0
MCF7,Crizotinib (PF-02341066),0.946725,3.984103,50,Panobinostat (LBH589),0.360481,Ruxolitinib (INCB018424),0.970127,Trichostatin A (TSA),0.328131,0.4796638655462185,0.00042404756848322814,-0.4776470588235293,0.0004519619536217165,0,0,0,0
MCF7,Dacinostat (LAQ824),0.348357,-3.727426,50,Trametinib (GSK1120212),0.979691,Panobinostat (LBH589),0.360481,Trichostatin A (TSA),0.328131,-0.3655702280912365,0.009037392169429366,0.36076830732292914,0.010058418539972028,0,0,0,1
MCF7,Dasatinib,0.983128,4.730117,50,Panobinostat (LBH589),0.360481,Bosutinib (SKI-606),0.977086,Trichostatin A (TSA),0.328131,0.5151980792316927,0.0001289524777421834,-0.5312364945978392,7.207583168407738e-05,0,0,0,0
MCF7,Entinostat (MS-275),0.93085,3.625943,50,Panobinostat (LBH589),0.360481,CUDC-101,0.911969,Trichostatin A (TSA),0.328131,0.30084033613445377,0.03376144920578215,-0.36509003601440576,0.0091352922220181,0,0,0,0
MCF7,Enzastaurin (LY317615),0.969649,4.627988,50,Panobinostat (LBH589),0.360481,Lenalidomide (CC-5013),0.98008,Trichostatin A (TSA),0.328131,0.5119327731092437,0.00014465575532045862,-0.5130852340936374,0.00013892473191656692,0,0,0,0
MCF7,"Fedratinib (SAR302503, TG101348)",0.985682,4.897841,50,Panobinostat (LBH589),0.360481,PFI-1 (PF-6405761),0.902744,Trichostatin A (TSA),0.328131,0.4077310924369748,0.003292082880304454,-0.41944777911164466,0.0024285216859734433,0,0,0,0
MCF7,Flavopiridol HCl,0.444326,-2.186185,50,Panobinostat (LBH589),0.360481,"Fedratinib (SAR302503, TG101348)",0.985682,Trichostatin A (TSA),0.328131,0.33368547418967587,0.017877245270011433,-0.47092436974789914,0.0005574093820272636,0,0,0,0
MCF7,"Fluorouracil (5-Fluoracil, 5-FU)",0.860799,3.627995,50,Panobinostat (LBH589),0.360481,PD173074,0.983312,Trichostatin A (TSA),0.328131,0.539015606242497,5.3776876044541605e-05,-0.5257623049219687,8.819590948491698e-05,0,0,0,0
MCF7,Fulvestrant,0.815628,-0.33635,50,Panobinostat (LBH589),0.360481,"Temsirolimus (CCI-779, NSC 683864)",0.835436,Trichostatin A (TSA),0.328131,0.07860744297719087,0.5873910280279693,-0.07361344537815126,0.6114180800534643,0,0,0,0
MCF7,GSK-LSD1 2HCl,0.971199,3.278646,50,Panobinostat (LBH589),0.360481,"Fluorouracil (5-Fluoracil, 5-FU)",0.860799,Trichostatin A (TSA),0.328131,0.501656662665066,0.0002061291827451069,-0.5181752701080432,0.00011600683835709735,0,0,0,0
MCF7,GSK1070916,0.978619,4.227585,50,Panobinostat (LBH589),0.360481,Alisertib (MLN8237),0.945417,Trichostatin A (TSA),0.328131,0.3958223289315726,0.004436767080033495,-0.37719087635054016,0.006929397634675646,0,0,0,0
MCF7,IOX2,0.984007,0.150997,50,Panobinostat (LBH589),0.360481,Selisistat (EX 527),0.980926,Trichostatin A (TSA),0.328131,0.5047298919567826,0.0001856320550817114,-0.5251860744297718,9.007172159452561e-05,0,0,0,0
MCF7,Lenalidomide (CC-5013),0.98008,6.211602,50,Panobinostat (LBH589),0.360481,"Fluorouracil (5-Fluoracil, 5-FU)",0.860799,Trichostatin A (TSA),0.328131,0.487250900360144,0.00033244333481741346,-0.48312124849939975,0.0003797978933518083,0,0,0,0
MCF7,Linifanib (ABT-869),0.980808,2.281546,50,Panobinostat (LBH589),0.360481,Lenalidomide (CC-5013),0.98008,Trichostatin A (TSA),0.328131,0.4777430972388956,0.0004505959566448169,-0.4651620648259303,0.0006649186354729817,0,0,0,0
MCF7,"Luminespib (AUY-922, NVP-AUY922)",0.717916,-2.268572,50,Panobinostat (LBH589),0.360481,Tanespimycin (17-AAG),0.822561,Trichostatin A (TSA),0.328131,0.31073229291716686,0.02806898334038361,-0.30929171668667466,0.028844388706608756,0,0,0,0
MCF7,Navitoclax (ABT-263),0.859172,2.138467,50,Panobinostat (LBH589),0.360481,"Fluorouracil (5-Fluoracil, 5-FU)",0.860799,Trichostatin A (TSA),0.328131,0.45478991596638657,0.0009063790517315833,-0.4530612244897959,0.0009535105649170025,0,0,0,0
MCF7,Nilotinib (AMN-107),0.876889,2.442312,50,Panobinostat (LBH589),0.360481,ABT-737,0.894256,Trichostatin A (TSA),0.328131,0.5242256902761104,9.32792933366516e-05,-0.5021368547418967,0.00020279657094090327,0,0,0,0
MCF7,Obatoclax Mesylate (GX15-070),0.693005,0.606982,50,Panobinostat (LBH589),0.360481,Sorafenib Tosylate,0.805326,Trichostatin A (TSA),0.328131,0.3972629051620648,0.004281896731736636,-0.3663385354141656,0.008882638382163736,0,0,0,0
MCF7,PCI-34051,0.97438,5.78268,50,Panobinostat (LBH589),0.360481,PD173074,0.983312,Trichostatin A (TSA),0.328131,0.41080432172869147,0.003042735443279877,-0.4138775510204082,0.002810213235623615,0,0,0,0
MCF7,PD173074,0.983312,6.172561,50,Panobinostat (LBH589),0.360481,"Fluorouracil (5-Fluoracil, 5-FU)",0.860799,Trichostatin A (TSA),0.328131,0.5079951980792317,0.00016590069484325533,-0.48830732292917167,0.00032122175104880405,0,0,0,0
MCF7,PFI-1 (PF-6405761),0.902744,3.350785,50,Panobinostat (LBH589),0.360481,"Fedratinib (SAR302503, TG101348)",0.985682,Trichostatin A (TSA),0.328131,0.41589435774309724,0.002666293103150788,-0.5040576230492196,0.00018995032389713024,0,0,0,0
MCF7,Panobinostat (LBH589),0.360481,-3.64655,50,Trametinib (GSK1120212),0.979691,Dacinostat (LAQ824),0.348357,Trichostatin A (TSA),0.328131,-0.35433373349339736,0.011581469640938988,0.3649939975990396,0.009154981831268174,0,0,0,1
MCF7,Pelitinib (EKB-569),0.991682,4.060673,50,Panobinostat (LBH589),0.360481,Cediranib (AZD2171),0.920564,Trichostatin A (TSA),0.328131,0.384969987995198,0.0057699967853067,-0.37363745498199274,0.00752315773518049,0,0,0,0
MCF7,"Rucaparib (AG-014699,PF-01367338) phosphate",0.972229,4.950938,50,Panobinostat (LBH589),0.360481,Lenalidomide (CC-5013),0.98008,Trichostatin A (TSA),0.328131,0.546890756302521,3.968272553700392e-05,-0.5610084033613445,2.2568774351693662e-05,0,0,0,0
MCF7,Ruxolitinib (INCB018424),0.970127,5.518054,50,Panobinostat (LBH589),0.360481,IOX2,0.984007,Trichostatin A (TSA),0.328131,0.5078031212484994,0.00016700625352794514,-0.507515006002401,0.00016867717306603505,0,0,0,0
MCF7,Selisistat (EX 527),0.980926,5.260233,50,Panobinostat (LBH589),0.360481,IOX2,0.984007,Trichostatin A (TSA),0.328131,0.510876350540216,0.00015009762389450206,-0.5326770708283313,6.830774080989008e-05,0,0,0,0
MCF7,Sorafenib Tosylate,0.805326,1.82766,50,Panobinostat (LBH589),0.360481,Navitoclax (ABT-263),0.859172,Trichostatin A (TSA),0.328131,0.44729891956782714,0.001126900326202505,-0.4493157262905162,0.0010632444371373017,0,0,0,0
