separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
1.0,100,0,200,0.1181968894439145,0.675,2,0.10472911741081188,0.665,2,0.07618905855006777,0.675,4,0.0,0.5,0,0.67,0.7146,0.11114051603623405,0.635,0.6848000000000001,0.06856061581367265,0.605,0.6588999999999999,0.03931152311445845,0.67,0.7146,0.11114051603623405
1.0,100,1,200,0.17230060036037784,0.71,2,0.13257639460203902,0.685,2,0.10478007753119914,0.73,5,0.0,0.5,0,0.7,0.7812,0.155866716222549,0.705,0.7585500000000001,0.16420620892610752,0.64,0.70405,0.0737622952309958,0.705,0.7812,0.16420620892610752
1.0,100,2,200,0.039284352470297094,0.605,2,0.052934153992837074,0.62,2,0.06981228306799656,0.675,5,0.0,0.5,0,0.64,0.7115,0.0738651972270252,0.625,0.6943,0.057803695909409765,0.545,0.6737,0.004297818655256933,0.64,0.7115,0.0738651972270252
1.0,100,3,200,0.06298366424333753,0.63,2,0.06295905752308922,0.63,2,0.06880871656727956,0.665,4,-0.0016166062958953922,0.52,2,0.64,0.7078,0.0737622952309958,0.61,0.6808,0.04362485253001923,0.61,0.6527499999999999,0.04402847190670907,0.64,0.7078,0.0737622952309958
1.0,100,4,200,0.07967922296094658,0.645,2,0.14052328492739108,0.69,2,0.08611729318739414,0.69,5,0.0,0.5,0,0.665,0.717,0.10442165825189174,0.62,0.68305,0.052934153992837074,0.665,0.7059,0.10443613165320005,0.665,0.717,0.10443613165320005
1.0,100,5,200,0.09159036240714583,0.655,2,0.11139183752605303,0.67,2,0.0539383089011732,0.65,5,0.0,0.5,0,0.665,0.7043,0.10443613165320005,0.635,0.6809499999999999,0.06846655615747106,0.615,0.6476,0.04852080505199559,0.665,0.7043,0.10443613165320005
1.0,100,6,200,0.09163807143127675,0.655,2,-0.00018503285338760964,0.51,2,0.05928166382223194,0.66,4,0.0,0.5,0,0.68,0.7560999999999999,0.12521110940517652,0.645,0.72745,0.07949702254843188,0.645,0.6858,0.07957883573836307,0.68,0.7560999999999999,0.12521110940517652
1.0,100,7,200,0.04360166786531018,0.61,2,0.027530812571084567,0.59,2,0.09127633711507294,0.695,5,0.004379994797243749,0.55,2,0.715,0.7174,0.18096575459708217,0.68,0.72905,0.1253171307144127,0.525,0.6224500000000001,-0.0010085601543097036,0.715,0.72905,0.18096575459708217
1.0,100,8,200,0.19854062961292698,0.725,2,0.0006031942149653491,0.515,2,0.1160041855301545,0.715,4,0.0,0.5,0,0.745,0.8198000000000001,0.23629336375633117,0.74,0.79435,0.22656938081270858,0.545,0.6389,0.003356678947897254,0.745,0.8198000000000001,0.23629336375633117
1.0,100,9,200,0.031271447986218746,0.595,2,0.024019607595569606,0.585,2,0.02665917529060718,0.615,4,0.0006352410563352943,0.535,2,0.66,0.6974,0.09787395657408829,0.63,0.6538999999999999,0.06331667423898228,0.61,0.65215,0.04402847190670907,0.66,0.6974,0.09787395657408829
1.0,200,0,400,0.16198188453063733,0.7025,2,0.17447086876701345,0.71,2,0.07691790826171994,0.7,6,0.0,0.5,0,0.715,0.7956,0.18289820299103693,0.69,0.7617375,0.14234528284680015,0.6525,0.73255,0.09088327821915802,0.715,0.7956,0.18289820299103693
