predictor,scorer,n_query_seed,n_queries,n_contexts,MRR,MRR_lo,MRR_hi,Hit@1,Hit@1_lo,Hit@1_hi,Hit@5,Hit@5_lo,Hit@5_hi,Hit@10,Hit@10_lo,Hit@10_hi,median_rank
average_effect,energy,19960,3992,44,0.8519625570893524,0.8092418588996424,0.8903144709159811,0.7911823647294589,0.7394349325399159,0.8388525654613466,0.9265030060120241,0.8915272264294396,0.9557591040822703,0.9552605210420841,0.9290885286000807,0.9768714221923133,1.0
average_effect,energy_v_statistic,19960,3992,44,0.8519625570893524,0.8092418588996424,0.8903144709159811,0.7911823647294589,0.7394349325399159,0.8388525654613466,0.9265030060120241,0.8915272264294396,0.9557591040822703,0.9552605210420841,0.9290885286000807,0.9768714221923133,1.0
average_effect,mean_cosine,19960,3992,44,0.8875567213886045,0.8644608603755053,0.9108050604456783,0.8328657314629259,0.8008051935774396,0.8649455159919653,0.9569138276553106,0.9442192690143683,0.9702658823317435,0.9800100200400802,0.9725963438006782,0.9875065587525758,1.0
average_effect,mean_l2,19960,3992,44,0.8540115733970366,0.8122927691513461,0.8912452381184499,0.7930360721442886,0.7422398852907466,0.8394231412791454,0.9293587174348698,0.8959827219139618,0.9570232790523604,0.9569138276553106,0.9318440560818173,0.9776234151579082,1.0
average_effect,mmd,19960,3992,44,0.8518166047917616,0.8091194946405695,0.8901979987358557,0.7910821643286573,0.7396762517815293,0.8387501167496887,0.9259018036072144,0.8904025298128007,0.9554229511750149,0.9549098196392786,0.9285437304211401,0.9766716280733806,1.0
average_effect,sliced_wasserstein,19960,3992,44,0.7294128701778231,0.6849548731768914,0.7720378855482507,0.6267535070140281,0.5760314009046265,0.6759678875349836,0.8601703406813628,0.8200849804738205,0.8973067699667339,0.9171342685370741,0.884458976854232,0.945717977902809,1.0
ot_map,energy,19960,3992,44,0.667371460950043,0.6207777036575857,0.7118855047240572,0.5426853707414829,0.4932258100961988,0.5929023051986817,0.8250501002004008,0.7800502466802613,0.8669171276609676,0.8978957915831663,0.8607976767676768,0.9309056540005015,1.0
ot_map,energy_v_statistic,19960,3992,44,0.668166675781054,0.6220915897715702,0.712385189913076,0.5435370741482966,0.49419026858091336,0.5931280155142834,0.8252004008016032,0.7802167042910664,0.8672185099421007,0.8986472945891784,0.8619691712162744,0.9315843193066878,1.0
ot_map,mean_cosine,19960,3992,44,0.6646541451695969,0.6292216567427146,0.7011271100206816,0.5397795591182365,0.5001518108728944,0.5818693737769081,0.8212925851703406,0.7882483033546072,0.8533092068160252,0.9016032064128257,0.8773572676889986,0.9249374123529434,1.0
ot_map,mean_l2,19960,3992,44,0.656329952524987,0.609677612347545,0.7009889973901567,0.5288577154308617,0.4798708973003164,0.577600657402669,0.8166332665330661,0.770095094419951,0.8591152026404805,0.8948897795591182,0.857440326979594,0.9285648177662045,1.0
ot_map,mmd,19960,3992,44,0.6677202184744475,0.6211809252634054,0.7123112286558244,0.5429859719438878,0.49302932043658787,0.5934001236572571,0.8248496993987976,0.7795737195051275,0.8666503922550493,0.8977454909819639,0.860681680304279,0.9310724457827811,1.0
ot_map,sliced_wasserstein,19960,3992,44,0.5385158979871035,0.49986749442200795,0.5766239794918926,0.39498997995991986,0.3571431587808607,0.4325392378278754,0.7149799599198396,0.6705451896677312,0.7567229209100629,0.8312124248496994,0.792450795519074,0.8668859779554529,2.0
state_conditioned_average_effect,energy,19960,3992,44,0.8568711667762512,0.8152165680338495,0.8933154037534543,0.7961923847695391,0.746915788160861,0.841350338875506,0.9323647294589178,0.8994438969788268,0.9599007556690755,0.9586172344689379,0.9335251876782821,0.9792907662237423,1.0
state_conditioned_average_effect,energy_v_statistic,19960,3992,44,0.8569826446913297,0.8153390949716799,0.8933539686159488,0.7963426853707415,0.7470672591157304,0.8415019487488409,0.9325150300601203,0.8996458880164944,0.9599007556690755,0.9585671342685371,0.933475136060641,0.9792907662237423,1.0
state_conditioned_average_effect,mean_cosine,19960,3992,44,0.8883062302991086,0.8666547109135783,0.9106018000435422,0.8329659318637275,0.8026084998956773,0.8636507930891141,0.9579158316633266,0.9457852119707539,0.9703512949213876,0.9812124248496994,0.9743077643117548,0.9880746546636862,1.0
state_conditioned_average_effect,mean_l2,19960,3992,44,0.8587859189205713,0.8182072677259188,0.8942213243689727,0.7979458917835671,0.7498577402159742,0.8418662573488951,0.9339679358717435,0.9024311855052385,0.9600545544007925,0.9599699398797595,0.9362671580021074,0.9794545420466001,1.0
state_conditioned_average_effect,mmd,19960,3992,44,0.8564154123740051,0.8143757589962847,0.8931363638374652,0.7955911823647295,0.7461848624399465,0.8411300982543108,0.932314629258517,0.8993228307522018,0.9598804508107105,0.9583667334669339,0.9332429312203404,0.9791907155729479,1.0
state_conditioned_average_effect,sliced_wasserstein,19960,3992,44,0.7322292400695986,0.6894533714905349,0.7742315345634491,0.6296593186372745,0.5810792469618147,0.6778560289495381,0.8628256513026052,0.8239916364709919,0.8991524341445057,0.9202905811623247,0.8881708444375007,0.9478886331150146,1.0
