fpr,tpr
0.0,0.0
0.00020833333333333335,0.0
0.000625,0.0
0.0010416666666666667,0.0
0.04791666666666667,0.0
0.04833333333333333,0.0
0.05458333333333333,0.0
0.055,0.0
0.05625,0.0
0.056666666666666664,0.0
0.05708333333333333,0.0
0.0575,0.0
0.06,0.0
0.06,0.0011574074074074073
0.06,0.001388888888888889
0.06,0.0023148148148148147
0.06,0.0025462962962962965
0.06,0.006481481481481481
0.06,0.006712962962962963
0.06,0.007291666666666667
0.06,0.007523148148148148
0.06,0.00949074074074074
0.06,0.009722222222222222
0.06,0.011921296296296296
0.06,0.012152777777777778
0.06,0.012962962962962963
0.06,0.013194444444444444
0.06,0.014814814814814815
0.06,0.015046296296296295
0.06,0.016319444444444445
0.06,0.016550925925925927
0.06,0.017013888888888887
0.06,0.01724537037037037
0.06,0.01898148148148148
0.06,0.019328703703703702
0.06,0.019675925925925927
0.06,0.01990740740740741
0.06,0.020370370370370372
0.06,0.02060185185185185
0.06,0.02141203703703704
0.06,0.021643518518518517
0.06,0.023148148148148147
0.06,0.02337962962962963
0.06,0.024537037037037038
0.06,0.02476851851851852
0.06,0.025
0.075,0.025
0.075,0.029976851851851852
0.075,0.030208333333333334
0.075,0.032060185185185185
0.075,0.03229166666666667
0.075,0.032407407407407406
0.075,0.03263888888888889
0.075,0.03680555555555556
0.075,0.037037037037037035
0.075,0.03715277777777778
0.075,0.037384259259259256
0.075,0.03831018518518518
0.075,0.03854166666666667
0.075,0.05
0.08,0.05
0.08041666666666666,0.05
0.08895833333333333,0.05
0.08958333333333333,0.05
0.09,0.05
0.09,0.0505787037037037
0.09,0.051041666666666666
0.09,0.05115740740740741
0.09,0.05138888888888889
0.09,0.05185185185185185
0.09,0.052083333333333336
0.09,0.05486111111111111
0.09,0.055092592592592596
0.09,0.05648148148148148
0.09,0.056712962962962965
0.09,0.057060185185185186
0.09,0.057291666666666664
0.09,0.05949074074074074
0.09,0.059722222222222225
0.09,0.060069444444444446
0.09,0.06041666666666667
0.09,0.06145833333333333
0.09,0.061689814814814815
0.09,0.06273148148148149
0.09,0.06296296296296296
0.09,0.06365740740740741
0.09,0.06388888888888888
0.09,0.06631944444444444
0.09,0.06655092592592593
0.09,0.06782407407407408
0.09,0.06805555555555555
0.09,0.0693287037037037
0.09,0.06956018518518518
0.09,0.075
0.09145833333333334,0.075
0.091875,0.075
0.10020833333333333,0.075
0.100625,0.075
