heldout_drug,scorer,reference_scorer,response_regret_difference,moa_ndcg_difference,minority_coverage_difference
AICAR (Acadesine),DART_energy,mean_l2,0.010450363159179688,0.0,0.0
AICAR (Acadesine),DART_mmd,mean_cosine,0.7918281555175783,0.0,0.00879625741599599
AICAR (Acadesine),DART_mmd,mean_l2,0.0,0.0,0.0
AICAR (Acadesine),DART_sliced_wasserstein,mean_cosine,0.7799510955810548,0.0,0.008167168055197016
AICAR (Acadesine),DART_sliced_wasserstein,mean_l2,-0.01187705993652352,0.0,-0.0024230910145499607
AR-42,DART_coverage_mean,mean_cosine,-1.1205730438232422,-0.03428104942580207,0.026711239585107793
AR-42,DART_coverage_mean,mean_l2,-1.6596450805664062,0.0008192269073797331,0.01244503889826587
AR-42,DART_coverage_worst,mean_cosine,-0.5015602111816406,-0.14121345931963908,-0.005712629379142742
AR-42,DART_coverage_worst,mean_l2,-0.5015602111816406,-0.0009606194953843961,-0.005712629379142742
AR-42,DART_energy,mean_cosine,0.0,-0.14025283982425468,0.0
AR-42,DART_energy,mean_l2,0.0,-0.005034346879315255,0.0
AR-42,DART_mmd,mean_cosine,0.0,-0.05191381875475809,0.0
AR-42,DART_mmd,mean_l2,0.0,0.0,0.0
AR-42,DART_sliced_wasserstein,mean_cosine,0.0,-0.05509081723714632,0.0
AR-42,DART_sliced_wasserstein,mean_l2,0.0,0.0,0.0
AT9283,DART_coverage_mean,mean_cosine,0.0989551544189453,0.07336392209936,0.00033988595979783653
AT9283,DART_coverage_mean,mean_l2,-0.0008893013000488004,-0.056511089553980695,0.0
AT9283,DART_coverage_worst,mean_cosine,-0.058728694915771484,0.066254223454389,0.0017420821712589851
AT9283,DART_coverage_worst,mean_l2,-0.14865779876708984,-0.0636207881989517,0.0
AT9283,DART_energy,mean_cosine,0.12713336944580075,0.1487639058405727,0.003443472484283283
AT9283,DART_energy,mean_l2,0.0,0.0,0.0
AT9283,DART_mmd,mean_cosine,0.12713336944580075,0.139618145553749,0.003443472484283283
AT9283,DART_mmd,mean_l2,0.0,0.0,0.0
AT9283,DART_sliced_wasserstein,mean_cosine,0.0998444557189941,0.11004588314904,0.002423387639891472
AT9283,DART_sliced_wasserstein,mean_l2,0.0,-0.0198291285043007,0.0
AZ 960,DART_coverage_mean,mean_cosine,0.0,0.0947883643695507,-0.0038069185781831605
AZ 960,DART_coverage_mean,mean_l2,-0.2689399719238281,-0.1292171971456248,-0.0034011510502272024
AZ 960,DART_coverage_worst,mean_cosine,0.0683059692382813,0.05371932623193361,-0.0028565553582600156
AZ 960,DART_coverage_worst,mean_l2,-0.2689399719238281,-0.10732326159200628,-0.0016133311310071452
AZ 960,DART_energy,mean_cosine,0.3372459411621094,0.1681522864689109,-0.0006397191441119832
AZ 960,DART_energy,mean_l2,0.0,0.007109698644971019,0.0
AZ 960,DART_mmd,mean_cosine,0.3372459411621094,0.2399208948023808,-0.0006397191441119832
AZ 960,DART_mmd,mean_l2,0.0,0.047251077986392,0.0
AZ 960,DART_sliced_wasserstein,mean_cosine,0.417755126953125,0.1388624438735545,0.0010385231821160579
AZ 960,DART_sliced_wasserstein,mean_l2,0.08992385864257821,0.07907646866470713,1.305301768406153e-05
AZD1480,DART_coverage_mean,mean_cosine,0.014919281005859375,0.0636207881989517,0.0002278133487132461
AZD1480,DART_coverage_mean,mean_l2,0.0,-0.03566393022875371,0.0
AZD1480,DART_coverage_worst,mean_cosine,0.014919281005859375,0.0331271117271945,0.0002278133487132461
AZD1480,DART_coverage_worst,mean_l2,0.0,-0.03919913448933765,0.0
AZD1480,DART_energy,mean_cosine,0.0090370178222656,0.11200278075758771,0.00167332584609714
AZD1480,DART_energy,mean_l2,0.0,0.004960923572666899,0.0
AZD1480,DART_mmd,mean_cosine,0.0090370178222656,0.10241712375929535,0.00167332584609714
AZD1480,DART_mmd,mean_l2,0.0,0.0117498970179232,0.0
AZD1480,DART_sliced_wasserstein,mean_cosine,0.0449962615966797,0.07588109553901765,0.001657680715105636
AZD1480,DART_sliced_wasserstein,mean_l2,0.0,0.0035548493224855024,0.0
Alendronate sodium trihydrate,DART_coverage_mean,mean_cosine,0.011618614196777354,0.0,0.00039977617217024086
Alendronate sodium trihydrate,DART_coverage_mean,mean_l2,-0.0685725212097168,0.0,-0.0006559568527809145
Alendronate sodium trihydrate,DART_coverage_worst,mean_cosine,-0.01902818679809569,0.0,-0.0002417378744518639
Alendronate sodium trihydrate,DART_coverage_worst,mean_l2,-0.12151908874511719,0.0,-0.0016845133649328603
Alendronate sodium trihydrate,DART_energy,mean_cosine,0.011618614196777354,0.0,0.0006157392124939709
Alendronate sodium trihydrate,DART_energy,mean_l2,0.0,0.0,0.0
Alendronate sodium trihydrate,DART_mmd,mean_cosine,0.04651641845703125,0.0,0.0007270277880389031
Alendronate sodium trihydrate,DART_mmd,mean_l2,0.0,0.0,0.0
Alendronate sodium trihydrate,DART_sliced_wasserstein,mean_cosine,-0.0157771110534668,0.0,0.00035498570412928476
Alendronate sodium trihydrate,DART_sliced_wasserstein,mean_l2,-0.038639545440673835,0.0,-0.0005653185779303516
Altretamine,DART_coverage_mean,mean_cosine,0.19962787628173825,0.015583788085299498,0.0025552144963925105
Altretamine,DART_coverage_mean,mean_l2,-0.03805923461914064,-0.09241658094914426,-0.0007833135119956758
Altretamine,DART_coverage_worst,mean_cosine,0.2179570198059082,0.02321254747504415,0.0032913567133898147
Altretamine,DART_coverage_worst,mean_l2,-0.027812004089355497,-0.10414683290516596,0.0
Altretamine,DART_energy,mean_cosine,0.15848493576049805,0.1575812752384918,0.0023435738169481635
Altretamine,DART_energy,mean_l2,-0.034432888031005845,0.015484707242166496,0.0004558613479396234
Altretamine,DART_mmd,mean_cosine,0.15848493576049805,0.11541932987137127,0.0023435738169481635
Altretamine,DART_mmd,mean_l2,-0.034432888031005845,-0.03252207242442007,0.0004558613479396234
Altretamine,DART_sliced_wasserstein,mean_cosine,0.15092945098876956,0.16886396479385504,0.0018949137572127905
Altretamine,DART_sliced_wasserstein,mean_l2,-0.02683210372924805,0.06980907277687448,-0.0006645383196315913
Amisulpride,DART_coverage_mean,mean_cosine,0.1028375625610352,0.0,0.0015106809462586135
Amisulpride,DART_coverage_mean,mean_l2,0.03841781616210939,0.0,-0.00026947797299958776
Amisulpride,DART_coverage_worst,mean_cosine,0.1585578918457031,0.0,0.0015106809462586135
Amisulpride,DART_coverage_worst,mean_l2,0.1028375625610352,0.0,-0.0015802662026109804
Amisulpride,DART_energy,mean_cosine,0.0455131530761719,0.0,0.0
Amisulpride,DART_energy,mean_l2,0.0,0.0,0.0
Amisulpride,DART_mmd,mean_cosine,0.1028375625610352,0.0,0.0015106809462586135
Amisulpride,DART_mmd,mean_l2,0.0,0.0,0.0
Amisulpride,DART_sliced_wasserstein,mean_cosine,0.1043586730957031,0.0,-0.001271051785687316
