split_type,cell_line,method,reference,n_queries,mean_regret_reduction,median_regret_reduction,mean_minority_gain,median_minority_gain,mean_moa_gain,median_moa_gain,mean_batch_coverage_gain,top1_mean_agreement,assignment_changed_fraction
leave_MoA_out,A549,DART_coverage_mean,matched_control_referenced,40,0.1526374340057373,0.06497383117675778,-0.000673294320383705,2.47661364194407e-08,,,,0.075,1.0
leave_MoA_out,A549,DART_coverage_mean,raw_normalized_expression,40,0.07332649230957033,0.00257778167724605,-0.006320909575412023,0.0,,,,0.075,1.0
leave_MoA_out,A549,DART_coverage_worst,matched_control_referenced,40,0.2045057773590088,0.07843780517578125,0.00011133451791699999,6.402782025127784e-05,,,,0.05,1.0
leave_MoA_out,A549,DART_coverage_worst,raw_normalized_expression,40,0.0831995487213135,0.005936622619628898,-0.006132269645622787,-3.480390243337794e-05,,,,0.075,1.0
leave_MoA_out,K562,DART_coverage_mean,matched_control_referenced,40,0.252259349822998,0.047861099243164035,0.0042435328028226724,0.0005391399174756728,,,,0.075,1.0
leave_MoA_out,K562,DART_coverage_mean,raw_normalized_expression,40,0.21431441307067872,0.045215606689453146,0.0010608244737318278,5.9152635104198215e-05,,,,0.025,1.0
leave_MoA_out,K562,DART_coverage_worst,matched_control_referenced,40,0.2207072257995605,0.030561447143554653,0.0038544709346319066,0.00048350033371102885,,,,0.05,1.0
leave_MoA_out,K562,DART_coverage_worst,raw_normalized_expression,40,0.2074575901031494,0.05812931060791014,0.0031933669244527283,0.00026535885544398674,,,,0.05,1.0
leave_MoA_out,MCF7,DART_coverage_mean,matched_control_referenced,40,0.11797955036163328,0.015250205993652344,0.010302085298167054,0.001953028366911691,,,,0.125,1.0
leave_MoA_out,MCF7,DART_coverage_mean,raw_normalized_expression,40,0.1494726896286011,0.08752346038818365,0.0023648968469233865,4.3353088193975875e-05,,,,0.15,1.0
leave_MoA_out,MCF7,DART_coverage_worst,matched_control_referenced,40,0.10676488876342771,0.059165477752685526,0.010790326315031832,0.0034370337402185314,,,,0.125,1.0
leave_MoA_out,MCF7,DART_coverage_worst,raw_normalized_expression,40,0.12526705265045168,0.03773450851440431,0.002622532949053888,2.2580702720209622e-05,,,,0.125,1.0
leave_drug_out,A549,DART_coverage_mean,matched_control_referenced,200,0.24306751251220698,0.060952186584472656,0.005199810653950505,0.0009393144177534118,-0.03502069353876931,0.0,,0.155,1.0
leave_drug_out,A549,DART_coverage_mean,raw_normalized_expression,200,0.12805169105529784,0.021592140197753892,0.0008145061759887684,0.0,-0.052159858115800685,0.0,,0.085,1.0
leave_drug_out,A549,DART_coverage_worst,matched_control_referenced,200,0.24592879295349118,0.07084274291992182,0.005256317496325307,0.000918607512912617,-0.03369683415246654,0.0,,0.15,1.0
leave_drug_out,A549,DART_coverage_worst,raw_normalized_expression,200,0.15508709907531737,0.012689590454101549,0.0016361833217742566,0.0,-0.03884221868298035,0.0,,0.1,1.0
leave_drug_out,K562,DART_coverage_mean,matched_control_referenced,200,0.2513041114807129,0.1512832641601562,0.004108099622190359,0.0015523561568406286,-0.0011895651912626028,0.0,,0.105,1.0
leave_drug_out,K562,DART_coverage_mean,raw_normalized_expression,200,0.13514883995056154,0.10182762145996094,0.00253978546879243,0.0007948245477662486,-0.037438552725915696,0.0,,0.02,1.0
leave_drug_out,K562,DART_coverage_worst,matched_control_referenced,200,0.23059820175170898,0.13663864135742188,0.003979025465906026,0.001295954032503932,-0.011700449194780825,0.0,,0.1,1.0
leave_drug_out,K562,DART_coverage_worst,raw_normalized_expression,200,0.1548266410827637,0.0661888122558594,0.003183196987135885,0.0009379252925656445,-0.02450600228161519,0.0,,0.045,1.0
leave_drug_out,MCF7,DART_coverage_mean,matched_control_referenced,200,0.1545629262924194,0.02898645401000969,0.0058753290229029646,0.0011520821655773839,0.0017761275609652254,0.0,,0.15,0.9999465240641712
leave_drug_out,MCF7,DART_coverage_mean,raw_normalized_expression,200,0.07345580101013184,0.014667510986328135,0.0008746819729604449,0.001055520814075006,-0.010523062516639895,0.0,,0.075,0.9999465240641712
leave_drug_out,MCF7,DART_coverage_worst,matched_control_referenced,200,0.1640566253662109,0.03783702850341795,0.0049116494708247175,0.0011395398883427,-0.00157394852362849,0.0,,0.175,0.9999465240641712
leave_drug_out,MCF7,DART_coverage_worst,raw_normalized_expression,200,0.09417432785034181,0.022404670715332,0.0011034849574183036,0.0012145798411706266,-0.008221419638923652,0.0,,0.08,0.9999465240641712
partial_library,A549,DART_coverage_mean,matched_control_referenced,15,0.09690907796223955,0.0824508666992187,0.01807207752769153,0.005449387416359253,,,0.0022387929957099705,0.0,1.0
partial_library,A549,DART_coverage_mean,raw_normalized_expression,15,0.0352214813232422,0.0338573455810547,0.016592013620533568,0.0044628570220391905,,,0.0013899874487924772,0.0,1.0
partial_library,A549,DART_coverage_worst,matched_control_referenced,15,0.08824246724446612,0.05878257751464841,0.01809895803039233,0.005528132078830961,,,0.0021845895251619766,0.0,1.0
partial_library,A549,DART_coverage_worst,raw_normalized_expression,15,0.039107004801432296,0.05790710449218749,0.016811158414621597,0.0044628570220391905,,,0.0016043785054936346,0.0,1.0
partial_library,K562,DART_coverage_mean,matched_control_referenced,15,0.12363408406575518,0.13810157775878906,0.020327471862528954,0.010651505382651694,,,0.0027937864973407224,0.0,1.0
partial_library,K562,DART_coverage_mean,raw_normalized_expression,15,0.10948689778645833,0.149374008178711,0.020270851683387825,0.010647361272076217,,,0.0025101015622985686,0.0,1.0
partial_library,K562,DART_coverage_worst,matched_control_referenced,15,0.1046571095784505,0.12260246276855469,0.020206015875234438,0.010712123306388266,,,0.00275034861904991,0.0,1.0
