split_type,cell_line,heldout_drug,observed_library_fraction,seed,heldout_MoA,recommendation_mode,true_divergence,true_div_min_cos,true_div_minority_frac,structure_reliability_score,preference_conflict,minority_state_coverage_gap,moa_ndcg_gap,minority_state_coverage_dart,minority_state_coverage_mean,moa_ndcg_dart,moa_ndcg_mean,decision_regret__DART_coverage_mean,decision_regret__DART_coverage_worst,decision_regret__DART_energy,decision_regret__DART_mmd,decision_regret__DART_sliced_wasserstein,decision_regret__cmap_match,decision_regret__cmap_reverse,decision_regret__mean_cosine,decision_regret__mean_l2,moa_ndcg__DART_coverage_mean,moa_ndcg__DART_coverage_worst,moa_ndcg__DART_energy,moa_ndcg__DART_mmd,moa_ndcg__DART_sliced_wasserstein,moa_ndcg__cmap_match,moa_ndcg__cmap_reverse,moa_ndcg__mean_cosine,moa_ndcg__mean_l2,minority_state_coverage__DART_coverage_mean,minority_state_coverage__DART_coverage_worst,minority_state_coverage__DART_energy,minority_state_coverage__DART_mmd,minority_state_coverage__DART_sliced_wasserstein,minority_state_coverage__cmap_match,minority_state_coverage__cmap_reverse,minority_state_coverage__mean_cosine,minority_state_coverage__mean_l2,formal_drug_cluster,moa_evaluable
leave_drug_out,A549,Selisistat (EX 527),1.0,0,Epigenetics,DART_recommended,1.6720510118393026,-0.6720510118393026,0.455,0.4079130603290328,0.651412429378531,0.0026203410488296,0.158507039740981,0.9876950122651242,0.9850746712162946,0.158507039740981,0.0,0.1809597015380859,0.1809597015380859,0.0429515838623046,0.0429515838623046,0.0429515838623046,0.4759235382080078,0.0759487152099609,0.4759235382080078,0.0429515838623046,0.0947883643695507,0.158507039740981,0.2200917662980801,0.3052348839397011,0.3052348839397011,0.0,0.0,0.0,0.2863459897524692,0.9876950122651242,0.9876950122651242,0.9911483740360848,0.9911483740360848,0.9911483740360848,0.9850746712162946,0.9881061787908784,0.9850746712162946,0.9911483740360848,True,True
leave_drug_out,A549,KW-2449,1.0,0,Angiogenesis,DART_recommended,1.473229192076955,-0.4732291920769548,0.355,0.6294778713852709,0.6163841807909605,0.0,0.0,0.9781419581022656,0.9781419581022656,0.0,0.0,0.2484893798828125,0.5032958984375,0.0866317749023437,0.0866317749023437,0.2484893798828125,0.5032958984375,1.6744499206542969,0.5032958984375,0.2484893798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799482145080576,0.9781419581022656,0.984501053337674,0.984501053337674,0.9799482145080576,0.9781419581022656,0.9418004142841748,0.9781419581022656,0.9799482145080576,True,True
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,0,Apoptosis,DART_recommended,1.6735242912506068,-0.6735242912506069,0.445,0.4161223990856003,0.5322033898305085,-0.0007850629175816,0.0,0.9863344739389196,0.9871195368565012,0.0,0.0,0.0804080963134765,0.1066627502441406,0.093790054321289,0.093790054321289,0.0928287506103515,0.0930652618408203,0.1941642761230468,0.0930652618408203,0.093790054321289,0.0,0.0,0.0,0.0,0.1312050775123417,0.0,0.2139862647345275,0.0,0.0,0.9881746833987786,0.9863344739389196,0.987527332831618,0.987527332831618,0.984109366627639,0.9871195368565012,0.9817617938912246,0.9871195368565012,0.987527332831618,True,True
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,1.6384471606795636,-0.6384471606795636,0.42,0.4585861889926428,0.6016949152542372,0.000140764528245,0.6309297535714575,0.9929775607785932,0.9928367962503482,0.6309297535714575,0.0,0.1871547698974609,0.0728530883789062,0.0021572113037109,0.0021572113037109,0.0021572113037109,0.0664691925048828,0.1478195190429687,0.0664691925048828,0.0884990692138671,0.2890648263178879,0.6309297535714575,0.0,0.0,0.0,0.0,0.2890648263178879,0.0,0.0,0.9930421862713412,0.9929775607785932,0.9937237252431812,0.9937237252431812,0.9937237252431812,0.9928367962503482,0.990837151761028,0.9928367962503482,0.9932735593307932,True,True
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,1.1053026064693476,-0.1053026064693476,0.315,0.6432208840987058,0.6813559322033899,-0.0642222107994532,-0.0761556854214072,0.9052462659035028,0.969468476702956,0.2816575879096918,0.357813273331099,1.2549915313720703,1.495574951171875,0.1476650238037109,0.1476650238037109,0.1476650238037109,0.5861167907714844,1.6799983978271484,0.5861167907714844,0.5903491973876953,0.2278403745052797,0.2816575879096918,0.5527460588826717,0.5527460588826717,0.55206785919664,0.357813273331099,0.0636207881989517,0.357813273331099,0.6313419460517601,0.9038677511874074,0.9052462659035028,0.9494482605598464,0.9494482605598464,0.9494482605598464,0.969468476702956,0.898249679955818,0.969468476702956,0.9312218796443552,True,True
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,1.4378845489152003,-0.4378845489152003,0.42,0.5124617886186016,0.5474576271186441,0.0014366576031767,0.0,0.9916273293036096,0.9901906717004328,0.0,0.0,0.0796413421630859,0.0796413421630859,0.0,0.0,0.1360130310058593,0.0697956085205078,0.7493762969970703,0.0697956085205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916273293036096,0.9916273293036096,0.9939540487111296,0.9939540487111296,0.9922716306476392,0.9901906717004328,0.979083059136574,0.9901906717004328,0.9939540487111296,True,True
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,1.6569410472435286,-0.6569410472435286,0.45,0.4714763181189617,0.6440677966101696,0.0007053970696605,0.1157584297143871,0.9867470414837594,0.9860416444140988,0.4189179618884325,0.3031595321740454,0.3089790344238281,0.3089790344238281,0.0973014831542968,0.0973014831542968,0.3089790344238281,0.6393070220947266,0.7443332672119141,0.6393070220947266,0.0973014831542968,0.2742654694553681,0.4189179618884325,0.3621108234757071,0.3621108234757071,0.164219586306328,0.3031595321740454,0.0,0.3031595321740454,0.5077181160122074,0.9867470414837594,0.9867470414837594,0.9868031906771296,0.9868031906771296,0.9867470414837594,0.9860416444140988,0.9684080112877074,0.9860416444140988,0.9868031906771296,True,True
leave_drug_out,A549,Veliparib (ABT-888),1.0,0,DNA Damage,DART_recommended,1.7352078293397544,-0.7352078293397544,0.405,0.4522767239129061,0.6192090395480226,0.0002673357076807,0.1456072925365002,0.9864438094929008,0.98617647378522,0.3187939258847263,0.1731866333482261,0.1539363861083984,0.1539363861083984,0.2761745452880859,0.1918563842773437,0.2761745452880859,0.2010726928710937,0.2446098327636718,0.2010726928710937,0.0877456665039062,0.1356854453911662,0.3187939258847263,0.2895229882348574,0.2082936658103318,0.3052348839397011,0.1731866333482261,0.0636207881989517,0.1731866333482261,0.15139734109601,0.9864438094929008,0.9864438094929008,0.987041206152812,0.988661509090887,0.987041206152812,0.98617647378522,0.9789008280304694,0.98617647378522,0.9890930926384628,True,True
leave_drug_out,A549,Quercetin,1.0,0,Epigenetics,mean_or_no_call,1.696548998557128,-0.696548998557128,0.44,0.3646019623060028,0.5785310734463277,-0.0037850444627987,-0.2470305934473519,0.9845882699232404,0.9883733143860391,0.2329726085570735,0.4800032020044255,0.143014907836914,0.171905517578125,0.0658645629882812,0.0658645629882812,0.1715869903564453,0.0519428253173828,0.1468524932861328,0.0519428253173828,0.0658645629882812,0.2941924851321473,0.2329726085570735,0.4784215172879272,0.4784215172879272,0.3557772116892465,0.4800032020044255,0.0,0.4800032020044255,0.6136525857537393,0.9842860960347452,0.9845882699232404,0.9858031262080044,0.9858031262080044,0.9857183557513484,0.9883733143860391,0.97761070801576,0.9883733143860391,0.9858031262080044,True,True
leave_drug_out,A549,Carmofur,1.0,0,DNA Damage,DART_recommended,1.459141400801907,-0.4591414008019069,0.455,0.5549685383501388,0.6203389830508474,-0.0005762205688814,-0.1826541035682056,0.9850629261506274,0.9856391467195088,0.1763001066034291,0.3589542101716347,0.1084346771240234,0.1084346771240234,0.1227951049804687,0.1227951049804687,0.0832481384277343,0.1040687561035156,0.4694747924804687,0.1040687561035156,0.1227951049804687,0.3909273842002216,0.1763001066034291,0.2742654694553681,0.2781981696179509,0.3718539573761155,0.3589542101716347,0.1388624438735545,0.3589542101716347,0.3976722328631673,0.9850629261506274,0.9850629261506274,0.9901827446149956,0.9901827446149956,0.9855400725803772,0.9856391467195088,0.9832102003662384,0.9856391467195088,0.9901827446149956,True,True
