setting,alpha,method,reference,hit@1,mrr,population_minus_mean_hit@1,population_minus_mean_mrr
crossline:A549+MCF7,0.5,coverage_mean,matched_control_referenced,0.9466666666666667,0.9684444444444446,0.2,0.10766666666666666
crossline:A549+MCF7,0.5,coverage_mean,raw_normalized_expression,0.9466666666666667,0.9684444444444446,0.2,0.10766666666666666
crossline:A549+MCF7,0.5,coverage_worst,matched_control_referenced,0.9266666666666666,0.9581746031746032,0.18,0.0973968253968254
crossline:A549+MCF7,0.5,coverage_worst,raw_normalized_expression,0.9266666666666666,0.9581746031746032,0.18,0.0973968253968254
crossline:A549+MCF7,0.5,global_energy,matched_control_referenced,0.92,0.953939393939394,0.17333333333333334,0.09316161616161617
crossline:A549+MCF7,0.5,global_energy,raw_normalized_expression,0.92,0.953939393939394,0.17333333333333334,0.09316161616161617
crossline:A549+MCF7,0.5,mmd_rbf,matched_control_referenced,0.9266666666666666,0.9578282828282829,0.18,0.09705050505050505
crossline:A549+MCF7,0.5,mmd_rbf,raw_normalized_expression,0.9266666666666666,0.9578282828282829,0.18,0.09705050505050505
crossline:A549+MCF7,0.5,sliced_wasserstein,matched_control_referenced,0.8666666666666667,0.9115873015873016,0.12,0.050809523809523804
crossline:A549+MCF7,0.5,sliced_wasserstein,raw_normalized_expression,0.8666666666666667,0.9115873015873016,0.12,0.050809523809523804
crossline:A549+MCF7,0.6,coverage_mean,matched_control_referenced,0.92,0.9557777777777778,0.2866666666666667,0.15244444444444444
crossline:A549+MCF7,0.6,coverage_mean,raw_normalized_expression,0.92,0.9557777777777778,0.2866666666666667,0.15244444444444444
crossline:A549+MCF7,0.6,coverage_worst,matched_control_referenced,0.88,0.9272962962962962,0.24666666666666667,0.12396296296296297
crossline:A549+MCF7,0.6,coverage_worst,raw_normalized_expression,0.88,0.9272962962962962,0.24666666666666667,0.12396296296296297
crossline:A549+MCF7,0.6,global_energy,matched_control_referenced,0.92,0.9568888888888889,0.2866666666666667,0.15355555555555556
crossline:A549+MCF7,0.6,global_energy,raw_normalized_expression,0.92,0.9568888888888889,0.2866666666666667,0.15355555555555556
crossline:A549+MCF7,0.6,mmd_rbf,matched_control_referenced,0.9333333333333333,0.9646666666666666,0.3,0.16133333333333333
crossline:A549+MCF7,0.6,mmd_rbf,raw_normalized_expression,0.9333333333333333,0.9646666666666666,0.3,0.16133333333333333
crossline:A549+MCF7,0.6,sliced_wasserstein,matched_control_referenced,0.8266666666666667,0.885712962962963,0.19333333333333333,0.08237962962962962
crossline:A549+MCF7,0.6,sliced_wasserstein,raw_normalized_expression,0.8266666666666667,0.885712962962963,0.19333333333333333,0.08237962962962962
crossline:A549+MCF7,0.7,coverage_mean,matched_control_referenced,0.8933333333333333,0.9425252525252525,0.41333333333333333,0.21141414141414142
