split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,method,reference,n_candidates,top1,top1_is_mean_top1,decision_regret,population_minus_mean_regret_reduction,minority_state_coverage,population_minus_mean_minority_coverage,moa_ndcg,population_minus_mean_moa_ndcg,target_mrr,batch_coverage,candidate_assignment_changed_fraction,raw_vs_referenced_top1_changed,batch_coverage_minus_mean
leave_drug_out,A549,Alendronate sodium trihydrate,Others,1.0,0,DART_coverage_worst,matched_control_referenced,187,Azacitidine,0,0.2304058074951172,-0.16061019897460938,0.9917207360267639,0.001530064326331071,0.0,0.0,,,1.0,1,
leave_drug_out,A549,A-366,Epigenetics,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Zileuton,0,0.3089790344238281,0.33032798767089844,0.9867470414837594,0.0007053970696605516,0.2742654694553681,-0.028894062718677282,0.025,,1.0,1,
leave_drug_out,A549,A-366,Epigenetics,1.0,0,DART_coverage_mean,matched_control_referenced,187,GSK-LSD1 2HCl,0,0.18181228637695312,0.45749473571777344,0.9875059723854065,0.0014643279713076884,0.5232512984721256,0.2200917662980802,0.16666666666666666,,1.0,1,
leave_drug_out,A549,A-366,Epigenetics,1.0,0,DART_coverage_worst,raw_normalized_expression,187,Zileuton,0,0.3089790344238281,0.33032798767089844,0.9867470414837594,0.0007053970696605516,0.4189179618884325,0.1157584297143871,0.0357142857142857,,1.0,1,
leave_drug_out,A549,A-366,Epigenetics,1.0,0,DART_coverage_worst,matched_control_referenced,187,Avagacestat (BMS-708163),0,0.18741607666015625,0.4518909454345703,0.9871364831924438,0.001094838778345042,0.28997736516021183,-0.013182167013833568,0.3333333333333333,,1.0,1,
leave_drug_out,A549,Veliparib (ABT-888),DNA Damage,1.0,0,DART_coverage_mean,raw_normalized_expression,187,"Baricitinib (LY3009104, INCB028050)",0,0.1539363861083984,0.047136306762695285,0.9864438094929008,0.0002673357076807825,0.1356854453911662,-0.037501187957059895,0.0434782608695652,,1.0,1,
leave_drug_out,A549,Veliparib (ABT-888),DNA Damage,1.0,0,DART_coverage_mean,matched_control_referenced,187,Fasudil (HA-1077) HCl,0,0.2235393524169922,-0.022466659545898493,0.9878607988357544,0.0016843250505343965,0.15850703974098102,-0.014679593607245078,0.009345794392523364,,1.0,1,
leave_drug_out,A549,Veliparib (ABT-888),DNA Damage,1.0,0,DART_coverage_worst,raw_normalized_expression,187,"Baricitinib (LY3009104, INCB028050)",0,0.1539363861083984,0.047136306762695285,0.9864438094929008,0.0002673357076807825,0.3187939258847263,0.14560729253650023,0.015625,,1.0,1,
leave_drug_out,A549,Veliparib (ABT-888),DNA Damage,1.0,0,DART_coverage_worst,matched_control_referenced,187,Fasudil (HA-1077) HCl,0,0.2235393524169922,-0.022466659545898493,0.9878607988357544,0.0016843250505343965,0.3757677525932109,0.2025811192449848,0.00909090909090909,,1.0,1,
leave_drug_out,A549,Quercetin,Epigenetics,1.0,0,DART_coverage_mean,raw_normalized_expression,187,PF-573228,0,0.143014907836914,-0.09107208251953121,0.9842860960347452,-0.0040872183512939975,0.2941924851321473,-0.18581071687227818,-1.0,,1.0,1,
leave_drug_out,A549,Quercetin,Epigenetics,1.0,0,DART_coverage_mean,matched_control_referenced,187,GSK-LSD1 2HCl,0,0.047359466552734375,0.004583358764648424,0.9876859188079834,-0.0006873955780557495,0.5473983622993502,0.06739516029492476,,,1.0,1,
leave_drug_out,A549,Quercetin,Epigenetics,1.0,0,DART_coverage_worst,raw_normalized_expression,187,WHI-P154,0,0.171905517578125,-0.1199626922607422,0.9845882699232404,-0.0037850444627987034,0.2329726085570735,-0.24703059344735198,-1.0,,1.0,1,
leave_drug_out,A549,Quercetin,Epigenetics,1.0,0,DART_coverage_worst,matched_control_referenced,187,Sirtinol,0,0.027111053466796875,0.024831771850585924,0.9871248304843903,-0.0012484839016488891,0.40002324830925196,-0.07997995369517352,,,1.0,1,
leave_drug_out,A549,Carmofur,DNA Damage,1.0,0,DART_coverage_mean,raw_normalized_expression,187,MK-5108 (VX-689),0,0.1084346771240234,-0.004365921020507799,0.9850629261506274,-0.0005762205688814026,0.3909273842002216,0.031973174028586904,-1.0,,1.0,1,
leave_drug_out,A549,Carmofur,DNA Damage,1.0,0,DART_coverage_mean,matched_control_referenced,187,Thiotepa,0,0.12279510498046875,-0.018726348876953153,0.9901827573776245,0.004543610658115704,0.35705757165090446,-0.0018966385207302427,,,1.0,1,
leave_drug_out,A549,Carmofur,DNA Damage,1.0,0,DART_coverage_worst,raw_normalized_expression,187,MK-5108 (VX-689),0,0.1084346771240234,-0.004365921020507799,0.9850629261506274,-0.0005762205688814026,0.1763001066034291,-0.1826541035682056,-1.0,,1.0,1,
leave_drug_out,A549,Carmofur,DNA Damage,1.0,0,DART_coverage_worst,matched_control_referenced,187,Thiotepa,0,0.12279510498046875,-0.018726348876953153,0.9901827573776245,0.004543610658115704,0.5270672065167423,0.16811299634510762,,,1.0,1,
leave_drug_out,A549,AG-490 (Tyrphostin B42),Protein Tyrosine Kinase,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Divalproex Sodium,0,0.1829376220703125,-0.1556396484375,0.9882804883660656,-0.003196203569159728,0.0,0.0,0.125,,1.0,1,
leave_drug_out,A549,AG-490 (Tyrphostin B42),Protein Tyrosine Kinase,1.0,0,DART_coverage_mean,matched_control_referenced,187,INO-1001 (3-Aminobenzamide),1,0.027292251586914062,5.7220458984375e-06,0.9914766550064087,-3.6928816671277787e-08,0.0,0.0,0.02631578947368421,,1.0,1,
leave_drug_out,A549,AG-490 (Tyrphostin B42),Protein Tyrosine Kinase,1.0,0,DART_coverage_worst,raw_normalized_expression,187,WHI-P154,0,0.2332305908203125,-0.2059326171875,0.9887435160875012,-0.0027331758477241452,0.0,0.0,1.0,,1.0,1,
