split_type,cell_line,heldout_drug,observed_library_fraction,seed,heldout_MoA,recommendation_mode,query_drug_cluster,scorer,reference_scorer,response_regret_difference,moa_ndcg_difference,minority_coverage_difference,divergence,diagnostic_verdict
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,0,Apoptosis,DART_recommended,Lenalidomide (CC-5013),DART_coverage_worst,mean_l2,-0.012872695922851604,0.0,-0.0011928588926983785,1.6735242912506068,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_energy,mean_cosine,0.0643119812011719,0.0,0.000886928992833047,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_energy,mean_l2,0.08634185791015621,0.0,0.00045016591238800086,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_mmd,mean_cosine,0.0643119812011719,0.0,0.000886928992833047,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_mmd,mean_l2,0.08634185791015621,0.0,0.00045016591238800086,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_sliced_wasserstein,mean_cosine,0.0643119812011719,0.0,0.000886928992833047,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_sliced_wasserstein,mean_l2,0.08634185791015621,0.0,0.00045016591238800086,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_coverage_mean,mean_cosine,-0.12068557739257811,0.2890648263178879,0.00020539002099306813,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_coverage_mean,mean_l2,-0.0986557006835938,0.2890648263178879,-0.00023137305945197806,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_coverage_worst,mean_cosine,-0.006383895874023396,0.6309297535714575,0.00014076452824507424,1.6384471606795636,DART_recommended
leave_drug_out,A549,MK-0752,1.0,0,Proteases,DART_recommended,MK-0752,DART_coverage_worst,mean_l2,0.01564598083496091,0.6309297535714575,-0.00029599855219997195,1.6384471606795636,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_energy,mean_cosine,0.43845176696777344,0.19493278555157267,-0.02002021614310956,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_energy,mean_l2,0.4426841735839844,-0.07859588716908839,0.018226380915491225,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_mmd,mean_cosine,0.43845176696777344,0.19493278555157267,-0.02002021614310956,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_mmd,mean_l2,0.4426841735839844,-0.07859588716908839,0.018226380915491225,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_sliced_wasserstein,mean_cosine,0.43845176696777344,0.194254585865541,-0.02002021614310956,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_sliced_wasserstein,mean_l2,0.4426841735839844,-0.07927408685512005,0.018226380915491225,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_coverage_mean,mean_cosine,-0.6688747406005859,-0.12997289882581933,-0.06560072551554863,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_coverage_mean,mean_l2,-0.664642333984375,-0.40350157154648036,-0.027354128456947846,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_coverage_worst,mean_cosine,-0.9094581604003906,-0.07615568542140722,-0.06422221079945323,1.1053026064693476,DART_recommended
leave_drug_out,A549,Resminostat,1.0,0,Epigenetics,DART_recommended,Resminostat,DART_coverage_worst,mean_l2,-0.9052257537841797,-0.3496843581420683,-0.025975613740852443,1.1053026064693476,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_energy,mean_cosine,0.0697956085205078,0.0,0.0037633770106967335,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_energy,mean_l2,0.0,0.0,0.0,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_mmd,mean_cosine,0.0697956085205078,0.0,0.0037633770106967335,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_mmd,mean_l2,0.0,0.0,0.0,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_sliced_wasserstein,mean_cosine,-0.0662174224853515,0.0,0.0020809589472063905,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_sliced_wasserstein,mean_l2,-0.1360130310058593,0.0,-0.001682418063490343,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_coverage_mean,mean_cosine,-0.009845733642578097,0.0,0.0014366576031767941,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_coverage_mean,mean_l2,-0.0796413421630859,0.0,-0.0023267194075199393,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_coverage_worst,mean_cosine,-0.009845733642578097,0.0,0.0014366576031767941,1.4378845489152003,DART_recommended
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,Others,DART_recommended,Alendronate sodium trihydrate,DART_coverage_worst,mean_l2,-0.0796413421630859,0.0,-0.0023267194075199393,1.4378845489152003,DART_recommended
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,A-366,DART_energy,mean_cosine,0.5420055389404298,0.05895129130166171,0.0007615462630308212,1.6569410472435286,DART_recommended
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,A-366,DART_energy,mean_l2,0.0,-0.1456072925365003,0.0,1.6569410472435286,DART_recommended
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,A-366,DART_mmd,mean_cosine,0.5420055389404298,0.05895129130166171,0.0007615462630308212,1.6569410472435286,DART_recommended
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,A-366,DART_mmd,mean_l2,0.0,-0.1456072925365003,0.0,1.6569410472435286,DART_recommended
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,A-366,DART_sliced_wasserstein,mean_cosine,0.33032798767089844,-0.1389399458677174,0.0007053970696605516,1.6569410472435286,DART_recommended
leave_drug_out,A549,A-366,1.0,0,Epigenetics,DART_recommended,A-366,DART_sliced_wasserstein,mean_l2,-0.2116775512695313,-0.3434985297058794,-5.614919337026958e-05,1.6569410472435286,DART_recommended
