divergence_stratum,task,hit@1_mean,n,method,metric,hit@5_mean
low(0.6-0.9),frangieh,,5,pca_mean,hit@5,1.0
mid(0.3-0.6),frangieh,,5,pca_mean,hit@5,1.0
high(<0.3),frangieh,,80,pca_mean,hit@5,0.7
high(<0.3),controlled,0.8,60,pca_dist,hit@1,
mid(0.3-0.6),controlled,0.8333333333333334,30,pca_dist,hit@1,
high(<0.3),crossline,0.8453703703703703,1080,pca_dist,hit@1,
low(0.6-0.9),frangieh,1.0,5,pca_dist,hit@1,
mid(0.3-0.6),frangieh,1.0,5,pca_dist,hit@1,
high(<0.3),frangieh,0.4125,80,pca_dist,hit@1,
high(<0.3),controlled,,60,pca_dist,hit@5,1.0
mid(0.3-0.6),controlled,,30,pca_dist,hit@5,1.0
high(<0.3),crossline,,1080,pca_dist,hit@5,0.9629629629629629
low(0.6-0.9),frangieh,,5,pca_dist,hit@5,1.0
mid(0.3-0.6),frangieh,,5,pca_dist,hit@5,1.0
high(<0.3),frangieh,,80,pca_dist,hit@5,0.8125
