method,total_seconds,per_query_ms,n_calls
cmap_cosine,7.591255694045685,6.024806106385465,1260
cmap_wtcs,10.512311348662479,8.343104244970222,1260
mean_cosine,30.62950080075534,24.309127619647096,1260
mean_l2,30.62950080075534,24.309127619647096,1260
coverage_mean,30.62950080075534,24.309127619647096,1260
global_energy,30.62950080075534,24.309127619647096,1260
coverage_worst,30.62950080075534,24.309127619647096,1260
pca_mean,534.7891176240519,424.43580763813645,1260
pca_dist,617.6076383193722,490.16479231696206,1260
