line,lambda,alpha,coverage_worst,global_energy,mean_cosine,adv_energy_vs_mean,adv_coverage_vs_mean
K562,0.0,0.5,0.16666666666666666,0.08333333333333333,0.25,-0.16666666666666669,-0.08333333333333334
K562,0.0,0.633,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
K562,0.0,0.767,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333
K562,0.0,0.9,0.16666666666666666,0.08333333333333333,0.3333333333333333,-0.25,-0.16666666666666666
K562,0.15,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
K562,0.15,0.633,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.08333333333333333,-0.08333333333333333
K562,0.15,0.767,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333
K562,0.15,0.9,0.08333333333333333,0.3333333333333333,0.4166666666666667,-0.08333333333333337,-0.33333333333333337
K562,0.3,0.5,0.25,0.3333333333333333,0.0,0.3333333333333333,0.25
K562,0.3,0.633,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666
K562,0.3,0.767,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
K562,0.3,0.9,0.16666666666666666,0.3333333333333333,0.25,0.08333333333333331,-0.08333333333333334
K562,0.45,0.5,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
K562,0.45,0.633,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333
K562,0.45,0.767,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666
K562,0.45,0.9,0.25,0.4166666666666667,0.25,0.16666666666666669,0.0
K562,0.6,0.5,0.3333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.3333333333333333
K562,0.6,0.633,0.0,0.25,0.0,0.25,0.0
K562,0.6,0.767,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
K562,0.6,0.9,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666
K562,0.75,0.5,0.4166666666666667,0.9166666666666666,0.0,0.9166666666666666,0.4166666666666667
K562,0.75,0.633,0.08333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.08333333333333333
K562,0.75,0.767,0.25,0.3333333333333333,0.0,0.3333333333333333,0.25
K562,0.75,0.9,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666
K562,0.9,0.5,0.6666666666666666,0.9166666666666666,0.0,0.9166666666666666,0.6666666666666666
K562,0.9,0.633,0.08333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.08333333333333333
K562,0.9,0.767,0.3333333333333333,0.5,0.0,0.5,0.3333333333333333
K562,0.9,0.9,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.25
K562,1.05,0.5,0.75,1.0,0.0,1.0,0.75
K562,1.05,0.633,0.25,0.8333333333333334,0.0,0.8333333333333334,0.25
K562,1.05,0.767,0.5833333333333334,0.5,0.0,0.5,0.5833333333333334
K562,1.05,0.9,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.25,0.41666666666666674
K562,1.2,0.5,0.8333333333333334,1.0,0.0,1.0,0.8333333333333334
K562,1.2,0.633,0.75,1.0,0.0,1.0,0.75
K562,1.2,0.767,0.5,0.5833333333333334,0.0,0.5833333333333334,0.5
K562,1.2,0.9,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.33333333333333337,0.5833333333333333
