separation_scale,cells_per_source,seed,ari_kmeans_k2,sil_true_labels,n_total
1.0,25,0,-0.013995801259622114,0.006769680341164502,50
1.0,25,1,0.256785524215008,0.008715655177390258,50
1.0,25,2,-0.013995801259622114,0.008661256122418392,50
1.0,25,3,0.1459446897513363,0.016314347908737727,50
1.0,25,4,0.038255190109633776,0.008020807147962427,50
1.0,25,5,-0.019168691137808246,0.0003593330342842085,50
1.0,25,6,0.14730352348437137,0.008355885809460322,50
1.0,25,7,-0.012646011514526274,0.009013801773363412,50
1.0,25,8,0.08883290795187113,0.011821634933272856,50
1.0,25,9,0.1115851219837355,0.006291589637067277,50
1.0,25,10,0.21648216482164823,0.009645253129812608,50
1.0,25,11,0.005598320503848845,0.009307937186830827,50
1.0,25,12,0.038255190109633776,0.006551727695975503,50
1.0,25,13,0.1144186046511628,0.013468272657079654,50
1.0,25,14,-0.019064124783362217,0.0052226306771214134,50
1.0,25,15,0.21502081598667777,0.02225932225544891,50
1.0,25,16,-0.005999200106652446,0.0055407962546413815,50
1.0,25,17,-0.005597014925373134,0.00725242667895595,50
1.0,25,18,-0.013995801259622114,0.005659029118613494,50
1.0,25,19,-0.011568764336292012,0.005521246359189058,50
1.0,50,0,0.058734995044234795,0.00597526771323336,100
1.0,50,1,0.1855841739300754,0.01062709788140951,100
1.0,50,2,0.015673213498555126,0.009211037586624388,100
1.0,50,3,0.08071803788555965,0.012020897231517306,100
1.0,50,4,0.04897739504843918,0.007195068791991281,100
1.0,50,5,0.10666666666666667,0.00571319141429544,100
1.0,50,6,0.12094799725785917,0.012284426727400493,100
1.0,50,7,0.058089558818127274,0.01296560799073263,100
1.0,50,8,0.15210688591983557,0.013130377035187853,100
1.0,50,9,0.058089558818127274,0.009034775460134549,100
1.0,50,10,0.10687078965729697,0.0068622721710310764,100
1.0,50,11,0.04874467772720599,0.011871213015014618,100
1.0,50,12,0.058397019760813774,0.0079468320806275,100
1.0,50,13,0.10666666666666667,0.013306545341561487,100
1.0,50,14,0.10660832867364056,0.011419703045586425,100
1.0,50,15,0.12073272273105745,0.01245102557942345,100
1.0,50,16,0.022721986215001898,0.005541820628358979,100
1.0,50,17,0.10657915681976808,0.012929137991064352,100
1.0,50,18,-0.003591309032142216,0.004444361426282228,100
1.0,50,19,0.022849588503392755,0.009131199964328589,100
1.0,100,0,0.0916123825794667,0.007059995210142162,200
1.0,100,1,0.1985632945751114,0.012514315944766728,200
1.0,100,2,0.04359587152349187,0.007503253242901422,200
1.0,100,3,0.06301205500702939,0.006966883794102064,200
1.0,100,4,0.09822373363274339,0.009245999118614921,200
1.0,100,5,0.11139183752605303,0.006680446919629644,200
1.0,100,6,0.13281464184285263,0.010725721644200324,200
1.0,100,7,0.04812868524387318,0.00870883553435944,200
1.0,100,8,0.11810425937120754,0.012422993339243966,200
1.0,100,9,0.020728246048179386,0.006263326778578157,200
1.0,100,10,0.07422423958518423,0.007886076939491053,200
1.0,100,11,0.012019176141026346,0.007462242832430246,200
1.0,100,12,0.08567002730518798,0.008490756839225814,200
1.0,100,13,0.11117822332205445,0.013185193186727753,200
1.0,100,14,0.05834773940365178,0.00845099291780389,200
1.0,100,15,0.09159036240714583,0.012455262830929818,200
1.0,100,16,0.03129101706410871,0.008973307920095151,200
1.0,100,17,0.039486154851368964,0.008020302418854422,200
1.0,100,18,0.005002010096949299,0.003973394914140515,200
1.0,100,19,0.0634377101046056,0.00810367814711339,200
1.0,200,0,0.13113891680156134,0.011404284784802368,400
1.0,200,1,0.10016733247908344,0.011116897932813383,400
1.0,200,2,0.03179849046491894,0.00748675245695321,400
1.0,200,3,0.06792547403132729,0.009312274694990925,400
1.0,200,4,0.07344219003151597,0.008915181782493125,400
1.0,200,5,0.07346593179633067,0.006348191879321376,400
1.0,200,6,0.05053967494631391,0.00832291419017408,400
1.0,200,7,0.05052893993923673,0.008170980669290338,400
1.0,200,8,0.1001772800180094,0.010494614792521456,400
1.0,200,9,0.03183060060378647,0.0050782341453534064,400
1.0,200,10,0.09709791883774313,0.009746220322314487,400
1.0,200,11,0.06022971283257976,0.007967567273574283,400
1.0,200,12,0.011927590240843253,0.0070225882221297935,400
1.0,200,13,0.05525589809301274,0.009268802279732443,400
1.0,200,14,0.10679032381243317,0.008326999844597395,400
1.0,200,15,0.10342518966177729,0.01120932588617788,400
1.0,200,16,0.06015958537350153,0.009474569064903902,400
1.0,200,17,0.06018437910551035,0.010315395153955022,400
1.0,200,18,0.031816005350154136,0.00644131650486393,400
1.0,200,19,0.05789812828698674,0.007855774549134711,400
1.0,400,0,0.14719824910598714,0.012046510183228212,800
1.0,400,1,0.09497137606898014,0.01043743580048697,800
1.0,400,2,0.04831909805135597,0.008001293401417586,800
1.0,400,3,0.06133271612859245,0.010211762222213988,800
1.0,400,4,0.06912428898639189,0.008326798394990498,800
1.0,400,5,0.06778503253142208,0.007836124504148206,800
1.0,400,6,0.07176616643841018,0.00922056686083055,800
1.0,400,7,0.035850829740051486,0.007270452873526155,800
1.0,400,8,0.0625839005901318,0.008322086806007246,800
1.0,400,9,0.04613499719324476,0.006687478539258536,800
1.0,400,10,0.07868176466224981,0.009136700124890899,800
1.0,400,11,0.06389795774455735,0.00783327184393785,800
1.0,400,12,0.04290261007387966,0.008166077506058057,800
1.0,400,13,0.0552291959423258,0.008674757656743685,800
1.0,400,14,0.13405293951304548,0.010520540717490931,800
1.0,400,15,0.10290032061662123,0.010458786925109908,800
1.0,400,16,0.0613256584833792,0.009037059193283584,800
1.0,400,17,0.04186626498923393,0.00892988489252306,800
1.0,400,18,0.06776318794957982,0.008036376025123434,800
1.0,400,19,0.08303602340086977,0.008385450463098389,800
1.5,25,0,0.2998834304746045,0.03756800612004176,50
1.5,25,1,0.34805747738158593,0.04189030920570008,50
1.5,25,2,0.1807324840764331,0.041092125916033735,50
1.5,25,3,0.398282804752238,0.055845808734731585,50
1.5,25,4,0.2998834304746045,0.040697355879392584,50
1.5,25,5,0.17723880597014927,0.025202789121451734,50
1.5,25,6,0.5087760199833472,0.04094091983505708,50
1.5,25,7,0.5693168198162205,0.04253485879427452,50
1.5,25,8,0.6994666666666667,0.047774217177399166,50
1.5,25,9,0.2995101469559132,0.03651396038186766,50
1.5,25,10,0.3011867956517403,0.043095363480707735,50
1.5,25,11,0.0592,0.042518765816154144,50
1.5,25,12,0.34805747738158593,0.037714349042483365,50
1.5,25,13,0.256785524215008,0.050914601560184965,50
1.5,25,14,0.03799873337555415,0.035136257346955566,50
1.5,25,15,0.8432209038794828,0.06847168025764701,50
1.5,25,16,0.1785524215007983,0.03585692870380178,50
1.5,25,17,0.1115851219837355,0.039050326633559826,50
1.5,25,18,0.1488833746898263,0.03501982761172355,50
1.5,25,19,0.2555970149253731,0.034500985664076195,50
1.5,50,0,0.18669926650366747,0.024542169092767532,100
1.5,50,1,0.35414424111948334,0.03454069631828446,100
1.5,50,2,0.2646838453269049,0.031190462837952543,100
1.5,50,3,0.3298501311811197,0.036836522419251234,100
1.5,50,4,0.1216361679224973,0.026835633689928754,100
1.5,50,5,0.26325581395348835,0.02438351679834781,100
1.5,50,6,0.3306148898969274,0.03791816330012306,100
1.5,50,7,0.26338804947296285,0.03913352664390481,100
1.5,50,8,0.4847980212325664,0.039900110335690214,100
1.5,50,9,0.30669779134494524,0.030969366344192027,100
1.5,50,10,0.20394825412755332,0.02648582954671693,100
1.5,50,11,0.4037312701988052,0.03683575807103283,100
1.5,50,12,0.22407977709341545,0.028913319961171538,100
1.5,50,13,0.2843977160022693,0.039773096166370994,100
1.5,50,14,0.30660723906548465,0.036654939349877125,100
1.5,50,15,0.3068788249694002,0.0379728803379122,100
1.5,50,16,0.038882019514464454,0.02436119175657319,100
1.5,50,17,0.30660723906548465,0.0389828751426782,100
1.5,50,18,0.004342857142857143,0.021452159847576535,100
1.5,50,19,0.4847980212325664,0.031370520259300184,100
1.5,100,0,0.24655459639557778,0.021092599683940786,200
1.5,100,1,0.25652872264308807,0.03280981871074518,200
1.5,100,2,0.2266396811834831,0.02218338001576792,200
1.5,100,3,0.14813131932737897,0.021021213102758028,200
1.5,100,4,0.1561939683719127,0.02548344732685467,200
1.5,100,5,0.19861833271812562,0.02052017612006199,200
1.5,100,6,0.23658637921973547,0.028995671025954007,200
1.5,100,7,0.14789040733391948,0.024862074491474262,200
1.5,100,8,0.33315760451320087,0.03248217361862052,200
1.5,100,9,0.12577625957958832,0.019543321065488808,200
1.5,100,10,0.1898955020445252,0.022734254385448675,200
1.5,100,11,0.15625018928342846,0.022011233751964118,200
1.5,100,12,0.24670518690796328,0.024211113438024685,200
1.5,100,13,0.2569339411492485,0.034007299056730236,200
1.5,100,14,0.22701908245915806,0.02428560202408796,200
1.5,100,15,0.2566368241187967,0.032199075201918094,200
1.5,100,16,0.11807931718033864,0.02543596760250166,200
1.5,100,17,0.07967922296094658,0.023037548277620164,200
1.5,100,18,0.06298366424333753,0.014606502895383056,200
1.5,100,19,0.1563728270897386,0.023352382380132295,200
1.5,200,0,0.2954127932202764,0.027440442814318847,400
1.5,200,1,0.258397660192909,0.02690086511618081,400
1.5,200,2,0.13120046846005626,0.019366141746387733,400
1.5,200,3,0.17019525391714735,0.023026528853397774,400
1.5,200,4,0.1170045670290309,0.021898041360415833,400
1.5,200,5,0.1620837749108602,0.016773645839287497,400
1.5,200,6,0.19172191827175375,0.02105506217838634,400
1.5,200,7,0.146143269471077,0.020664812639856048,400
1.5,200,8,0.24322433861270787,0.025730934236234494,400
1.5,200,9,0.07617726861621947,0.014017104149970037,400
1.5,200,10,0.20074223386018122,0.023886277569483038,400
1.5,200,11,0.16213344801161067,0.02027513909788177,400
1.5,200,12,0.10671851257808543,0.018078929687849465,400
1.5,200,13,0.1916471897900718,0.022810986904312915,400
1.5,200,14,0.19619786104014256,0.021110583364111632,400
1.5,200,15,0.24328251100011059,0.026896445769934753,400
1.5,200,16,0.19161956924545723,0.02348794003117713,400
1.5,200,17,0.1872434731066449,0.02491878004873636,400
1.5,200,18,0.09080105151944032,0.01704502940221475,400
1.5,200,19,0.13891367185197198,0.01987783258247497,400
1.5,400,0,0.2853799998615384,0.027339549843040354,800
1.5,400,1,0.21063735298717234,0.023878036046384218,800
1.5,400,2,0.1433553008825782,0.018894320101967725,800
1.5,400,3,0.22230408959480044,0.023480168502681992,800
1.5,400,4,0.13960512517403295,0.019417460021921355,800
1.5,400,5,0.15903907847643559,0.01837216225831631,800
1.5,400,6,0.18829453562600734,0.02145704414456197,800
1.5,400,7,0.12317531528875307,0.017323069572864017,800
1.5,400,8,0.16099509288920943,0.0195029219989358,800
1.5,400,9,0.1214866860198196,0.01601246572713298,800
1.5,400,10,0.18612182439593017,0.021199161350009606,800
1.5,400,11,0.15907279619101924,0.018489873115675376,800
1.5,400,12,0.14334201666895935,0.01902799392075237,800
1.5,400,13,0.1670992682071074,0.02020985872270315,800
1.5,400,14,0.2271334198019705,0.024026233589044835,800
1.5,400,15,0.22469951536955143,0.023950226245439674,800
1.5,400,16,0.1732883871938041,0.020976579864691355,800
1.5,400,17,0.13773794576315387,0.02059952607046748,800
1.5,400,18,0.16919365452843474,0.0188799519737998,800
1.5,400,19,0.1510962164303855,0.01952663793057026,800
2.0,25,0,1.0,0.07634854104367947,50
2.0,25,1,1.0,0.08339133135976803,50
2.0,25,2,1.0,0.08175195637367201,50
2.0,25,3,1.0,0.10403880876867755,50
2.0,25,4,0.9199693343555215,0.0817714491199075,50
2.0,25,5,1.0,0.05724097149556937,50
2.0,25,6,1.0,0.08190669301304425,50
2.0,25,7,1.0,0.08442348179058805,50
2.0,25,8,0.9199693343555215,0.09230948699091886,50
2.0,25,9,0.6995067324356753,0.07469530479157796,50
2.0,25,10,0.6328059950041632,0.08486174909707402,50
