K,type,subpops,agreement,std,verdict
2,within,c0,0.2625919064531911,0.0529009388451386,
2,within,c1,0.1872159751809234,0.0716097970101087,
2,between,c0-c1,0.1614598444280554,0.0594795876609865,agree~noise
3,within,c0,0.1564251423312951,0.0664726124002764,
3,within,c1,0.2009224155987947,0.0451463079032937,
3,within,c2,0.2621636367766871,0.061889943601841,
3,between,c0-c1,0.137573433350301,0.0359751938021574,agree~noise
3,between,c0-c2,0.1580382615934909,0.0382191411162329,agree~noise
3,between,c1-c2,0.1847441976973728,0.056419186375023,agree~noise
