split_type,cell_line,heldout_drug,observed_library_fraction,seed,reg_red,true_div
leave_drug_out,A549,Selisistat (EX 527),1.0,0,0.4454936981201172,1.6720510118393026
leave_drug_out,A549,KW-2449,1.0,0,0.5308914184570312,1.473229192076955
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,0,0.10784721374511719,1.6735242912506068
leave_drug_out,A549,Resminostat,1.0,0,-0.025321960449218806,1.1053026064693476
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,0.10183525085449219,1.4378845489152003
leave_drug_out,A549,Veliparib (ABT-888),1.0,0,0.19434928894042977,1.7352078293397544
leave_drug_out,A549,Carmofur,1.0,0,0.16070365905761722,1.459141400801907
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,0,0.0,1.6755304121681034
leave_drug_out,A549,Meprednisone,1.0,0,0.1121463775634766,1.6789643493627433
leave_drug_out,A549,TGX-221,1.0,0,-0.040403366088867104,1.6809733344102922
leave_drug_out,A549,AZ 960,1.0,0,0.5070476531982422,1.5228826477962238
leave_drug_out,A549,Givinostat (ITF2357),1.0,0,1.3463897705078125,0.7256706103156477
leave_drug_out,A549,SRT2104 (GSK2245840),1.0,0,0.21941757202148443,1.5741274362378517
leave_drug_out,A549,PF-573228,1.0,0,0.021881103515625,1.6376672794783065
leave_drug_out,A549,Prednisone,1.0,0,0.049367904663086,1.6835323846370471
leave_drug_out,A549,M344,1.0,0,0.2394161224365235,1.0242854202870313
leave_drug_out,A549,Hesperadin,1.0,0,0.0007724761962890903,1.2856975238503132
leave_drug_out,A549,SL-327,1.0,0,-0.0805263519287109,1.3637216234140586
leave_drug_out,A549,TG101209,1.0,0,-0.03288841247558601,1.4438192347949586
leave_drug_out,A549,BMS-754807,1.0,0,0.0993003845214844,1.2649627614646752
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,0,0.0688400268554688,1.6539967161784976
leave_drug_out,A549,(+)-JQ1,1.0,0,0.9590816497802734,0.752529471474307
leave_drug_out,A549,Decitabine,1.0,0,2.609577178955078,1.4880695499815135
leave_drug_out,A549,Costunolide,1.0,0,-0.053924560546875,1.6620339923830496
leave_drug_out,A549,Pirarubicin,1.0,0,0.17248344421386722,1.362461387815174
