predictor,synth,subpop_variance_ratio_mean,subpop_variance_ratio_std,split_half_stability_mean,split_half_stability_std,response_diversity_mean,response_diversity_std,isotropy_index_mean,isotropy_index_std,score_disagreement_mean,score_disagreement_std,induced_response_cosine_mean,induced_response_cosine_std,induced_response_cosine_median,induced_response_cosine_n
real_blend,real,0.1380718296327857,0.0278621353868794,0.969359717220068,0.0068050783112126,0.2491345068000779,0.0488919435343855,0.823159230791587,0.0327101814549026,0.8083333333333333,0.2436072472945932,0.0472019621995357,0.091579875785535,0.0212644748138224,240
average_effect,cells,0.1392318144131618,0.0211891186234348,0.9703989271074532,0.0061813099055544,0.25467345732339,0.0406794261475993,0.8255202791006148,0.0234165336593049,0.24375,0.5010057875545749,0.2802871497064254,0.2607773134505126,0.1515999227872365,240
scgen,cells,0.457667865134976,0.0418868791715204,0.9930267071227232,0.0018035376871664,0.5871937431062749,0.047287736524702,0.6454771364039417,0.0289036377755509,0.4125,0.6617540404423995,0.3514152837882582,0.3463156388970628,0.2320181664229088,240
nearest_neighbor,cells,0.1392318134319,0.0211891173987268,0.9708045996973912,0.0070845852443349,0.2498525261179535,0.0391603201810544,0.8255202804270494,0.0234165255050863,0.55,0.1503134799657509,0.4327220541423783,0.2603318477480378,0.3630868961302719,240
